"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Liberty Helicopter Charters","(862) 229-2377","https://www.yellowpages.com/kearny-nj/mip/liberty-helicopter-charters-470761306","Helicopter Charter & Rental Service","http://www.libertyhelicopterscharter.com","","165 Western Rd","Kearny","NJ","07032","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"2. ","Ny Helicopter Charter Inc","(973) 522-2007","https://www.yellowpages.com/kearny-nj/mip/ny-helicopter-charter-inc-481145208","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.helicopterexpress.com","","100 Central Ave","Kearny","NJ","07032","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"3. ","Liberty Helicopter Tours","(212) 361-6060","https://www.yellowpages.com/new-york-ny/mip/liberty-helicopter-tours-480956162","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.flymh.com","","6 E River Piers","New York","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"4. ","Helicopter Flight Services, Inc","(212) 355-0801","https://www.yellowpages.com/new-york-ny/mip/helicopter-flight-services-inc-536950647","Helicopter Charter & Rental Service","http://www.heliny.com","","Downtown Manhattan Heliport, Pier 6","New York","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"5. ","Helicopters Inc","(908) 474-9454","https://www.yellowpages.com/linden-nj/mip/helicopters-inc-535432249","Helicopter Charter & Rental Service","","","101 W Edgar Rd","Linden","NJ","07036","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"6. ","Liberty Helicopter Tours","(212) 967-4550","https://www.yellowpages.com/new-york-ny/mip/liberty-helicopter-tours-560782342","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.libertyhelicopter.com","","424 W 33rd St","New York","NY","10001","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"7. ","Manhattan Helicopters","(212) 845-9822","https://www.yellowpages.com/new-york-ny/mip/manhattan-helicopters-479566063","Helicopter Charter & Rental Service","https://manhattanhelicopters.com/contact-us","","6 E River Piers","New York","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"8. ","New York Helicopter Charter Inc.","(212) 361-6060","https://www.yellowpages.com/new-york-ny/mip/new-york-helicopter-charter-inc-480189309","Helicopter Charter & Rental Service","","","6 E River Piers","New York","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"9. ","New York Helicopter","(212) 355-0801","https://www.yellowpages.com/new-york-ny/mip/new-york-helicopter-475828844","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.helicopternewyorkcity.com","","6 E River Piers","New York","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"10. ","Zip Aviation","(866) 947-6837","https://www.yellowpages.com/new-york-city-ny/mip/zip-aviation-456804969","Helicopter Charter & Rental Service,Airlines,Tours-Operators & Promoters","http://www.zipaviation.com","","6 E River Piers  Downtown Manhattan Heliport","New York City","NY","10004","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"11. ","Jet Partners","(866) 235-2852","https://www.yellowpages.com/new-york-ny/mip/jet-partners-461815519","Helicopter Charter & Rental Service,Aviation Consultants,Aircraft-Charter, Rental & Leasing","https://jetpartners.aero","","147 W 35th St Ste 402","New York","NY","10001","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"12. ","BROTHERS FIGUEROA TRAVEL","(347) 803-0120","https://www.yellowpages.com/new-york-ny/mip/brothers-figueroa-travel-23018880","Helicopter Charter & Rental Service,Limousine Service,Sightseeing Tours","","","420 W 19th St","New York","NY","10011","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"13. ","Apollo Jets","(212) 889-5387","https://www.yellowpages.com/new-york-ny/mip/apollo-jets-462959081","Helicopter Charter & Rental Service,Transportation Consultants,Transportation Providers","http://www.apollojets.com","","247 W 30th St Fl 12","New York","NY","10001","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
"14. ","Fly Blade Inc","(212) 889-2657","https://www.yellowpages.com/new-york-ny/mip/fly-blade-inc-517157691","Helicopter Charter & Rental Service","http://www.flyblade.com","","499 E 34th St","New York","NY","10016","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Newark,%20New%20Jersey"
