"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Barnstorming Adventures & San Diego Air Tours","(800) 759-5667","https://www.yellowpages.com/san-diego-ca/mip/barnstorming-adventures-san-diego-air-tours-461722998?lid=1000437173640","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Balloon Rides","http://www.sandiegoairtours.com","","3750 John J Montgomery Dr","San Diego","CA","92123","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"2. ","Corporate Helicopters","(858) 505-5650","https://www.yellowpages.com/san-diego-ca/mip/corporate-helicopters-3416909","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","3753 John J Montgomery Dr Ste 2","San Diego","CA","92123","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"3. ","Altitude Helicopters","(619) 661-1605","https://www.yellowpages.com/san-diego-ca/mip/altitude-helicopters-505314412","Helicopter Charter & Rental Service,Aircraft Flight Training Schools","http://www.helialtitude.com","","7060 Curran St Suite B","San Diego","CA","92154","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"4. ","Erc Helicopter","(619) 475-5745","https://www.yellowpages.com/national-city-ca/mip/erc-helicopter-499780","Helicopter Charter & Rental Service","","","3030 Plaza Bonita Rd","National City","CA","91950","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"5. ","Aerial Ad A Division Of Golden State Aviation","(619) 448-4387","https://www.yellowpages.com/el-cajon-ca/mip/aerial-ad-a-division-of-golden-state-aviation-467443339","Helicopter Charter & Rental Service","","","1640 N Johnson Ave","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"6. ","Mini RC Helicopters","(619) 401-6541","https://www.yellowpages.com/el-cajon-ca/mip/mini-rc-helicopters-1853533","Helicopter Charter & Rental Service","","","415 Parkway Plz","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"7. ","San Diego Helicopter Tours","(888) 399-5460","https://www.yellowpages.com/el-cajon-ca/mip/san-diego-helicopter-tours-462608621","Helicopter Charter & Rental Service","http://www.sdhelicoptertours.com","","1915 N Marshall Ave","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"8. ","Robinson Helicopter Instruction & Rental","(619) 448-4387","https://www.yellowpages.com/el-cajon-ca/mip/robinson-helicopter-instruction-rental-462002227","Helicopter Charter & Rental Service,Aircraft Flight Training Schools","http://gsfc.com","","1640 N Johnson Ave","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"9. ","Utility Helicopters","(619) 596-8899","https://www.yellowpages.com/el-cajon-ca/mip/utility-helicopters-533823194","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.blackhawkhelicopters.com","","1948 Joe Crosson Dr","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
"10. ","San Diego Helicopter Service Inc","(619) 562-1964","https://www.yellowpages.com/el-cajon-ca/mip/san-diego-helicopter-service-inc-8452928","Helicopter Charter & Rental Service","http://www.blackhawkhelicopters.com","","1940 Joe Crosson Dr","El Cajon","CA","92020","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=San%20Diego,%20California"
