"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","OC Helicopters","(949) 851-6262","https://www.yellowpages.com/santa-ana-ca/mip/oc-helicopters-465245906","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://ochelicopters.com","","19711 Campus Dr","Santa Ana","CA","92707","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"2. ","Ric Webb","(949) 851-6262","https://www.yellowpages.com/santa-ana-ca/mip/ric-webb-486182023","Helicopter Charter & Rental Service","","","19711 Campus Dr","Santa Ana","CA","92707","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"3. ","Spartan Helicopter Services","(714) 540-6177","https://www.yellowpages.com/santa-ana-ca/mip/spartan-helicopter-services-8807267","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","1307 E Saint Gertrude Pl","Santa Ana","CA","92705","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"4. ","M I 6 Films","(760) 666-2959","https://www.yellowpages.com/irvine-ca/mip/m-i-6-films-480689657","Helicopter Charter & Rental Service","","","16 Greenmoor","Irvine","CA","92614","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"5. ","Midway Car Rental Newport Beach","(949) 267-9020","https://www.yellowpages.com/newport-beach-ca/mip/midway-car-rental-newport-beach-561299297","Helicopter Charter & Rental Service","http://www.midwaycarrental.com/locations/newport-beach","","320 W Coast Hwy","Newport Beach","CA","92663","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"6. ","Smith Helicopters","(657) 239-0710","https://www.yellowpages.com/fullerton-ca/mip/smith-helicopters-542423884","Helicopter Charter & Rental Service","","","4119 W Commonwealth Ave","Fullerton","CA","92833","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"7. ","South Coast Helicopters","(714) 562-0882","https://www.yellowpages.com/fullerton-ca/mip/south-coast-helicopters-498811888","Helicopter Charter & Rental Service","http://www.southcoasthelicopters.com","","3940 Artesia Ave","Fullerton","CA","92833","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"8. ","Hangar 21","(714) 451-5003","https://www.yellowpages.com/fullerton-ca/mip/hangar-21-531688755","Helicopter Charter & Rental Service","http://www.hangar21heli.com","","3970 Artesia Ave","Fullerton","CA","92833","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"9. ","SkyThrills!","(714) 402-4888","https://www.yellowpages.com/fullerton-ca/mip/skythrills-467086241","Helicopter Charter & Rental Service,Amusement Places & Arcades,Educational Services","http://www.skythrills.com","","3815 W Commonwealth Ave","Fullerton","CA","92833","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"10. ","Anaheim Helicopters","(714) 414-9956","https://www.yellowpages.com/fullerton-ca/mip/anaheim-helicopters-469947196","Helicopter Charter & Rental Service,Tours-Operators & Promoters,Photography & Videography","http://www.anaheimhelicopters.com","","4419 w commonwealth ave","Fullerton","CA","92832","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"11. ","Island Express Helicopters","(562) 436-2012","https://www.yellowpages.com/long-beach-ca/mip/island-express-helicopters-7266892","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://islandexpress.com","","1175 Queens Hwy","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
"12. ","Anthelion Helicopters","(562) 424-2684","https://www.yellowpages.com/long-beach-ca/mip/anthelion-helicopters-505377044","Helicopter Charter & Rental Service,Sightseeing Tours,Pilots","http://anthelionhelicopters.com","","3200 Airflite Way","Long Beach","CA","90807","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Santa%20Ana,%20California"
