"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Re-Bath of Amarillo","(806) 331-2284","https://www.yellowpages.com/amarillo-tx/mip/re-bath-of-amarillo-457310681","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.amarillobathroomremodeling.com","","4701 S Western St","Amarillo","TX","79109","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"2. ","Amarillo Kitchen & Bath","(806) 353-8455","https://www.yellowpages.com/amarillo-tx/mip/amarillo-kitchen-bath-31217404?lid=204230418","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2730 Duniven Cir","Amarillo","TX","79109","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"3. ","Silver Dollar Remodel, Inc.","(806) 803-9164","https://www.yellowpages.com/amarillo-tx/mip/silver-dollar-remodel-inc-522990881","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.silverdollarremodel.com","","4028 SW 51st Ave","Amarillo","TX","79109","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"4. ","Timeless Designs","(806) 331-6060","https://www.yellowpages.com/amarillo-tx/mip/timeless-designs-12758982?lid=204230642","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","http://www.amarillostimelessdesigns.com","","1000 N Western St","Amarillo","TX","79106","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"5. ","Cornerstone Granite & Marble","(806) 331-4145","https://www.yellowpages.com/amarillo-tx/mip/cornerstone-granite-marble-10795129","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.cornerstonemarblegranite.com","","204 N Taylor St","Amarillo","TX","79107","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"6. ","Sanders Design Build","(806) 457-8599","https://www.yellowpages.com/amarillo-tx/mip/sanders-design-build-513128745","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.sandersdesignbuild.com","","512 SW 5th Ave","Amarillo","TX","79101","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"7. ","Murray Brothers Flooring","(936) 900-5178","https://www.yellowpages.com/amarillo-tx/mip/murray-brothers-flooring-504950074","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","","","605 S Vernon St","Amarillo","TX","79104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"8. ","Sanders Design Build","(806) 457-8599","https://www.yellowpages.com/amarillo-tx/mip/sanders-design-build-18050014","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.sandersdesignbuild.com","","2607 Wolflin Ave # 132","Amarillo","TX","79109","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"9. ","DreamMaker Bath & Kitchen","(806) 356-8002","https://www.yellowpages.com/amarillo-tx/mip/dreammaker-bath-kitchen-8014519","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.dreammakeramarillo.com","","1020 N Western St","Amarillo","TX","79106","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
"10. ","Integrity Floors & More","(806) 678-4602","https://www.yellowpages.com/amarillo-tx/mip/integrity-floors-more-523853659","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","","","4003 S Aldredge St","Amarillo","TX","79118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Amarillo,%20Texas"
