"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Ralph's Remodel & Windows","(205) 637-0227","https://www.yellowpages.com/birmingham-al/mip/ralphs-remodel-windows-467459513","Bathroom Remodeling,Home Improvements,Paint","","","1804 catala rd","Birmingham","AL","35216","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"2. ","The Kitchen Advantage","(205) 251-1500","https://www.yellowpages.com/birmingham-al/mip/the-kitchen-advantage-7679032?lid=1000462801563","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","3200 3rd Ave S","Birmingham","AL","35222","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"3. ","FLOORS KITCHENS AND BATHROOMS","(678) 651-3879","https://www.yellowpages.com/birmingham-al/mip/floors-kitchens-and-bathrooms-505290680","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","","","p.o.box 33","Birmingham","AL","35222","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"4. ","Noto Home Builders","(205) 704-7097","https://www.yellowpages.com/birmingham-al/mip/noto-home-builders-527724519","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.notohomebuilders.com","","PO Box 660802","Birmingham","AL","35266","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"5. ","Harmony Remodeling, Inc.","(205) 365-6575","https://www.yellowpages.com/birmingham-al/mip/harmony-remodeling-inc-461871659","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://ilovemycontractor.com","","612 32nd St S Suite 341","Birmingham","AL","35233","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"6. ","Kitchen Potential","(205) 870-8467","https://www.yellowpages.com/birmingham-al/mip/kitchen-potential-496364725","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchenpotential.com","","3800 2nd Ave S","Birmingham","AL","35222","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"7. ","Cox Home Remodeling","(256) 239-2670","https://www.yellowpages.com/birmingham-al/mip/cox-home-remodeling-478293067","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","567 41st Pl N","Birmingham","AL","35222","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"8. ","Home Renovation Investors","(205) 966-4338","https://www.yellowpages.com/birmingham-al/mip/home-renovation-investors-468195350","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","216 10th Ave SW","Birmingham","AL","35211","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"9. ","Willow Homes","(205) 206-6121","https://www.yellowpages.com/birmingham-al/mip/willow-homes-532433498","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","111 Broadway St Ste 3","Birmingham","AL","35209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
"10. ","Kevin Lamphere","(205) 790-8283","https://www.yellowpages.com/birmingham-al/mip/kevin-lamphere-24988416","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","900 57th St S","Birmingham","AL","35212","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Birmingham,%20Alabama"
