"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Wellhouse Cabinetry","(423) 899-7675","https://www.yellowpages.com/chattanooga-tn/mip/wellhouse-cabinetry-18220250?lid=1001080926146","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://wellhousecabinetry.com","","801 Signal Mountain Rd","Chattanooga","TN","37405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"2. ","Modern Supply Co","(423) 899-2712","https://www.yellowpages.com/chattanooga-tn/mip/modern-supply-co-10555872","Kitchen Planning & Remodeling Service,Electric Equipment & Supplies-Wholesale & Manufacturers,Plumbing Fixtures Parts & Supplies-Wholesale & Manufacturers","http://www.modernsupplyshowroom.com","","5928 Shallowford Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"3. ","Improve America","(423) 622-0888","https://www.yellowpages.com/chattanooga-tn/mip/improve-america-469572820","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.improveamericainc.com","","327 Cherokee Blvd","Chattanooga","TN","37405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"4. ","Brown Dog Construction","(423) 618-9931","https://www.yellowpages.com/chattanooga-tn/mip/brown-dog-construction-498152189","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://browndogconstruction.com","","409 Spears Ave","Chattanooga","TN","37405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"5. ","Blazek Construction, LLC","(423) 443-3386","https://www.yellowpages.com/chattanooga-tn/mip/blazek-construction-llc-450983902","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","2105 S Orchard Knob Ave","Chattanooga","TN","37404","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"6. ","the Kitchen & Bath boutique","(423) 838-3849","https://www.yellowpages.com/chattanooga-tn/mip/the-kitchen-bath-boutique-456502437","Kitchen Planning & Remodeling Service","","","2511 Riverside Dr","Chattanooga","TN","37406","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"7. ","Improve America Inc","(423) 622-0888","https://www.yellowpages.com/chattanooga-tn/mip/improve-america-inc-465685682","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://improveamericainc.com","","2511 Riverside Dr","Chattanooga","TN","37406","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"8. ","Dare Remodeling","(423) 800-2025","https://www.yellowpages.com/chattanooga-tn/mip/dare-remodeling-472601508","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://dareremodeling.com","","4316 Fountain Ave","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"9. ","Gary Lewis Contracting","(423) 855-2525","https://www.yellowpages.com/chattanooga-tn/mip/gary-lewis-contracting-15248037","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","3917 Volunteer Dr Ste 137","Chattanooga","TN","37416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"10. ","T.L. Gerold Exteriors","(423) 240-5934","https://www.yellowpages.com/chattanooga-tn/mip/t-l-gerold-exteriors-481046646","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","405 Caraway Turn","Chattanooga","TN","37415","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"11. ","Chattanooga Granite And Marble","(423) 499-2892","https://www.yellowpages.com/chattanooga-tn/mip/chattanooga-granite-and-marble-8540422","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Wholesale & Manufacturers","http://cgranitem.com","","6414 Bonny Oaks Dr","Chattanooga","TN","37416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"12. ","Elite Remodeling Solutions","(609) 529-5841","https://www.yellowpages.com/chattanooga-tn/mip/elite-remodeling-solutions-523264793","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.eliteremodelingsolutions.com","","1165 Greens Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"13. ","McCrary Kitchen & Bath","(423) 206-9777","https://www.yellowpages.com/chattanooga-tn/mip/mccrary-kitchen-bath-566986332","Kitchen Planning & Remodeling Service","","","8705 E Brainerd Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"14. ","MCB Custom Renovations","(423) 800-1884","https://www.yellowpages.com/chattanooga-tn/mip/mcb-custom-renovations-470089493","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Siding Contractors","","","8820 Pebble Creek Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"15. ","MCB Custom Renovations","(423) 800-1884","https://www.yellowpages.com/chattanooga-tn/mip/mcb-custom-renovations-522718731","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://mcbcustomrenovations.vpweb.com","","9122 Tennga Ln","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"16. ","All Craft Construction Company","(423) 899-1170","https://www.yellowpages.com/chattanooga-tn/mip/all-craft-construction-company-504252006","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"17. ","Better Homes","(423) 320-4897","https://www.yellowpages.com/chattanooga-tn/mip/better-homes-527373623","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","https://www.bhgre.com/better-homes-and-gardens-real-estate-signature-brokers-9781c","","","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
"18. ","Handyman Connection of Chattanooga","(423) 954-3002","https://www.yellowpages.com/chattanooga-tn/mip/handyman-connection-of-chattanooga-496006583","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","http://www.handymanconnection.com/chattanooga","","2115 Chapman Rd Ste 129","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Chattanooga,%20Tennessee"
