"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Flooring & More Carpet One","(706) 324-4500","https://www.yellowpages.com/columbus-ga/mip/flooring-more-carpet-one-461908813?lid=1000439570181","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Contractors","","","4848 River Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"2. ","LYH Enterprises","(706) 786-6358","https://www.yellowpages.com/columbus-ga/mip/lyh-enterprises-554063761","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://lyhenterprises.com/contact-us","","1100 14th St","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"3. ","CPJ Custom Homes","(706) 320-9948","https://www.yellowpages.com/columbus-ga/mip/cpj-custom-homes-465395087","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://cpjcustomhomes.com","","5900 River Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"4. ","Trinity Custom Homes","(706) 569-6830","https://www.yellowpages.com/columbus-ga/mip/trinity-custom-homes-6440216","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","7646 Schomburg Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"5. ","Payless Granite of Columbus","(706) 327-7558","https://www.yellowpages.com/columbus-ga/mip/payless-granite-of-columbus-561238966","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Granite","https://paylessgranitecolumbus.com","","2900 4th Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"6. ","The Kitchen and Bath Gallery","(706) 256-2090","https://www.yellowpages.com/columbus-ga/mip/the-kitchen-and-bath-gallery-475641167","Altering & Remodeling Contractors,Kitchen Cabinets & Equipment-Household,Cabinets","","","506 Manchester Expy","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"7. ","Edgar Hughston Builder Inc","(706) 568-7650","https://www.yellowpages.com/columbus-ga/mip/edgar-hughston-builder-inc-473517964","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hughstonhomes.com","","3025 University Ave","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"8. ","JF Painting & Repair, LLC","(706) 568-3663","https://www.yellowpages.com/columbus-ga/mip/jf-painting-repair-llc-467147501","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Drywall Contractors","","","5050 Warm Springs Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"9. ","Sears Home Services","(877) 205-5859","https://www.yellowpages.com/columbus-ga/mip/sears-home-services-465197026","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.searshomeservices.com","","","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"10. ","AndRosi Contracting","(706) 321-8824","https://www.yellowpages.com/nationwide/mip/androsi-contracting-548160692","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://androsi.com","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"11. ","Washington Design Studio","(706) 393-1362","https://www.yellowpages.com/nationwide/mip/washington-design-studio-548195642","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Floor Materials","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"12. ","All Service Home Maintenance","(706) 326-6116","https://www.yellowpages.com/nationwide/mip/all-service-home-maintenance-560382831","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"13. ","Hanson Terry Builders Inc","(706) 681-4929","https://www.yellowpages.com/midland-ga/mip/hanson-terry-builders-inc-474503832","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Builders","http://terryhansonbuildersinc.com","","","Midland","GA","31820","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"14. ","Paradise Remodeling","(706) 761-7213","https://www.yellowpages.com/phenix-city-al/mip/paradise-remodeling-521326842?lid=1001475504199","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","21 Balsa Dr","Phenix City","AL","36869","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"15. ","Columbus Builders","(334) 298-6466","https://www.yellowpages.com/phenix-city-al/mip/columbus-builders-473260877","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","332 Woodland Dr","Phenix City","AL","36869","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"16. ","Gunn Custom Home Care","(706) 577-4222","https://www.yellowpages.com/fort-benning-ga/mip/gunn-custom-home-care-506321372","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","6244 Way Ave","Fort Benning","GA","31905","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"17. ","Columbus Kitchen, Bath & Lighting","(706) 341-3725","https://www.yellowpages.com/midland-ga/mip/columbus-kitchen-bath-lighting-551589367","Kitchen Planning & Remodeling Service,Kitchen Cabinets & Equipment-Household","https://columbus-kitchen-bath-lighting.business.site/#details","","8700 Veterans Pkwy Suite 150","Midland","GA","31820","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"18. ","Ace Plumbing","(762) 208-4668","https://www.yellowpages.com/columbus-ga/mip/ace-plumbing-13085823?lid=1002104196725","Bathroom Remodeling,Building Contractors,Home Improvements","http://www.aceplumbing.co","","3523 River Rd, Ste B","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"19. ","The Home Pros","(706) 442-8214","https://www.yellowpages.com/columbus-ga/mip/the-home-pros-22633811?lid=1002103119525","Bathroom Remodeling,Altering & Remodeling Contractors,Carpenters","https://homeloansinc.net","","6 Lismore Ct","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"20. ","Hobart Builders Inc","(706) 327-3550","https://www.yellowpages.com/columbus-ga/mip/hobart-builders-inc-3562738","Altering & Remodeling Contractors,Home Improvements,Home Builders","http://www.hobartbuilders.com","","6113 Seaton Dr","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"21. ","Your Home Solutions","(706) 566-4898","https://www.yellowpages.com/columbus-ga/mip/your-home-solutions-483282529?lid=1000570327798","Bathroom Remodeling,Handyman Services,Flooring Contractors","https://ga-columbus.cataloxy.us","","","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"22. ","Champion Home Services","(706) 718-8560","https://www.yellowpages.com/columbus-ga/mip/champion-home-services-456404852","Altering & Remodeling Contractors","http://www.chsreo.com","","3131 Woodlawn Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"23. ","Mmc Contracting","(706) 888-4307","https://www.yellowpages.com/columbus-ga/mip/mmc-contracting-456500723","Altering & Remodeling Contractors,Building Contractors-Commercial & Industrial","http://www.mmccontracting.net","","4824 11th Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"24. ","Ed James Remodeling","(706) 660-8097","https://www.yellowpages.com/columbus-ga/mip/ed-james-remodeling-473320097","Altering & Remodeling Contractors,Cabinets,Cabinet Makers","","","4904 15th Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"25. ","Greer Solutions","(706) 761-3254","https://www.yellowpages.com/columbus-ga/mip/greer-solutions-561489661","Altering & Remodeling Contractors,Handyman Services,Landscaping & Lawn Services","","","1508 Morris Rd","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"26. ","Swift Home Solutions","(706) 761-3254","https://www.yellowpages.com/columbus-ga/mip/swift-home-solutions-545028571","Altering & Remodeling Contractors,General Contractors","","","1001 50th St","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"27. ","Early Morning Remodeler Inc","(706) 332-2804","https://www.yellowpages.com/columbus-ga/mip/early-morning-remodeler-inc-458962584","Altering & Remodeling Contractors,Home Improvements,Construction Consultants","","","2109 Avalon Rd","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"28. ","Riverside Remodeling","(706) 780-1130","https://www.yellowpages.com/columbus-ga/mip/riverside-remodeling-481242701","Altering & Remodeling Contractors,Home Improvements","","","5423 Richmond Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"29. ","Cs Austin","(706) 320-0818","https://www.yellowpages.com/columbus-ga/mip/cs-austin-18217923","Altering & Remodeling Contractors,Building Contractors","","","5670 Whitesville Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
"30. ","Jones & Minear Homebuilders of Columbus","(706) 321-0090","https://www.yellowpages.com/columbus-ga/mip/jones-minear-homebuilders-of-columbus-7561000","Altering & Remodeling Contractors,Home Builders,Building Contractors","http://www.jonesandminear.com","","5900 River Rd Ste 102","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Georgia"
