"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kitchen Fronts-Wall To Wall Remodeling","(614) 471-0278","https://www.yellowpages.com/columbus-oh/mip/kitchen-fronts-wall-to-wall-remodeling-472803565","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchenfrontsohio.com","","3040 Switzer Ave","Columbus","OH","43219","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"2. ","Beaty Home Improvements","(614) 476-3213","https://www.yellowpages.com/columbus-oh/mip/beaty-home-improvements-1317495","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","4269 Chesford Rd","Columbus","OH","43224","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"3. ","Integrity Construction","(614) 755-6572","https://www.yellowpages.com/columbus-oh/mip/integrity-construction-475973742","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Contractors-Commercial & Industrial","http://www.integrityconstructionohio.com","","1299 Mcnaughten Rd","Columbus","OH","43232","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"4. ","Clinton's Maintenance Service","(614) 657-4693","https://www.yellowpages.com/columbus-oh/mip/clintons-maintenance-service-524490229","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","","","","Columbus","OH","43232","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"5. ","Columbus Rehab & Renovation","(614) 783-6414","https://www.yellowpages.com/columbus-oh/mip/columbus-rehab-renovation-14563342","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.columbus-rehab.com","","611 Erickson Ave","Columbus","OH","43213","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"6. ","Z Line Kitchen & Bath","(614) 777-5004","https://www.yellowpages.com/columbus-oh/mip/z-line-kitchen-bath-460104854","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Cabinets","http://www.therangehoodstore.com","","2276 Westbrooke Dr","Columbus","OH","43228","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"7. ","Granite Tops & More","(614) 239-7837","https://www.yellowpages.com/columbus-oh/mip/granite-tops-more-16778428?lid=1000984454118","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.granitetopsandmore.com","","2002 Zettler Rd","Columbus","OH","43232","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"8. ","Kitchen Kraft Inc","(614) 449-7200","https://www.yellowpages.com/columbus-oh/mip/kitchen-kraft-inc-22205968","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.dreambathsremodeling.com","","871 S High St","Columbus","OH","43206","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"9. ","Keen Custom Design & Home Improvement","(614) 929-5442","https://www.yellowpages.com/columbus-oh/mip/keen-custom-design-home-improvement-502959132","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Patio Builders","","","684 New York Ave","Columbus","OH","43201","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"10. ","Martins Complete Home Remodeling and Maintenance","(614) 327-9461","https://www.yellowpages.com/columbus-oh/mip/martins-complete-home-remodeling-and-maintenance-472903552","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.mchrm.com","","1606 Harvard Ave","Columbus","OH","43203","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"11. ","300 Plus Inc","(614) 253-5664","https://www.yellowpages.com/columbus-oh/mip/300-plus-inc-6163492","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","803 Mulberry St","Columbus","OH","43219","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"12. ","Kitchen Tune-Up Columbus, OH","(614) 915-3739","https://www.yellowpages.com/columbus-oh/mip/kitchen-tune-up-columbus-oh-535233034","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.kitchentuneup.com","","1790 Harmon Ave Ste C","Columbus","OH","43223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"13. ","Airtight Construction","(614) 360-6654","https://www.yellowpages.com/columbus-oh/mip/airtight-construction-506925551","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","1789 Ransburg Ave","Columbus","OH","43223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"14. ","Michael Matrka Inc","(614) 486-7707","https://www.yellowpages.com/columbus-oh/mip/michael-matrka-inc-460273664","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.matrka.com","","1211 Chesapeake Ave","Columbus","OH","43212","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"15. ","Scott Hall Remodeling","(614) 806-3200","https://www.yellowpages.com/columbus-oh/mip/scott-hall-remodeling-553556200","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.scotthallremodeling.com","","1201 Dublin Rd Ste 112","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"16. ","G Home Improvement","(614) 600-4003","https://www.yellowpages.com/columbus-oh/mip/g-home-improvement-483920181","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","http://www.ghomei.com","","1505 alum Creek Dr","Columbus","OH","43209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"17. ","Arias Remodeling","(614) 214-0673","https://www.yellowpages.com/columbus-oh/mip/arias-remodeling-560969634","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","552 S Wheatland Ave","Columbus","OH","43204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"18. ","TS Home Maintenance & Remodeling","(614) 205-6113","https://www.yellowpages.com/columbus-oh/mip/ts-home-maintenance-remodeling-492655584","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","http://www.ts-home-maintenance.com","","1321 Arlington Ave","Columbus","OH","43212","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"19. ","Shadwick Remodeling","(614) 562-0300","https://www.yellowpages.com/columbus-oh/mip/shadwick-remodeling-456261196","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","1281 Manchester Ave","Columbus","OH","43211","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"20. ","Maxtown","(614) 294-4941","https://www.yellowpages.com/columbus-oh/mip/maxtown-482176634","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://www.thejaecompany.com","","1745 W Lane Ave","Columbus","OH","43221","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"21. ","Jae Company","(614) 294-4941","https://www.yellowpages.com/columbus-oh/mip/jae-company-17119447","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.thejaecompany.com","","1745 W Lane Ave","Columbus","OH","43221","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"22. ","TC Builders","(614) 204-4396","https://www.yellowpages.com/columbus-oh/mip/tc-builders-522469533","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","641 Chestershire Rd","Columbus","OH","43204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"23. ","Remodel America, Inc","(614) 459-5858","https://www.yellowpages.com/columbus-oh/mip/remodel-america-inc-505916229","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","921 Chatham Ln Ste 105","Columbus","OH","43221","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"24. ","Bova Home Remodeling","(614) 262-3342","https://www.yellowpages.com/columbus-oh/mip/bova-home-remodeling-523234722","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Drywall Contractors","","","3251 Calumet St","Columbus","OH","43202","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"25. ","Integrity Construction & Remodeling","(614) 755-6572","https://www.yellowpages.com/columbus-oh/mip/integrity-construction-remodeling-546167812","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","https://integrityconstructionohio.com","","2016 Zettler Rd","Columbus","OH","43232","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"26. ","The Hammer & Heart Remodelers","(614) 638-6990","https://www.yellowpages.com/columbus-oh/mip/the-hammer-heart-remodelers-548709505","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.thehammerandheartcolumbus.com","","3857 N High St Ste 207","Columbus","OH","43214","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"27. ","Organized Home Remodeling","(614) 754-8234","https://www.yellowpages.com/columbus-oh/mip/organized-home-remodeling-505152167","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://organizedhomeremodeling.com","","2045 Builders Pl","Columbus","OH","43204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"28. ","Re-Bath of Columbus","(614) 915-3777","https://www.yellowpages.com/columbus-oh/mip/re-bath-of-columbus-457230678","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://bathroomremodelcolumbus.com","","3603 Interchange Rd","Columbus","OH","43204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"29. ","D W Ranney & Sons Inc","(614) 279-6377","https://www.yellowpages.com/columbus-oh/mip/d-w-ranney-sons-inc-2104949","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.dwranneyandsons.com","","3734 Sullivant Ave","Columbus","OH","43228","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
"30. ","R & S Remodeling","(614) 670-2233","https://www.yellowpages.com/columbus-oh/mip/r-s-remodeling-487646357","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","664 E Schreyer Pl","Columbus","OH","43214","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Columbus,%20Ohio"
