"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Innovo Renovations","(361) 589-9877","https://www.yellowpages.com/corpus-christi-tx/mip/innovo-renovations-470252118","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.innovorenovations.com","","14493 S Padre Island Dr","Corpus Christi","TX","78418","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"2. ","Down 2 Earth Roofing and Remodeling","(361) 249-1072","https://www.yellowpages.com/corpus-christi-tx/mip/down-2-earth-roofing-and-remodeling-532555445","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Floor Materials","https://www.down2earthroofingandremodeling.org","","4229 Jacquelyn Dr","Corpus Christi","TX","78412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"3. ","Black Hawk Kitchen and Bath","(361) 558-8259","https://www.yellowpages.com/corpus-christi-tx/mip/black-hawk-kitchen-and-bath-475165555","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Painting Contractors-Commercial & Industrial","","","","Corpus Christi","TX","78415","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"4. ","La Cuisine Kitchen and Bath Remodelers","(361) 242-0782","https://www.yellowpages.com/corpus-christi-tx/mip/la-cuisine-kitchen-and-bath-remodelers-452130800","Altering & Remodeling Contractors,Carpenters,Painting Contractors","","","4133 Callicoatte Rd","Corpus Christi","TX","78410","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"5. ","Gourley Contracting","(361) 883-3766","https://www.yellowpages.com/corpus-christi-tx/mip/gourley-contracting-467178274?lid=1001827959225","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.gourleycontractorsllc.com","","4921 Ambassador Row","Corpus Christi","TX","78416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"6. ","Alpha & Omega Siding & Windows L.L.C.","(361) 360-5689","https://www.yellowpages.com/corpus-christi-tx/mip/alpha-omega-siding-windows-l-l-c-497847398?lid=1002019966335","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.alphaomegasiding.com","","5715 Christine St","Corpus Christi","TX","78415","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"7. ","F & G Enterprises","(361) 882-4063","https://www.yellowpages.com/corpus-christi-tx/mip/f-g-enterprises-1719619","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","3215 Up River Rd","Corpus Christi","TX","78408","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"8. ","ASAP Handyman/Remodeling Services","(832) 413-2799","https://www.yellowpages.com/corpus-christi-tx/mip/asap-handyman-remodeling-services-562812059","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2530 Terrace St","Corpus Christi","TX","78404","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"9. ","Top Notch Diversified Services","(866) 949-9676","https://www.yellowpages.com/corpus-christi-tx/mip/top-notch-diversified-services-482232072","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Concrete Contractors","","","4455 S Padre Island Dr","Corpus Christi","TX","78411","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
"10. ","S&C Residential & Commercial Services","(361) 400-8964","https://www.yellowpages.com/corpus-christi-tx/mip/s-c-residential-commercial-services-532658476","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","2906 White Bird Dr","Corpus Christi","TX","78415","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Corpus%20Christi,%20Texas"
