"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","JC GRANITE SERVICES LLC","(303) 219-3026","https://www.yellowpages.com/denver-co/mip/jc-granite-services-llc-503037092","Bathroom Remodeling,Counter Tops,Granite","http://www.jcgraniteservice.com","","5090 Acoma St","Denver","CO","80216","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"2. ","Kitchens 4 Less","(303) 427-8726","https://www.yellowpages.com/denver-co/mip/kitchens-4-less-463747501","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","1015 E Highway 224","Denver","CO","80229","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"3. ","True Form Design and Building, Inc","(720) 459-8975","https://www.yellowpages.com/denver-co/mip/true-form-design-and-building-inc-480903782","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Basement Contractors","http://www.trueformbuilding.com","","710 E Speer Blvd","Denver","CO","80203","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"4. ","Set in Stone","(720) 421-4066","https://www.yellowpages.com/denver-co/mip/set-in-stone-532218812","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Granite","http://setinstonecolorado.com","","4450 York St","Denver","CO","80216","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"5. ","WesTec Builders","(303) 428-8550","https://www.yellowpages.com/denver-co/mip/westec-builders-4574734","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://westec-builders.com","","2850 W 92nd Ave","Denver","CO","80260","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"6. ","Thurston Kitchen","(303) 629-0119","https://www.yellowpages.com/denver-co/mip/thurston-kitchen-503229477","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","761 Kalamath St","Denver","CO","80204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"7. ","Colorado Kitchen Designs","(303) 321-4410","https://www.yellowpages.com/denver-co/mip/colorado-kitchen-designs-462138080","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.coloradokitchendesigns.com","","560 S Holly St Suite 17, Denver CO, 80246","Denver","CO","80246","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"8. ","The Showroom at Rampart Supply","(303) 962-4333","https://www.yellowpages.com/denver-co/mip/the-showroom-at-rampart-supply-507108591?lid=1002021714706","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","https://showroom.rampartsupply.com","","1480 W 3rd Ave","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"9. ","Alternative Remodeling, LLC","(720) 644-8475","https://www.yellowpages.com/denver-co/mip/alternative-remodeling-llc-556087778?lid=1002057220022","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","1838 E 83rd Dr","Denver","CO","80229","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"10. ","Rampart Supply Inc.","(303) 629-6122","https://www.yellowpages.com/denver-co/mip/rampart-supply-inc-538935982?lid=1002018141416","Bathroom Remodeling,Bathtubs & Sinks-Repair & Refinish,Boilers Equipment, Parts & Supplies","https://www.rampartsupply.com","","285 Rio Grande Blvd","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"11. ","Karpentree Remodeling & Repairs","(720) 645-6228","https://www.yellowpages.com/denver-co/mip/karpentree-remodeling-repairs-538706429","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","1509 N Pearl St Unit 437","Denver","CO","80203","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"12. ","Kreative Kitchens & Baths","(303) 572-2252","https://www.yellowpages.com/denver-co/mip/kreative-kitchens-baths-3333061","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets & Equipment-Wholesale & Manufacturers","http://kreativekitchensandbaths.com","","1100 Santa Fe Dr","Denver","CO","80204","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"13. ","Design a la Carte, Inc","(303) 863-7207","https://www.yellowpages.com/denver-co/mip/design-a-la-carte-inc-26408872","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Interior Designers & Decorators","http://www.designalacartedenver.com","","2218 N Franklin St","Denver","CO","80205","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"14. ","Precision Renovations LLC","(720) 854-4744","https://www.yellowpages.com/denver-co/mip/precision-renovations-llc-504064438","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Basement Contractors","http://www.precision-renovations.com","","1435 Elizabeth St Apt 2","denver","CO","80206","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"15. ","Kitchen Gallery Ltd","(303) 744-9110","https://www.yellowpages.com/denver-co/mip/kitchen-gallery-ltd-10257759","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchengallerydenver.com","","66 S Logan St","Denver","CO","80209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"16. ","Handyman Matters","(720) 400-8611","https://www.yellowpages.com/denver-co/mip/handyman-matters-542343261","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.handymanmatters.com/offices/cherry-creek","","240 S Broadway","Denver","CO","80209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"17. ","Kitchens by Wedgewood","(303) 744-9400","https://www.yellowpages.com/denver-co/mip/kitchens-by-wedgewood-503701764","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets & Equipment-Household","http://www.wedgewoodcabinetry.com","","250 Steele St","Denver","CO","80206","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"18. ","Kitchens on Broadway","(720) 481-3388","https://www.yellowpages.com/denver-co/mip/kitchens-on-broadway-526515882","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.kitchensonbroadway.com","","725 S Broadway Ste 3","Denver","CO","80209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"19. ","Dorado Soapstone & Quartz","(833) 201-3887","https://www.yellowpages.com/denver-co/mip/dorado-soapstone-quartz-529754688","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","https://doradosoapstone.com/locations/colorado","","756 S Jason St Unit 8","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"20. ","Brekhus Tile & Stone, Inc.","(303) 494-9255","https://www.yellowpages.com/denver-co/mip/brekhus-tile-stone-inc-3974211","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","http://www.brekhustile.com","","860 S Jason St","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"21. ","Elite Image Construction","(720) 469-6851","https://www.yellowpages.com/denver-co/mip/elite-image-construction-555492863","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","4531 Lipan St","Denver","CO","80211","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"22. ","Denver Stone Plus","(303) 284-6549","https://www.yellowpages.com/denver-co/mip/denver-stone-plus-568212078","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Counter Tops","https://denverstoneplus.com","","1548 W Alameda Ave    Co 80223 Unit B&C","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"23. ","Bella Vie Kitchen and Bath","(720) 382-1090","https://www.yellowpages.com/denver-co/mip/bella-vie-kitchen-and-bath-532979541","Altering & Remodeling Contractors,Home Improvements","http://www.bellaviekitchenandbath.com","","700 W Mississippi Ave","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"24. ","5280 Lawn Care and Home Repair, Inc.","(720) 838-5280","https://www.yellowpages.com/denver-co/mip/5280-lawn-care-and-home-repair-inc-559243309","Bathroom Remodeling,Kitchen Planning & Remodeling Service","https://5280lawncareandhomerepair.com","","3004 Ash St","Denver","CO","80207","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"25. ","Parkside Remodeling LLC","(303) 260-9611","https://www.yellowpages.com/denver-co/mip/parkside-remodeling-llc-453942673","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://parksideremodeling.com","","1002 S Gaylord St","Denver","CO","80209","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"26. ","Whitehall Kitchen Studio","(303) 898-6549","https://www.yellowpages.com/denver-co/mip/whitehall-kitchen-studio-469872562","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets-Refinishing, Refacing & Resurfacing","http://whitehallkitchenstudio.com","","1225 S Pearl St","Denver","CO","80210","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"27. ","Mile Hi Kitchen & Bath Inc","(303) 297-2588","https://www.yellowpages.com/denver-co/mip/mile-hi-kitchen-bath-inc-8390473","Kitchen Planning & Remodeling Service","http://www.milehikitchenandbath.com","","1255 W 47th Ave","Denver","CO","80211","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"28. ","Lookout the Renovation Company","(303) 975-1820","https://www.yellowpages.com/denver-co/mip/lookout-the-renovation-company-506527644","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.dexknows.com/rd?dku=","","1380 S Santa Fe Dr","Denver","CO","80223","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"29. ","Coronado Bath & Tile","(720) 291-8384","https://www.yellowpages.com/denver-co/mip/coronado-bath-tile-480848973","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","5030 Lincoln St","Denver","CO","80216","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
"30. ","Three Week Kitchens","(303) 284-4719","https://www.yellowpages.com/denver-co/mip/three-week-kitchens-513120794","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2227 Grape St","Denver","CO","80207","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Denver,%20Colorado"
