"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Richardson Plumbing Co Inc","(515) 288-4338","https://www.yellowpages.com/des-moines-ia/mip/richardson-plumbing-co-inc-4267974","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Backflow Prevention Devices & Services","http://www.richardsonplumbingco.net","","","Des Moines","IA","50320","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"2. ","Gonzalez Construction - Kitchen Remodeling Division","(515) 344-3653","https://www.yellowpages.com/des-moines-ia/mip/gonzalez-construction-kitchen-remodeling-division-460675790","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","910 E 13th St","Des Moines","IA","50316","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"3. ","Kitchen & Bath Ideas Iowa","(515) 200-1080","https://www.yellowpages.com/des-moines-ia/mip/kitchen-bath-ideas-iowa-467170670","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kbideasiowa.com","","130 E 3rd St","Des Moines","IA","50309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"4. ","Re-Bath of Central Iowa","(515) 262-9075","https://www.yellowpages.com/des-moines-ia/mip/re-bath-of-central-iowa-453883384","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://bathroomremodelingdesmoines.com","","3012 Des Moines St","Des Moines","IA","50316","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"5. ","Re-Bath Of Central Iowa","(515) 262-9075","https://www.yellowpages.com/des-moines-ia/mip/re-bath-of-central-iowa-534953522","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://bathroomremodelingdesmoines.com","","3012 E 14th St","Des Moines","IA","50316","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"6. ","Silent Rivers Inc","(515) 266-6702","https://www.yellowpages.com/des-moines-ia/mip/silent-rivers-inc-557812451","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://silentrivers.com","","800 19th St","Des Moines","IA","50314","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"7. ","Beyond Bath","(515) 208-9508","https://www.yellowpages.com/des-moines-ia/mip/beyond-bath-520605691","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","http://beyondbathdm.com","","2611 E 24th St","Des Moines","IA","50317","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"8. ","Woodmaster Remodeling","(515) 979-3331","https://www.yellowpages.com/des-moines-ia/mip/woodmaster-remodeling-454953280","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.thewoodmaster.net","","885 NW Aurora Ave","Des Moines","IA","50313","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"9. ","Hartman Construction & Remodeling","(515) 278-1866","https://www.yellowpages.com/des-moines-ia/mip/hartman-construction-remodeling-522720573","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets-Refinishing, Refacing & Resurfacing","http://www.hartmanconstruction.com","","907 California Dr Ste 2","Des Moines","IA","50312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"10. ","Aim Kitchen & Bath","(515) 255-0731","https://www.yellowpages.com/des-moines-ia/mip/aim-kitchen-bath-9739238","Altering & Remodeling Contractors,Cabinets","http://www.aimkitchenbath.com","","2624 Beaver Ave","Des Moines","IA","50310","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"11. ","Professional Home Improvement","(515) 254-0913","https://www.yellowpages.com/des-moines-ia/mip/professional-home-improvement-5852512","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://phi-ia.com","","3945 42nd St","Des Moines","IA","50310","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"12. ","Hartman Construction & Remodeling","(515) 278-1866","https://www.yellowpages.com/des-moines-ia/mip/hartman-construction-remodeling-561682483","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hartmanconstruction.com","","4910 Urbandale Ave Ste 301","Des Moines","IA","50310","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"13. ","FINAL TOUCH HANDYMAN","(805) 864-0521","https://www.yellowpages.com/des-moines-ia/mip/final-touch-handyman-547750831","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","4225 Fleur Dr","Des Moines","IA","50321","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"14. ","East Village Handyman","(515) 212-9441","https://www.yellowpages.com/des-moines-ia/mip/east-village-handyman-504025832","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","808 des moines st","des moines","IA","50309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"15. ","Design Concepts by Marie","(515) 401-2896","https://www.yellowpages.com/des-moines-ia/mip/design-concepts-by-marie-495980041","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Contractor Referral Services","","","1611 Arlington Ave","Des Moines","IA","50314","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"16. ","Renew Resurfacing, Inc.","(515) 303-2101","https://www.yellowpages.com/des-moines-ia/mip/renew-resurfacing-inc-566735160","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinet Makers","https://renewresurfacing.com","","1710 Guthrie Ave Ste D","Des Moines","IA","50316","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"17. ","Oakwood Builders Group","(515) 244-3491","https://www.yellowpages.com/des-moines-ia/mip/oakwood-builders-group-457363602","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.oakwoodbuildersgroup.com","","316 SW 5th St","Des Moines","IA","50309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"18. ","Two Rivers Handyman","(515) 441-5800","https://www.yellowpages.com/des-moines-ia/mip/two-rivers-handyman-483899083","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","Po Box 41304","Des Moines","IA","50311","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"19. ","Mattas Construction","(515) 277-5127","https://www.yellowpages.com/des-moines-ia/mip/mattas-construction-6530377","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2400 Maryland Pike","Des Moines","IA","50310","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"20. ","Kimball Home Improvement","(515) 559-3972","https://www.yellowpages.com/des-moines-ia/mip/kimball-home-improvement-459429136","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","Des Moines, 50315","Des Moines","IA","50315","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"21. ","Grandview Construction","(515) 262-8380","https://www.yellowpages.com/des-moines-ia/mip/grandview-construction-473248563","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Contractors","","","106 Briarcliff Dr","Des Moines","IA","50317","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"22. ","Any Angle Carpentry","(515) 710-2278","https://www.yellowpages.com/des-moines-ia/mip/any-angle-carpentry-551409257","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Carpenters","","","2608 59th St","Des Moines","IA","50322","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
"23. ","Exactly Construction LLC.","(515) 238-7070","https://www.yellowpages.com/des-moines-ia/mip/exactly-construction-llc-481424972","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Drywall Contractors","","","1530 Payton ave","Des Moines","IA","50315","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Des%20Moines,%20Iowa"
