"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Rodrigues Tile Co","(510) 490-6995","https://www.yellowpages.com/fremont-ca/mip/rodrigues-tile-co-461725744","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.rodriguestile.com","","41060 High St","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"2. ","Kitchens Plus","(510) 505-4588","https://www.yellowpages.com/fremont-ca/mip/kitchens-plus-522726075","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","","","1140 Chopin Ter Unit 105","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"3. ","Bath & Kitchen Design","(510) 493-5492","https://www.yellowpages.com/fremont-ca/mip/bath-kitchen-design-550719930","Kitchen Planning & Remodeling Service,Fence Repair,Electricians","","","39452 Parkhurst Dr","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"4. ","Roland Zoller Construction","(510) 491-3699","https://www.yellowpages.com/fremont-ca/mip/roland-zoller-construction-497772591","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Foundation Contractors","http://www.rolandzollerconstruction.com","","793 Old Canyon Rd","Fremont","CA","94536","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"5. ","The Kitchen & Bath Depot","(510) 790-3000","https://www.yellowpages.com/fremont-ca/mip/the-kitchen-bath-depot-481855784","Altering & Remodeling Contractors,Home Improvements,Flooring Contractors","","","37275 Fremont Blvd","Fremont","CA","94536","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"6. ","Impressive Kitchen & Bath","(510) 623-2388","https://www.yellowpages.com/fremont-ca/mip/impressive-kitchen-bath-505577003","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Cabinets","http://www.impressiveknb.com","","3300 Seldon Ct","Fremont","CA","94539","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"7. ","East Bay Kitchen & Bath Inc","(510) 623-8338","https://www.yellowpages.com/fremont-ca/mip/east-bay-kitchen-bath-inc-7164938","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://eb-kitchen.com","","3300 Seldon Ct Ste 9","Fremont","CA","94539","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"8. ","CK Constructrion","(510) 453-5049","https://www.yellowpages.com/fremont-ca/mip/ck-constructrion-1661","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://ckbuilder.com","","289 Winnipeg Ter","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"9. ","Vm Kitchen & Bath","(510) 573-2681","https://www.yellowpages.com/fremont-ca/mip/vm-kitchen-bath-557191874","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Home Improvements","http://vmtitles.com","","43184 Christy St","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
"10. ","U Save Kitchen & Bath","(510) 770-9908","https://www.yellowpages.com/fremont-ca/mip/u-save-kitchen-bath-465947481","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","45200 Industrial Dr Ste 1","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Fremont,%20California"
