"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Niagara Plumbing","(714) 534-1770","https://www.yellowpages.com/garden-grove-ca/mip/niagara-plumbing-9034082?lid=1001593326322","Bathroom Remodeling,Kitchen Accessories,Housewares","http://niagaraplumbingsupply.net","","13101 Brookhurst St","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"2. ","FMP Contractors","(888) 249-5422","https://www.yellowpages.com/garden-grove-ca/mip/fmp-contractors-3227779","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Construction Estimates","http://www.fmpsocal.com","","5251 Acacia Ave","Garden Grove","CA","92845","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"3. ","Orange County Constr & Co","(714) 797-0369","https://www.yellowpages.com/garden-grove-ca/mip/orange-county-constr-co-11785371","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.orangecountyconstruction.net","","13691 Hope St","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"4. ","T AND T CLEAN WATER SOLUTIONS","(714) 467-8693","https://www.yellowpages.com/garden-grove-ca/mip/t-and-t-clean-water-solutions-470100713","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","9562 Oasis Ave","Garden Grove","CA","92844","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"5. ","LMO Like My Own Inc","(714) 889-4102","https://www.yellowpages.com/garden-grove-ca/mip/lmo-like-my-own-inc-485125089","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://lmo-construction.com","","12831 Western Ave Ste D","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"6. ","Rondell Restoration Inc","(714) 898-3655","https://www.yellowpages.com/garden-grove-ca/mip/rondell-restoration-inc-486955258","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","https://www.redesignoc.com/shop/index.php","","12733 Western Ave","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"7. ","Mitchell D Collins Construction Inc","(714) 894-6767","https://www.yellowpages.com/garden-grove-ca/mip/mitchell-d-collins-construction-inc-30584997","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://mitchelldeancollins.com","","12771 Monarch St","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"8. ","Surplus Granite","(949) 500-9841","https://www.yellowpages.com/anaheim-ca/mip/surplus-granite-495865435","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Counter Tops","http://www.surplusgranite.com","","1300 w Ricky LN","anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"9. ","Socal Custom Cabinets","(714) 746-0013","https://www.yellowpages.com/anaheim-ca/mip/socal-custom-cabinets-30454746","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://socalcustomcabinets-oc.com","","2065 S Norma Ln","Anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"10. ","Cormier Construction & Design Inc.","(714) 771-0510","https://www.yellowpages.com/nationwide/mip/cormier-construction-design-inc-30486368","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"11. ","Remodelworks","(714) 365-8492","https://www.yellowpages.com/nationwide/mip/remodelworks-18520875","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.remodelworks.net","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"12. ","Shafer Plumbing Contractors","(657) 224-3042","https://www.yellowpages.com/orange-ca/mip/shafer-plumbing-contractors-12525335?lid=189360005","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Water Heater Repair","http://www.shaferplumbing.com","","","Orange","CA","92865","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"13. ","New Rooms","(714) 687-1967","https://www.yellowpages.com/anaheim-ca/mip/new-rooms-459015346","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","http://www.newroomsoc.com","","1201 E Ball Rd Ste S","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"14. ","Osowski Construction Inc.","(657) 221-3289","https://www.yellowpages.com/orange-ca/mip/osowski-construction-inc-8845745?lid=1002025979524","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.osowskiconstruction.com","","675 N Eckhoff St Ste B","Orange","CA","92868","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"15. ","Osowski Construction Inc.","(714) 627-5733","https://www.yellowpages.com/orange-ca/mip/osowski-construction-inc-547829792?lid=171792894","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.osowskiconstruction.com","","675 N Eckhoff St","Orange","CA","92868","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"16. ","Ken's Handyman Express Inc","(657) 229-4986","https://www.yellowpages.com/nationwide/mip/kens-handyman-express-inc-21710631?lid=1002065066969","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Plumbers","http://kenshandymanexpress.com","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"17. ","Kitchen Bathrooms Remodeling","(714) 457-3894","https://www.yellowpages.com/anaheim-ca/mip/kitchen-bathrooms-remodeling-474727054","Altering & Remodeling Contractors,General Contractors,Home Improvements","","","1616 S Euclid St","Anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"18. ","Panda Kitchen","(714) 999-6888","https://www.yellowpages.com/anaheim-ca/mip/panda-kitchen-11482928","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.pandakitchentogo.com","","1770 S Harbor Blvd Ste 120","Anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"19. ","califorina kitchen and bath cabinet inc","(714) 956-8500","https://www.yellowpages.com/anaheim-ca/mip/califorina-kitchen-and-bath-cabinet-inc-475623988","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets-Refinishing, Refacing & Resurfacing","http://www.cabinetexperts.com","","1550 S Anaheim Blvd Ste F","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"20. ","Steves Plumbing & Remodels","(714) 891-2999","https://www.yellowpages.com/stanton-ca/mip/steves-plumbing-remodels-467866812","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Bathtubs & Sinks-Repair & Refinish","http://www.stevesplumbingandremodels.com","","7732 Ruthann Ave","Stanton","CA","90680","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"21. ","JL Construction & Remodel","(714) 470-5789","https://www.yellowpages.com/stanton-ca/mip/jl-construction-remodel-564373122","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Drywall Contractors","http://www.jlconstructionandremodel.com","","11720 Western Ave","Stanton","CA","90680","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"22. ","General Contractors, Kitchen, Bath Remodeler Orange 92868","(714) 453-9743","https://www.yellowpages.com/orange-ca/mip/general-contractors-kitchen-bath-remodeler-orange-92868-453928793","Altering & Remodeling Contractors,Home Improvements,Home Builders","http://www.findlicensedcontractor.com","","","Orange","CA","92868","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"23. ","Bella Stones, Inc.","(714) 855-6412","https://www.yellowpages.com/anaheim-ca/mip/bella-stones-inc-462601977","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","http://www.bellastones.com","","1201 E Ball Rd Ste T","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"24. ","Anaheim Remodeling Contractor, Kitchen, Bathroom","(714) 203-6484","https://www.yellowpages.com/anaheim-ca/mip/anaheim-remodeling-contractor-kitchen-bathroom-460692392","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.findlicensedcontractor.com","","","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"25. ","RMP Remodeling, Inc.","(714) 936-2067","https://www.yellowpages.com/anaheim-ca/mip/rmp-remodeling-inc-30652478","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","http://www.rmpremodeling.com","","","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"26. ","Golden Land Construction","(949) 667-0107","https://www.yellowpages.com/nationwide/mip/golden-land-construction-465253133","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"27. ","Anaheim Kitchen & Bathroom Contractors","(714) 265-7118","https://www.yellowpages.com/nationwide/mip/anaheim-kitchen-bathroom-contractors-23019337","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
"28. ","He Construction Kitchen & Bath Remodels","(657) 231-0538","https://www.yellowpages.com/nationwide/mip/he-construction-kitchen-bath-remodels-560122444","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.handymanexpress.net","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Garden%20Grove,%20California"
