"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","O R Painting & Remodeling","(469) 235-3097","https://www.yellowpages.com/grand-prairie-tx/mip/o-r-painting-remodeling-458031778","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.grandprairieremodelingservice.com","","802 W Church St","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"2. ","Cowboy Flooring Remodeling","(214) 579-8099","https://www.yellowpages.com/grand-prairie-tx/mip/cowboy-flooring-remodeling-500434160","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.cowboyflooringremodelingtx.com","","401 SW 6th St","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"3. ","Charlie's And Sons Home Repair And Restoration","(972) 642-5116","https://www.yellowpages.com/grand-prairie-tx/mip/charlies-and-sons-home-repair-and-restoration-514195789","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","1814 Crooks Ct","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"4. ","Mobility Bathworks","(512) 522-2284","https://www.yellowpages.com/grand-prairie-tx/mip/mobility-bathworks-557418869","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Bathroom Fixtures, Cabinets & Accessories","https://mobility-bathworks.com","","1309 Avenue H","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"5. ","R W Home Improvement","(972) 896-4363","https://www.yellowpages.com/grand-prairie-tx/mip/r-w-home-improvement-522557198","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","https://www.whitebreadshomeimprovement.com","","PO Box 540584","Grand Prairie","TX","75054","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"6. ","Graf Developments","(972) 571-6076","https://www.yellowpages.com/grand-prairie-tx/mip/graf-developments-522800071","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.grafdevelopments.com","","PO Box 540999","Grand Prairie","TX","75054","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"7. ","US I Remodeling","(972) 206-0750","https://www.yellowpages.com/grand-prairie-tx/mip/us-i-remodeling-2406180","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.usiremodeling.com","","2100 N State Highway 360","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"8. ","J Roofing and Remodel","(214) 514-2054","https://www.yellowpages.com/grand-prairie-tx/mip/j-roofing-and-remodel-472855024","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Patio Builders","","","2832 Park Springs Dr","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"9. ","Grand Homes Mira Logos","(682) 222-8003","https://www.yellowpages.com/grand-prairie-tx/mip/grand-homes-mira-logos-3323428","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","3003 England Pkwy","Grand Prairie","TX","75054","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"10. ","Seconds and Surplus","(469) 263-1111","https://www.yellowpages.com/grand-prairie-tx/mip/seconds-and-surplus-462070703?lid=1001527272312","Kitchen Planning & Remodeling Service,Cabinet Makers,Home Repair & Maintenance","http://www.secondsandsurplus.com","","2725 S State Highway 360","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"11. ","Zamarripa Remodeling","(214) 603-2698","https://www.yellowpages.com/grand-prairie-tx/mip/zamarripa-remodeling-456872404","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"12. ","Brennan Windows","(972) 850-7367","https://www.yellowpages.com/grand-prairie-tx/mip/brennan-windows-533461296","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.brennancorp.com/?utm_source=yellowpages.com&utm_medium=referral&utm_campaign=ppc","","Serving The Metroplex And Surrounding Areas","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"13. ","Sawyer's Construction Inc","(972) 642-3581","https://www.yellowpages.com/grand-prairie-tx/mip/sawyers-construction-inc-9727821","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.sawyersinc.com","","2307 Oak Ln Ste 210","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"14. ","Texas Cabinet Company","(469) 520-5533","https://www.yellowpages.com/grand-prairie-tx/mip/texas-cabinet-company-29982726","Kitchen Planning & Remodeling Service,Cabinet Makers,Cabinets","http://www.houzz.com/pro/texascabinetcompany","","2618 W Pioneer Pkwy Ste 150","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"15. ","Sears Home Services","(877) 587-1994","https://www.yellowpages.com/grand-prairie-tx/mip/sears-home-services-515771096","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.searshomeservices.com","","923 Avenue N","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"16. ","Dallas Construction","(817) 477-1249","https://www.yellowpages.com/grand-prairie-tx/mip/dallas-construction-514131941","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","3439 Racquet Club Dr","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"17. ","JD Services","(972) 805-6780","https://www.yellowpages.com/grand-prairie-tx/mip/jd-services-480300358","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","526 E Avenue J","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"18. ","Alex Guthrie Construction","(469) 446-8508","https://www.yellowpages.com/grand-prairie-tx/mip/alex-guthrie-construction-546727800","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.alexguthrie.net","","PO Box 535145","Grand Prairie","TX","75053","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"19. ","KB Home","(972) 264-1807","https://www.yellowpages.com/grand-prairie-tx/mip/kb-home-4785606","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","230 Longhorn Trl","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"20. ","Grand Homes","(972) 263-8001","https://www.yellowpages.com/grand-prairie-tx/mip/grand-homes-12498015","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","5098 Tersk Ct","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"21. ","Beazer Homes","(817) 652-0626","https://www.yellowpages.com/grand-prairie-tx/mip/beazer-homes-8492884","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.beazer.com","","2379 Collin Dr","Grand Prairie","TX","75052","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"22. ","Duncan Custom Homes & Remodeling","(817) 929-2716","https://www.yellowpages.com/azle-tx/mip/duncan-custom-homes-remodeling-465934338?lid=1000437174533","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hankduncancustomhomes.com","","","Azle","TX","76020","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"23. ","Martin's Tile Works","(972) 625-9352","https://www.yellowpages.com/the-colony-tx/mip/martins-tile-works-13678023?lid=1001203874017","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.martinstileworks.com","","","The Colony","TX","75056","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"24. ","Bath & Kitchen Repair","(972) 816-0116","https://www.yellowpages.com/nationwide/mip/bath-kitchen-repair-15991844","Altering & Remodeling Contractors,Home Improvements,Counter Tops","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"25. ","Full Scale Remodeling & Labor Services","(972) 255-8775","https://www.yellowpages.com/nationwide/mip/full-scale-remodeling-labor-services-469712582","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"26. ","Creative Const & Remodeling Inc","(972) 992-1264","https://www.yellowpages.com/nationwide/mip/creative-const-remodeling-inc-534458794","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.ccrbarry.com","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"27. ","Avante Kitchen & Bath Co","(972) 336-6695","https://www.yellowpages.com/nationwide/mip/avante-kitchen-bath-co-560751241","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Home Improvements","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"28. ","Remodeling Nacho Co","(817) 649-8334","https://www.yellowpages.com/arlington-tx/mip/remodeling-nacho-co-12441489","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","312 109th St","Arlington","TX","76011","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"29. ","Justin Rice Remodeling","(214) 495-1734","https://www.yellowpages.com/arlington-tx/mip/justin-rice-remodeling-481079397","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Basement Contractors","","","1607 N Watson Rd","Arlington","TX","76006","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
"30. ","Boyd Hunt Painting","(214) 455-2105","https://www.yellowpages.com/rowlett-tx/mip/boyd-hunt-painting-233462?lid=1000437178237","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Grand%20Prairie,%20Texas"
