"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Highline Kitchen Systems","(808) 589-1104","https://www.yellowpages.com/honolulu-hi/mip/highline-kitchen-systems-547036078","Bathroom Remodeling,Kitchen Planning & Remodeling Service","https://www.netflix.com","","1159 Bethel St","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"2. ","Dangler Construction Inc","(808) 526-4541","https://www.yellowpages.com/honolulu-hi/mip/dangler-construction-inc-8168173","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.danglerdesign.com","","415 South St Apt 2602","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"3. ","Warranty Service Inc","(808) 949-4947","https://www.yellowpages.com/honolulu-hi/mip/warranty-service-inc-465972353","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.tghawaii.com","","350 Ward Ave Ste 106-5","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"4. ","Details International Inc","(808) 521-7424","https://www.yellowpages.com/honolulu-hi/mip/details-international-inc-1366218","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.details-international.com/indoor-kitchens","","560 N Nimitz Hwy Ste 104","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"5. ","Studio Becker Hawaii","(808) 949-1700","https://www.yellowpages.com/honolulu-hi/mip/studio-becker-hawaii-497325092","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://studiobecker.com/en/home-page","","560 N Nimitz Hwy Ste 109","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"6. ","Lifestyle Design Studio","(808) 593-8944","https://www.yellowpages.com/honolulu-hi/mip/lifestyle-design-studio-493455733","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.lifestyledesignstudioinc.com","","401 Kamakee St Ste 301","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"7. ","Kitchen Concepts Plus Inc","(808) 524-6656","https://www.yellowpages.com/honolulu-hi/mip/kitchen-concepts-plus-inc-473454659","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2047 Nuuanu Ave Apt 209","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"8. ","Highline Kitchen Systems","(808) 589-1185","https://www.yellowpages.com/honolulu-hi/mip/highline-kitchen-systems-341625","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://highlinekitchensystems.com","","1276 Young St","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"9. ","Thrive for Life","(808) 797-2590","https://www.yellowpages.com/honolulu-hi/mip/thrive-for-life-557114863","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://thriveforlife.com/contact","","1441 Kapiolani Blvd","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"10. ","Island Home Designer","(415) 562-5029","https://www.yellowpages.com/honolulu-hi/mip/island-home-designer-472416071","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets & Equipment-Household","http://www.islandhomedesigner.blogspot.com","","1450 Ala Moana Blvd","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"11. ","HPS Home Improvement Service","(808) 847-4400","https://www.yellowpages.com/honolulu-hi/mip/hps-home-improvement-service-462514564","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hpsconstructionservices.com","","819 Moowaa St Ste 203","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"12. ","S. Tanaka Construction LLC","(808) 848-5010","https://www.yellowpages.com/honolulu-hi/mip/s-tanaka-construction-llc-475359432?lid=1001510715075","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://stanakaconstruction.com/","","1349 Mookaula St","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"13. ","Alm Cabinets & Granite","(808) 841-3224","https://www.yellowpages.com/honolulu-hi/mip/alm-cabinets-granite-542661368","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","321 Mokauea St Ste B","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"14. ","Hawaii Custom Building","(808) 224-9884","https://www.yellowpages.com/honolulu-hi/mip/hawaii-custom-building-546443167","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2855 Booth Rd","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"15. ","Century Home Specialties","(808) 841-8010","https://www.yellowpages.com/honolulu-hi/mip/century-home-specialties-468249935","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","748 Gulick Ave","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"16. ","Rui Construction Supply Inc.","(808) 848-8820","https://www.yellowpages.com/honolulu-hi/mip/rui-construction-supply-inc-461332310","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.ruisupplyandconstruction.net","","155 Sand Island Access Rd","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"17. ","Kitchen & Bath Remodeling","(808) 848-8151","https://www.yellowpages.com/honolulu-hi/mip/kitchen-bath-remodeling-12955388","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinet Makers","http://www.kbremodeling.com","","2333 Alahao Pl Unit C4","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"18. ","B & J Interior","(808) 387-4895","https://www.yellowpages.com/honolulu-hi/mip/b-j-interior-556717795","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2442 Kuhio Ave Apt 504","Honolulu","HI","96815","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"19. ","John Cook Kitchens","(808) 599-3533","https://www.yellowpages.com/honolulu-hi/mip/john-cook-kitchens-459215305","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.johncookkitchens.com","","623 Kakoi St","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"20. ","DRAFTECHi","(808) 778-4921","https://www.yellowpages.com/honolulu-hi/mip/draftechi-506625741","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.draftechillc.com","","2800 Woodlawn Dr Ste 151","Honolulu","HI","96822","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"21. ","Kitchen Bath & Closet Showroom","(808) 737-6700","https://www.yellowpages.com/honolulu-hi/mip/kitchen-bath-closet-showroom-18189373","Bathroom Remodeling,Altering & Remodeling Contractors,Home Improvements","","","1016 Kapahulu Ave","Honolulu","HI","96816","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"22. ","Accent Design & Renovations","(808) 295-8501","https://www.yellowpages.com/honolulu-hi/mip/accent-design-renovations-491374755","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://www.homerenovationshawaii.com","","758 Kapahulu Ave Ste 100-935","Honolulu","HI","96816","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"23. ","Pacific Craftworks","(808) 839-2345","https://www.yellowpages.com/honolulu-hi/mip/pacific-craftworks-520947966","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://pacificcraftworks.com","","3219 Koapaka St","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"24. ","Josh Design Build","(808) 232-4472","https://www.yellowpages.com/honolulu-hi/mip/josh-design-build-515201874","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.joshdesignbuild.com/ContactUs.asp","","1039 Wiliki Dr","Honolulu","HI","96818","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"25. ","National Builders","(808) 377-1100","https://www.yellowpages.com/honolulu-hi/mip/national-builders-463189466","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.nationalbuild.com","","831 W Hind Dr","Honolulu","HI","96821","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
"26. ","Copenhagen Kitchens Inc","(808) 741-5354","https://www.yellowpages.com/honolulu-hi/mip/copenhagen-kitchens-inc-2033106","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.copenhagenkitchens.com","","291 Elelupe Rd","Honolulu","HI","96821","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Honolulu,%20Hawaii"
