"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kitchen and Bath Decor & More Houston Kitchen Remodeling and Bathroom Remodeling Co","(832) 620-1700","https://www.yellowpages.com/houston-tx/mip/kitchen-and-bath-decor-more-houston-kitchen-remodeling-and-bathroom-remodeling-co-548480660","Kitchen Planning & Remodeling Service","https://kitchenandbathdecorhouston.com","","1707 S Durham Dr","Houston","TX","77007","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"2. ","Solar Direct Developers Construction & Remodels","(800) 820-1837","https://www.yellowpages.com/houston-tx/mip/solar-direct-developers-construction-remodels-452303180","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Roof & Floor Structures","https://developersconstruction.com","","1426 Gessner Rd","Houston","TX","77080","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"3. ","Ryan Construction & Remodeling, LLC","(832) 512-2193","https://www.yellowpages.com/houston-tx/mip/ryan-construction-remodeling-llc-475601896","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.ryanhallconstruction.com","","","Houston","TX","77095","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"4. ","Amazing Remodelers of Texas","(832) 850-7694","https://www.yellowpages.com/houston-tx/mip/amazing-remodelers-of-texas-459455031","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.amazingremodelersoftexas.com","","6125 W Sam Houston Pkwy N Ste 301","Houston","TX","77041","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"5. ","E & D All Star Construction Inc","(800) 284-4690","https://www.yellowpages.com/houston-tx/mip/e-d-all-star-construction-inc-527617769","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.edallstarconstructioninc.com","","13035 S Post Oak Rd","Houston","TX","77045","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"6. ","Millbrook Construction","(713) 423-4790","https://www.yellowpages.com/houston-tx/mip/millbrook-construction-23257362?lid=1001853129101","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.millbrook-construction.com","","906 E 23rd St","Houston","TX","77009","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"7. ","Lux Remodeling LLC","(855) 589-7377","https://www.yellowpages.com/houston-tx/mip/lux-remodeling-llc-481060420","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","PO Box 931","Houston","TX","77001","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"8. ","Fitzgerald's Renovation Service","(713) 528-3013","https://www.yellowpages.com/houston-tx/mip/fitzgeralds-renovation-service-16813397","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.fitzgeraldsrenovation.com","","P.O.Box 27323","Houston","TX","77227","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"9. ","Hestia Construction & Design","(832) 683-9131","https://www.yellowpages.com/houston-tx/mip/hestia-construction-design-541697477","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.hestiahomeservices.com","","16000 Barkers Point Ln Ste 202","Houston","TX","77079","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"10. ","Xtreme Renovations","(281) 345-4233","https://www.yellowpages.com/houston-tx/mip/xtreme-renovations-464562749","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","","","9310 Point Park Dr","Houston","TX","77095","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"11. ","Lone Star Contracting","(832) 766-6260","https://www.yellowpages.com/houston-tx/mip/lone-star-contracting-452320564","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://lonestarcontractinghouston.com","","5508 Old Greenhouse Rd Ste 400","Houston","TX","77084","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"12. ","Bellreed Designs","(713) 807-0770","https://www.yellowpages.com/houston-tx/mip/bellreed-designs-15974810","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://bellreed.com","","2437 Bartlett St","Houston","TX","77098","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
"13. ","Custom Plumbing & Hardware","(713) 961-1324","https://www.yellowpages.com/houston-tx/mip/custom-plumbing-hardware-9261454","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.customplumbingandhardware.com","","7020 Portwest Dr","Houston","TX","77024","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Houston,%20Texas"
