"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Martin Thibault Construction","(714) 421-3429","https://www.yellowpages.com/huntington-beach-ca/mip/martin-thibault-construction-465932519?lid=1001814941136","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","18685 Main St Ste 219","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"2. ","Morrissey Design and Build","(913) 219-4919","https://www.yellowpages.com/huntington-beach-ca/mip/morrissey-design-and-build-503980918","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Residential Designers","","","221 10th St Apt 6","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"3. ","Cabinets and Refinishing","(714) 401-4409","https://www.yellowpages.com/huntington-beach-ca/mip/cabinets-and-refinishing-530508826","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets-Refinishing, Refacing & Resurfacing","http://www.cabinetsandrefinishing.com","","817 California St Apt C","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"4. ","Geers Kitchen Remodeling & Design Company","(714) 536-1449","https://www.yellowpages.com/huntington-beach-ca/mip/geers-kitchen-remodeling-design-company-531859775","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Plumbers","","","222 Adams Ave","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"5. ","South County Construction","(714) 395-9467","https://www.yellowpages.com/huntington-beach-ca/mip/south-county-construction-465999568","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","","","7702 Timber Cir Apt 2","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"6. ","da Vinci Kitchen & Bath","(714) 596-7733","https://www.yellowpages.com/huntington-beach-ca/mip/da-vinci-kitchen-bath-510502023","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","16891 Beach Blvd","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"7. ","Pacific Kitchen Bath Flooring","(949) 433-2875","https://www.yellowpages.com/huntington-beach-ca/mip/pacific-kitchen-bath-flooring-547431067","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://pacifickitchenbathflooring.com","","15891 Goldenwest St","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"8. ","ORANGE COUNTY CONSTRUCTION","(714) 231-9773","https://www.yellowpages.com/huntington-beach-ca/mip/orange-county-construction-456513234","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://orangecountyconstruction.com","","15401 Chemical Ln","Huntington Beach","CA","92649","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"9. ","Affordable Contractors","(714) 450-2721","https://www.yellowpages.com/huntington-beach-ca/mip/affordable-contractors-243998","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.affordable-contractors.com","","5822 Spa Dr","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
"10. ","Da Vinci Kitchen, Bath & Flooring","(714) 965-1020","https://www.yellowpages.com/huntington-beach-ca/mip/da-vinci-kitchen-bath-flooring-474676532?lid=1000437169822","Kitchen Planning & Remodeling Service,Home Repair & Maintenance,Tile-Contractors & Dealers","http://www.davincikbf.com","","18582 Beach Blvd","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Huntington%20Beach,%20California"
