"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Frontier Builders Int.","(702) 567-0167","https://www.yellowpages.com/las-vegas-nv/mip/frontier-builders-int-481428070?lid=1001328717522","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.frontierbuilders.com","","8275 S Eastern Ave","Las Vegas","NV","89123","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"2. ","First Source Services","(702) 756-9482","https://www.yellowpages.com/las-vegas-nv/mip/first-source-services-523885343","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Patio Builders","http://outdoorpatiocoverslasvegas.com","","9850 S Maryland Pkwy","Las Vegas","NV","89183","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"3. ","Designer Kitchen & Bath","(702) 326-3202","https://www.yellowpages.com/las-vegas-nv/mip/designer-kitchen-bath-460684824","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","6504 Alpine Forest Ct","Las Vegas","NV","89149","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"4. ","A Best Bathtub Repair & Refinishing","(702) 948-7885","https://www.yellowpages.com/las-vegas-nv/mip/a-best-bathtub-repair-refinishing-457053418?lid=1002046847878","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.abesttubrepair.com","","5241 S Lakewood Ct","Las Vegas","NV","89120","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"5. ","Re-Bath of Las Vegas","(702) 740-2284","https://www.yellowpages.com/las-vegas-nv/mip/re-bath-of-las-vegas-13173988","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://rebath.com/lasvegas","","5195 S Valley View Blvd","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"6. ","GI Construction","(702) 508-1188","https://www.yellowpages.com/las-vegas-nv/mip/gi-construction-527394126","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.giclv.com","","3230 S Buffalo Dr Ste 105","Las Vegas","NV","89117","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"7. ","Bathroom Remodeling by Fernandez","(702) 871-6024","https://www.yellowpages.com/las-vegas-nv/mip/bathroom-remodeling-by-fernandez-452510419","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","5353 S Valley View Blvd","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"8. ","Silver Hawk Construction","(702) 960-7754","https://www.yellowpages.com/las-vegas-nv/mip/silver-hawk-construction-505294673","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://silverhawkconstructionlv.com","","4405 E Sahara Ave Ste 6","Las Vegas","NV","89104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"9. ","Kitchen & Bath Done Right","(702) 583-2978","https://www.yellowpages.com/las-vegas-nv/mip/kitchen-bath-done-right-526501112","Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers,Kitchen Cabinets & Equipment-Wholesale & Manufacturers","","","4425 E Sahara Ave","Las Vegas","NV","89104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
"10. ","Adj","(702) 629-2076","https://www.yellowpages.com/las-vegas-nv/mip/adj-472148948","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://adjcontracting.com","","3111 S Valley View Blvd","Las Vegas","NV","89102","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Las%20Vegas,%20Nevada"
