"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Hydro Bath Design","(305) 423-9908","https://www.yellowpages.com/miami-fl/mip/hydro-bath-design-480092170","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.hydrobathusa.com","","5780 NW 72nd Ave","Miami","FL","33166","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"2. ","Villar Gallery","(786) 502-2189","https://www.yellowpages.com/miami-fl/mip/villar-gallery-497113320","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://villargallery.com","","2798 NW 79th Ave","Miami","FL","33122","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"3. ","Miami Design Center","(305) 221-6988","https://www.yellowpages.com/miami-fl/mip/miami-design-center-527967908","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Bathroom Fixtures, Cabinets & Accessories-Wholesale & Manufacturers","http://www.miamidesigncenter.com","","13118 S Dixie Hwy","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"4. ","Precision Remodeling","(954) 549-9469","https://www.yellowpages.com/miami-fl/mip/precision-remodeling-479230967","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.precisionremodelinginc.webs.com","","20082 NE 15th Ct","Miami","FL","33179","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"5. ","Custom Cabinet & Marble","(786) 688-3201","https://www.yellowpages.com/miami-fl/mip/custom-cabinet-marble-556032840?lid=1002101338645","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Masonry Contractors","http://www.customcabinetmarble.com","","13116 SW 128 street","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"6. ","Innerspace Miami","(786) 390-8636","https://www.yellowpages.com/miami-fl/mip/innerspace-miami-483811802","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","http://www.facebook.com/innerspacemiami","","450 NW 27th St","Miami","FL","33127","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"7. ","Kitchen and Bathroom Collection","(305) 300-0317","https://www.yellowpages.com/miami-fl/mip/kitchen-and-bathroom-collection-470034837","Altering & Remodeling Contractors,Home Improvements","","","3333 NW 7th Ave","Miami","FL","33127","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"8. ","Ache Finish Carpentry","(786) 304-5989","https://www.yellowpages.com/miami-fl/mip/ache-finish-carpentry-480608882","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","935 SW 6th St Apt 5","Miami","FL","33130","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"9. ","Bath & Kitchen Boutique","(305) 974-7282","https://www.yellowpages.com/miami-fl/mip/bath-kitchen-boutique-502231760","Kitchen Planning & Remodeling Service,Kitchen Cabinets & Equipment-Wholesale & Manufacturers","https://www.bk-b.com","","2750 NW 3rd Ave Ste 13","Miami","FL","33127","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"10. ","Panda Kitchen and Bath","(305) 639-5700","https://www.yellowpages.com/miami-fl/mip/panda-kitchen-and-bath-465217681","Altering & Remodeling Contractors,Home Improvements","http://pandakitchen.com","","3400 NW 34th St","Miami","FL","33142","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"11. ","Aluniq","(305) 381-5211","https://www.yellowpages.com/miami-fl/mip/aluniq-520841833","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.aluniq.com","","1635 N Miami Ave","Miami","FL","33136","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"12. ","Kitchen & Bath Remodel of Miami","(786) 292-0922","https://www.yellowpages.com/miami-fl/mip/kitchen-bath-remodel-of-miami-506785782","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","3501 NW 33rd St Ste 23","Miami","FL","33142","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"13. ","Alno Kitchens USA","(305) 576-2566","https://www.yellowpages.com/miami-fl/mip/alno-kitchens-usa-478342008","Kitchen Planning & Remodeling Service,Kitchen Cabinets-Refinishing, Refacing & Resurfacing,Cabinet Makers","http://www.alno-usa.com","","3650 N Miami Ave","Miami","FL","33127","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"14. ","The Bathroom Boutique","(305) 858-9084","https://www.yellowpages.com/miami-fl/mip/the-bathroom-boutique-525333891","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Home Centers","https://tbboutique.com","","2700 SW 3rd Ave","Miami","FL","33129","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
"15. ","Hausscape, Inc.","(305) 573-0169","https://www.yellowpages.com/miami-fl/mip/hausscape-inc-503186408","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.hausscape.com","","4141 NE 2nd Ave Ste 104","Miami","FL","33137","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Miami,%20Florida"
