"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Artistic Kitchen Creations","(952) 926-1900","https://www.yellowpages.com/minneapolis-mn/mip/artistic-kitchen-creations-2382450","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Interior Designers & Decorators","http://www.artistickitchencreations.com","","5708 W 36th St","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"2. ","Jackson Construction","(651) 247-9625","https://www.yellowpages.com/minneapolis-mn/mip/jackson-construction-13153185","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","","Minneapolis","MN","55426","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"3. ","UNIQUE GRANITE","(952) 688-8656","https://www.yellowpages.com/minneapolis-mn/mip/unique-granite-506950383","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Stone Natural","","","7308 Aspen Ln N","Minneapolis","MN","55428","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"4. ","Murphy Bros. Design | Build | Remodel","(763) 780-3262","https://www.yellowpages.com/minneapolis-mn/mip/murphy-bros-design-build-remodel-473214433","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.mbros.com","","1613 93rd Ln NE","Minneapolis","MN","55449","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"5. ","Walsh Plumbing","(763) 312-8283","https://www.yellowpages.com/minneapolis-mn/mip/walsh-plumbing-14087922?lid=1002004705651","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.walshplumbing.com","","9711 6th St NE","Minneapolis","MN","55434","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"6. ","John Haley #1 Roofer","(612) 395-4779","https://www.yellowpages.com/minneapolis-mn/mip/john-haley-1-roofer-11680051?lid=1000129562597","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.johnhaleynumberoneroofer.com/#cid=sem::spps","","7204 W 27th St","Minneapolis","MN","55426","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"7. ","SPS Kitchen & Bath Showrooms","(952) 920-1460","https://www.yellowpages.com/minneapolis-mn/mip/sps-kitchen-bath-showrooms-545548076?lid=1001781844035","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Contractors","","","6363 Highway 7","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"8. ","Sherburne Construction, LLC","(507) 884-7145","https://www.yellowpages.com/minneapolis-mn/mip/sherburne-construction-llc-497793752","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","521 S 7th St Unit 420","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"9. ","Cold Creek Construction","(952) 292-9508","https://www.yellowpages.com/minneapolis-mn/mip/cold-creek-construction-19776022","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.coldcreek-construction.com","","","Minneapolis","MN","55401","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"10. ","Uson Design Solutions","(612) 353-6061","https://www.yellowpages.com/minneapolis-mn/mip/uson-design-solutions-460311854","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.usontile.com","","275 Market St Ste 113","Minneapolis","MN","55405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"11. ","Custom Kitchens & Design Inc","(612) 338-3991","https://www.yellowpages.com/minneapolis-mn/mip/custom-kitchens-design-inc-465018622","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.sawhillkitchens.com","","275 Market St Ste 157","Minneapolis","MN","55405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"12. ","Mantis Design & Build","(612) 377-0123","https://www.yellowpages.com/minneapolis-mn/mip/mantis-design-build-502555458","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Roofing Contractors","http://www.mantisdesignbuild.com","","465 Newton Ave S","Minneapolis","MN","55405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"13. ","Tom Ferrell Remodel","(612) 730-5771","https://www.yellowpages.com/minneapolis-mn/mip/tom-ferrell-remodel-484714291","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","225 Thomas Ave N","Minneapolis","MN","55405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"14. ","Mighty Fine Kitchens and Baths","(612) 267-5867","https://www.yellowpages.com/minneapolis-mn/mip/mighty-fine-kitchens-and-baths-555681768","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","2014 Sheridan Ave S","Minneapolis","MN","55405","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"15. ","Expert Handyman and Remodeling Services","(612) 708-2781","https://www.yellowpages.com/minneapolis-mn/mip/expert-handyman-and-remodeling-services-481417300","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2807 Polk St NE","Minneapolis","MN","55418","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"16. ","Castle Building & Remodeling, Inc.","(612) 789-8509","https://www.yellowpages.com/minneapolis-mn/mip/castle-building-remodeling-inc-524502916","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.castlebri.com","","2710 E 33rd St","Minneapolis","MN","55406","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"17. ","Chael Remodeling LLC","(763) 221-9914","https://www.yellowpages.com/minneapolis-mn/mip/chael-remodeling-llc-492084030","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2523 Upton Ave N","Minneapolis","MN","55411","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"18. ","HAMMER WORKS LLC","(612) 607-4011","https://www.yellowpages.com/minneapolis-mn/mip/hammer-works-llc-549454024","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hammerworksllc.com","","3736 Portland Ave","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"19. ","Kailer Construction Co.","(612) 558-0749","https://www.yellowpages.com/minneapolis-mn/mip/kailer-construction-co-464079952","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","4149 Oakland Ave","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"20. ","Hanson Building and Remodeling","(612) 655-4961","https://www.yellowpages.com/minneapolis-mn/mip/hanson-building-and-remodeling-544403182","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.hansonremodeling.com/contact","","4210 E 34th St","Minneapolis","MN","55406","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"21. ","House Dressing Company Inc","(952) 920-8301","https://www.yellowpages.com/minneapolis-mn/mip/house-dressing-company-inc-5027964","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.housedressingcompany.com","","3322 W 32nd St","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"22. ","North Metro Renovators","(612) 720-2898","https://www.yellowpages.com/minneapolis-mn/mip/north-metro-renovators-502669365","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.northmetrorenovators.com","","3835 Queen Ave N","Minneapolis","MN","55412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"23. ","H2 Development Inc","(612) 290-8151","https://www.yellowpages.com/minneapolis-mn/mip/h2-development-inc-514405775","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.h2developmentinc.com","","4338 Portland Ave","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"24. ","Inspired Spaces","(612) 360-4180","https://www.yellowpages.com/minneapolis-mn/mip/inspired-spaces-459990253","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.inspiredspacesmn.com","","4336 Lyndale Ave S","Minneapolis","MN","55409","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"25. ","E & P General Cleaning & Home Repair, Inc.","(612) 559-6259","https://www.yellowpages.com/minneapolis-mn/mip/e-p-general-cleaning-home-repair-inc-22391317","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","4548 Portland Ave","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"26. ","VIP Home Center","(612) 521-7663","https://www.yellowpages.com/minneapolis-mn/mip/vip-home-center-482531","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","4626 Lyndale Ave N","Minneapolis","MN","55412","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"27. ","Pearson Builders & Remodelers Inc","(952) 928-8372","https://www.yellowpages.com/minneapolis-mn/mip/pearson-builders-remodelers-inc-7165815","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://remodelingdimensions.com","","3947 Excelsior Blvd Ste 120A","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"28. ","DM Wallace Custom Homes","(612) 200-1800","https://www.yellowpages.com/minneapolis-mn/mip/dm-wallace-custom-homes-514371889","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","","","4712 Cedar Ave S","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"29. ","Homeinsight","(952) 994-8041","https://www.yellowpages.com/minneapolis-mn/mip/homeinsight-498533039","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.home-insight.net","","3021 Zarthan Ave S","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
"30. ","Schrader Companies","(952) 465-3582","https://www.yellowpages.com/minneapolis-mn/mip/schrader-companies-462118265","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.schradercompanies.com","","4725 Excelsior Blvd Ste 300","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Minneapolis,%20Minnesota"
