"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Handyman House Techs","(251) 478-2200","https://www.yellowpages.com/mobile-al/mip/handyman-house-techs-477904348?lid=1000613051707","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","http://www.handymanhousetechs.com","","2504 Dauphin St","Mobile","AL","36606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"2. ","Dyson Plumbing Company Inc.","(251) 476-6512","https://www.yellowpages.com/mobile-al/mip/dyson-plumbing-company-inc-526530739?lid=1001950254187","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://dysonplumbing.com","","119 Abrams St","Mobile","AL","36607","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"3. ","Chuck Dixon Home Improvements Inc","(251) 633-3421","https://www.yellowpages.com/mobile-al/mip/chuck-dixon-home-improvements-inc-12668532?lid=1001532804115","Bathroom Remodeling,Building Contractors,General Contractors","http://www.chuckdixonhomeimprovements.com","","3121 Olde Gate Rd","Mobile","AL","36695","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"4. ","kitchen and bath remodeler","(864) 367-4800","https://www.yellowpages.com/mobile-al/mip/kitchen-and-bath-remodeler-530524067","Bathroom Remodeling","","","2867 ralston rd","Mobile","AL","36606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"5. ","Lipford Construction, Inc.","(251) 476-3323","https://www.yellowpages.com/mobile-al/mip/lipford-construction-inc-5473916","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.lipfordconstruction.com","","75 Midtown Park E","Mobile","AL","36606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"6. ","Ayer Remodeling","(251) 408-1253","https://www.yellowpages.com/mobile-al/mip/ayer-remodeling-565172109","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","5156 Quimby Drive  Mobile Al","Mobile","AL","36619","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"7. ","251-661-3131","(251) 331-6161","https://www.yellowpages.com/mobile-al/mip/251-661-3131-481488781","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Plumbers","","","","Mobile","AL","36606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"8. ","DRC Renovations","(251) 207-7379","https://www.yellowpages.com/mobile-al/mip/drc-renovations-562809300","Bathroom Remodeling,Kitchen Planning & Remodeling Service","https://drcrenovations.com","","","Mobile","AL","36695","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"9. ","DRC Renovations","(251) 586-1637","https://www.yellowpages.com/mobile-al/mip/drc-renovations-505139825","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","832 Willow Bridge Dr W","Mobile","AL","36695","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"10. ","Mobile Marble","(251) 344-6272","https://www.yellowpages.com/mobile-al/mip/mobile-marble-14566557","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Marble-Natural","http://www.mobilemarblecompany.com","","6656 Overlook Rd","Mobile","AL","36618","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"11. ","The Cabinet Shop","(251) 607-0571","https://www.yellowpages.com/mobile-al/mip/the-cabinet-shop-505139842?lid=1000810573179","Bathroom Remodeling,Home Repair & Maintenance,Cabinets","https://thecabinetshopllc.com","","2835 Harmon Williams Rd","Mobile","AL","36608","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"12. ","Heritage Homes of Mobile Inc","(251) 666-3950","https://www.yellowpages.com/mobile-al/mip/heritage-homes-of-mobile-inc-503239612","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.heritagehomesfamily.com","","5191 Highway 90 W","Mobile","AL","36619","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"13. ","Advance Refinishing & Remodeling","(251) 455-7337","https://www.yellowpages.com/mobile-al/mip/advance-refinishing-remodeling-454040254","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Bathtubs & Sinks-Repair & Refinish","","","","Mobile","AL","36602","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"14. ","T C M Remodelors Inc","(251) 433-9000","https://www.yellowpages.com/mobile-al/mip/t-c-m-remodelors-inc-8965644","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://tcmremodelors.com","","1061 Elmira St","Mobile","AL","36604","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"15. ","Nu Vision Services","(251) 604-3415","https://www.yellowpages.com/mobile-al/mip/nu-vision-services-454098449","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","454 Delaware Ct","Mobile","AL","36603","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
"16. ","Professional Stone","(251) 404-9703","https://www.yellowpages.com/mobile-al/mip/professional-stone-22389388","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Granite","","","519 Bay Shore Ave","Mobile","AL","36607","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Mobile,%20Alabama"
