"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Custom Marble and Onyx","(209) 818-0542","https://www.yellowpages.com/modesto-ca/mip/custom-marble-and-onyx-461707162?lid=1000923288077","Bathroom Remodeling,Home Repair & Maintenance,Stone Products","http://www.custommarbleandonyx.com","","201 Winmoore Way","Modesto","CA","95358","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"2. ","Zanini's Custom Cabinets","(209) 526-6715","https://www.yellowpages.com/modesto-ca/mip/zaninis-custom-cabinets-461701934?lid=1001696153527","Kitchen Planning & Remodeling Service,Cabinets,Home Repair & Maintenance","http://www.zaninis.com","","5054 Pentecost Dr","Modesto","CA","95356","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"3. ","Don's Mobile Glass","(209) 846-3359","https://www.yellowpages.com/modesto-ca/mip/dons-mobile-glass-473843298?lid=1002070106125","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Windshield Repair","http://www.wardrobeandbath.com","","3800 Finch Rd","Modesto","CA","95357","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"4. ","Kitchen and Bath Crate","(888) 995-7996","https://www.yellowpages.com/modesto-ca/mip/kitchen-and-bath-crate-520888305","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.mykitchencrate.com","","1228 9th St","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"5. ","Robert Mauk","(209) 522-2547","https://www.yellowpages.com/modesto-ca/mip/robert-mauk-489632119","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","","","132 Bonita Cir","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"6. ","Blue Diamond Kitchen & Bath","(209) 577-9000","https://www.yellowpages.com/modesto-ca/mip/blue-diamond-kitchen-bath-544952828","Bathroom Remodeling,Altering & Remodeling Contractors,Home Improvements","https://bluediamondkb.com","","909 N Emerald Ave","Modesto","CA","95351","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"7. ","Mid State Plumbing","(209) 204-2906","https://www.yellowpages.com/modesto-ca/mip/mid-state-plumbing-22010884","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Plumbing Contractors-Commercial & Industrial","","","Po Box 576702","Modesto","CA","95357","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"8. ","The Plumber","(209) 735-8443","https://www.yellowpages.com/modesto-ca/mip/the-plumber-507771031","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Construction & Building Equipment","","","441 San Juan Dr","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"9. ","Modesto Kitchen & Bath","(209) 526-4142","https://www.yellowpages.com/modesto-ca/mip/modesto-kitchen-bath-13512081","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.modestokitchenandbath.com","","1616 Tully Rd","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
"10. ","Precision Finish & Install","(209) 604-1776","https://www.yellowpages.com/modesto-ca/mip/precision-finish-install-488178453","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","3221 Plantation Ct","Modesto","CA","95355","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Modesto,%20California"
