"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Nevada Trimpak Inc","(775) 851-4467","https://www.yellowpages.com/reno-nv/mip/nevada-trimpak-inc-461859817","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://trimpak.com","","2675 Fury Ct","Reno","NV","89521","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"2. ","Banner  Construction Inc","(775) 557-6209","https://www.yellowpages.com/reno-nv/mip/banner-construction-inc-466163535?lid=1001774614082","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.bannerconstructioninc.com/","","2536 Sutro St","Reno","NV","89512","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"3. ","Kitchens & Bath By Louise A Gilmartin","(775) 322-9004","https://www.yellowpages.com/reno-nv/mip/kitchens-bath-by-louise-a-gilmartin-5261996","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchensandbathsbylouise.com","","102 Vine St","Reno","NV","89503","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"4. ","Vaughn & Sons Construction, Inc.","(775) 324-1935","https://www.yellowpages.com/reno-nv/mip/vaughn-sons-construction-inc-13066290","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Mold Remediation","http://www.vaughnandsons.com","","561 Keystone Ave # 397","Reno","NV","89503","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"5. ","Pace & Associates Inc.","(775) 835-1690","https://www.yellowpages.com/reno-nv/mip/pace-associates-inc-481382844","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","PO Box 5159","Reno","NV","89513","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"6. ","Curtis Bros Construction","(775) 857-1151","https://www.yellowpages.com/reno-nv/mip/curtis-bros-construction-27036426","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Mold Remediation","","","572 Reactor Way","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"7. ","DreamMaker Bath & Kitchen of Reno","(775) 993-2400","https://www.yellowpages.com/reno-nv/mip/dreammaker-bath-kitchen-of-reno-550522026","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.dreammaker-remodel.com/reno","","740 Del Monte Ln Ste 8","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"8. ","Truppi Construction Inc","(775) 852-6511","https://www.yellowpages.com/reno-nv/mip/truppi-construction-inc-458636727","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://truppiconstruction.com","","3550 Barron Way Ste 7a","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"9. ","Next Level Construction, Inc.","(775) 410-0610","https://www.yellowpages.com/reno-nv/mip/next-level-construction-inc-504746000","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Construction Estimates","","","PO Box 19584","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"10. ","Dunnrite Construction & Electric Inc","(775) 354-8818","https://www.yellowpages.com/reno-nv/mip/dunnrite-construction-electric-inc-1733019","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://dunnriteconstructionreno.com","","59 Damonte Ranch Pkwy","Reno","NV","89521","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"11. ","James T. Uchytil Construction","(775) 826-8166","https://www.yellowpages.com/reno-nv/mip/james-t-uchytil-construction-523303895","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","PO Box 10634","Reno","NV","89510","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"12. ","Kirby Construction Company","(775) 359-7688","https://www.yellowpages.com/reno-nv/mip/kirby-construction-company-483305944","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.kirbyconstructionco.com","","122 Ridge St Ste D","Reno","NV","89501","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"13. ","King Bee Construction","(775) 284-0710","https://www.yellowpages.com/reno-nv/mip/king-bee-construction-457085484","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kingbeeconstruction.com","","804 Mill St","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"14. ","Bridges Construction Inc","(775) 856-1732","https://www.yellowpages.com/reno-nv/mip/bridges-construction-inc-16968313","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.bridgesconst.com","","1121 University Terr","Reno","NV","89503","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"15. ","Building Tectonics","(775) 358-4433","https://www.yellowpages.com/reno-nv/mip/building-tectonics-451264701","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.btect.com","","520 Sunshine Ln","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"16. ","Banner Construction Inc.","(775) 787-1966","https://www.yellowpages.com/reno-nv/mip/banner-construction-inc-474546560","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Deck Builders","http://www.bannerconstructioninc.com","","1755 Wyoming Ave","Reno","NV","89503","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"17. ","Red's Construction","(775) 849-2885","https://www.yellowpages.com/reno-nv/mip/reds-construction-461697252","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.redsconstructionreno.com","","490 Margrave Dr","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
"18. ","U B Fixed","(775) 323-3373","https://www.yellowpages.com/reno-nv/mip/u-b-fixed-466081231","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.ubfixed.com","","Reno 89515","Reno","NV","89515","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Reno,%20Nevada"
