"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","McKenna's Rochester Kitchen & Bath Centers","(585) 427-2320","https://www.yellowpages.com/rochester-ny/mip/mckennas-rochester-kitchen-bath-centers-451260789","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://www.mckennasrochester.com","","3401 Winton Pl","Rochester","NY","14623","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"2. ","Superior Home Renovations","(585) 303-4372","https://www.yellowpages.com/rochester-ny/mip/superior-home-renovations-522268374","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.superiorhomerenovations.com","","414 Squareview Ln","Rochester","NY","14626","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"3. ","Rochester Residential Remodeling","(585) 442-4700","https://www.yellowpages.com/rochester-ny/mip/rochester-residential-remodeling-466506576","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Windows","http://www.rochesterresidentialremodeling.com","","24 Faraday St","Rochester","NY","14610","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"4. ","Dell's House of Kitchens Inc","(585) 272-1840","https://www.yellowpages.com/rochester-ny/mip/dells-house-of-kitchens-inc-3053864","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.dellshouseofkitchens.com","","3445 Winton Pl","Rochester","NY","14623","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"5. ","Warner Building","(585) 232-1760","https://www.yellowpages.com/rochester-ny/mip/warner-building-462911255","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.markiventerprises.com","","301 Exchange Blvd","Rochester","NY","14608","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"6. ","Bryce and Doyle Craftsmanship","(585) 232-4520","https://www.yellowpages.com/rochester-ny/mip/bryce-and-doyle-craftsmanship-460675596","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Kitchen Cabinets-Refinishing, Refacing & Resurfacing","http://www.bryceanddoyle.com","","19 Jay St","Rochester","NY","14608","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"7. ","B. Vezelis Company","(585) 732-4618","https://www.yellowpages.com/rochester-ny/mip/b-vezelis-company-17945051","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.bvezelisco.com","","PO Box 16355","Rochester","NY","14616","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"8. ","Artisan Cabinetworks","(585) 770-0791","https://www.yellowpages.com/rochester-ny/mip/artisan-cabinetworks-501433582","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","http://www.artisancabinetworks.com","","850 Saint Paul St","Rochester","NY","14605","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"9. ","R & S Remodeling Heating & Cooling","(585) 749-7984","https://www.yellowpages.com/rochester-ny/mip/r-s-remodeling-heating-cooling-525265665","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","875 E Main St Ste 360","Rochester","NY","14605","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
"10. ","DP Customs N Terior & X Terior","(585) 512-8856","https://www.yellowpages.com/rochester-ny/mip/dp-customs-n-terior-x-terior-456163265","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.dpcustomsny.com","","436 Magnolia St","Rochester","NY","14611","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Rochester,%20New%20York"
