"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Woodward Kitchen & Bath","(661) 251-3865","https://www.yellowpages.com/santa-clarita-ca/mip/woodward-kitchen-bath-21991973","Altering & Remodeling Contractors,Kitchen Cabinets & Equipment-Household,Major Appliances","http://woodwardkb.com","","20717 Centre Pointe Pkwy","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"2. ","Sears Home Services","(661) 263-0328","https://www.yellowpages.com/santa-clarita-ca/mip/sears-home-services-468634562","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.searshomeservices.com","","Santa Clarita","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"3. ","Silverman's Construction, Inc","(661) 755-8634","https://www.yellowpages.com/santa-clarita-ca/mip/silvermans-construction-inc-21992545","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Deck Builders","http://www.silvermansconstruction.com","","14741 Calla Lily Ct","Santa Clarita","CA","91387","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"4. ","DI MARCO CONSTRUCTION CO.","(661) 297-0996","https://www.yellowpages.com/santa-clarita-ca/mip/di-marco-construction-co-474879903","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.dimarcoconstructioncompany.com","","","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"5. ","Here's How Construction Inc.","(661) 803-6139","https://www.yellowpages.com/valencia-ca/mip/heres-how-construction-inc-24288000","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.hereshowconstruction.com","","25757 Player Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"6. ","Bedrock Development Inc","(661) 244-6901","https://www.yellowpages.com/valencia-ca/mip/bedrock-development-inc-450949628","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","25571 Almendra Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"7. ","Exotic Kitchen & Bath Inc","(661) 255-0090","https://www.yellowpages.com/newhall-ca/mip/exotic-kitchen-bath-inc-11947121","Kitchen Planning & Remodeling Service,Plumbers","","","23228 Lyons Ave","Newhall","CA","91321","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"8. ","Hiatt Premier Homes","(818) 923-3290","https://www.yellowpages.com/newhall-ca/mip/hiatt-premier-homes-525105475","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","http://www.hiattpremierhomes.com","","25548 The Old Rd","NewHall","CA","91322","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"9. ","Cavalier Builders Inc","(818) 610-7660","https://www.yellowpages.com/nationwide/mip/cavalier-builders-inc-462631318?lid=1001452666315","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.cavalierbuildersinc.com","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
"10. ","Glazetek","(661) 888-4435","https://www.yellowpages.com/canyon-country-ca/mip/glazetek-461703997?lid=1000724839039","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Shower Doors & Enclosures","","","19803 Collins Rd","Canyon Country","CA","91351","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Santa%20Clarita,%20California"
