"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kitchens By Krengel Inc","(651) 698-0844","https://www.yellowpages.com/saint-paul-mn/mip/kitchens-by-krengel-inc-11195650","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchensbykrengel.com","","1688 Grand Ave","Saint Paul","MN","55105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"2. ","Kelly Plumbing & Heating, Inc.","(651) 346-0368","https://www.yellowpages.com/saint-paul-mn/mip/kelly-plumbing-heating-inc-467754303?lid=1001887393776","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Water Damage Emergency Service","http://www.kellyplumbinginc.com","","1932 Saint Clair Ave","Saint Paul","MN","55105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"3. ","Rascher Plumbing & Heating","(651) 401-1215","https://www.yellowpages.com/saint-paul-mn/mip/rascher-plumbing-heating-22598398?lid=1001900174793","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.rascherplghtg.com","","712 Smith Ave S","Saint Paul","MN","55107","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"4. ","aad construction and painting LLC","(612) 443-8441","https://www.yellowpages.com/saint-paul-mn/mip/aad-construction-and-painting-llc-524676789?lid=1001433783490","Bathroom Remodeling,Wood Finishing,Hand Painting & Decorating","","","1251 Stryker Ave.","Saint Paul","MN","55118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"5. ","Kal Construction & Design, Inc.","(651) 230-7482","https://www.yellowpages.com/saint-paul-mn/mip/kal-construction-design-inc-25662611","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.kalconstructionanddesign.com","","449 Portland Ave Apt 2","Saint Paul","MN","55102","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"6. ","North Star Remodeling","(651) 227-7061","https://www.yellowpages.com/saint-paul-mn/mip/north-star-remodeling-481485832","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.nsremodel.com","","619 Selby Ave","Saint Paul","MN","55102","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"7. ","Rosscraft Woodwork","(763) 786-0838","https://www.yellowpages.com/saint-paul-mn/mip/rosscraft-woodwork-480917926","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://rosscraftwoodwork.com","","815 Ohio St","Saint Paul","MN","55107","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"8. ","Cities Remodeling Company","(651) 237-4228","https://www.yellowpages.com/saint-paul-mn/mip/cities-remodeling-company-567120494","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","https://www.citiesremodeling.com","","519 Edmund Ave","Saint Paul","MN","55103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"9. ","Advanced Design Contracting","(651) 340-1164","https://www.yellowpages.com/saint-paul-mn/mip/advanced-design-contracting-525680007","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Builders","http://www.adcmn.net","","501 Dale St N Ste 212","Saint Paul","MN","55103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"10. ","Amy's Kitchens","(651) 488-3935","https://www.yellowpages.com/saint-paul-mn/mip/amys-kitchens-7634683","Bathroom Remodeling,Kitchen Planning & Remodeling Service","","","616 Como Ave","Saint Paul","MN","55103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"11. ","Wagner & Lang Construction Inc.","(651) 224-3565","https://www.yellowpages.com/saint-paul-mn/mip/wagner-lang-construction-inc-7774366","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.wagnerandlang.com","","899 Randolph Ave","Saint Paul","MN","55102","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"12. ","Lemke & Sons","(651) 665-9477","https://www.yellowpages.com/saint-paul-mn/mip/lemke-sons-11878833","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.lemkeandsons.com","","1246 7th St W","Saint Paul","MN","55102","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"13. ","Price's Construction & Remodeling","(651) 335-6853","https://www.yellowpages.com/saint-paul-mn/mip/prices-construction-remodeling-22568706","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","https://www.pricesremodeling.com","","1261 Minnehaha Ave E","Saint Paul","MN","55106","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"14. ","Fine Line Granite","(612) 816-2148","https://www.yellowpages.com/saint-paul-mn/mip/fine-line-granite-470817713","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Counter Tops","","","1283 Van Buren Ave","Saint Paul","MN","55104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"15. ","Accent Design & Renovation","(651) 788-9082","https://www.yellowpages.com/saint-paul-mn/mip/accent-design-renovation-463954914","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.accentdesignllc.com","","1635 Oakdale Ave","Saint Paul","MN","55118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"16. ","Ben Quie & Sons","(651) 645-5429","https://www.yellowpages.com/saint-paul-mn/mip/ben-quie-sons-549098338","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.benquieandsons.com","","1410 Energy Park Dr Ste 6","Saint Paul","MN","55108","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"17. ","Prestegaard Construction LLC","(612) 413-1993","https://www.yellowpages.com/saint-paul-mn/mip/prestegaard-construction-llc-538972403","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","2000 Hilding St","Saint Paul","MN","55119","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"18. ","Terra Firma","(651) 207-5575","https://www.yellowpages.com/saint-paul-mn/mip/terra-firma-451837620","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://terrafirmamn.com","","1388 Almond Ave","Saint Paul","MN","55108","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"19. ","NordHaus Design Build","(612) 405-2292","https://www.yellowpages.com/saint-paul-mn/mip/nordhaus-design-build-542169827","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Windows","","","1805 Jefferson Ave","Saint Paul","MN","55105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"20. ","Custom Contracting","(651) 698-5371","https://www.yellowpages.com/saint-paul-mn/mip/custom-contracting-473279921","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.customcontractingllcmn.com","","1854 Grand Ave","Saint Paul","MN","55105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"21. ","SD Custom Homes","(651) 994-3997","https://www.yellowpages.com/saint-paul-mn/mip/sd-custom-homes-533589414","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.sd-customhomes.com","","750 Main St. Ste 223,","Saint Paul","MN","55118","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"22. ","Repair King","(612) 354-7677","https://www.yellowpages.com/saint-paul-mn/mip/repair-king-550433791","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.myrepairking.com","","680 Transfer Rd Ste 17","Saint Paul","MN","55114","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
"23. ","Total Design & Construction LLC","(651) 373-7062","https://www.yellowpages.com/saint-paul-mn/mip/total-design-construction-llc-505150967","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Basement Contractors","http://www.totaldandc.com","","2033 Prosperity Rd","Saint Paul","MN","55109","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=St.%20Paul,%20Minnesota"
