"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Snappy Home Improvements LLC","(850) 629-8141","https://www.yellowpages.com/tallahassee-fl/mip/snappy-home-improvements-llc-475323147?lid=1001788345114","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Siding Contractors","http://snappyhomeimprovements.com","","4428 Argyle Ln","Tallahassee","FL","32309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"2. ","Southern Fixin's by Tony Colvin","(850) 800-9347","https://www.yellowpages.com/tallahassee-fl/mip/southern-fixins-by-tony-colvin-504656221?lid=1001977022360","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","3968 Perkins Rd","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"3. ","Certified Home Inspctn-Tllhss","(850) 562-4010","https://www.yellowpages.com/tallahassee-fl/mip/certified-home-inspctn-tllhss-468005726","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.southeastconstructiontlh.com","","Certified Home","Tallahassee","FL","32301","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"4. ","Richard Sneed Construction Inc","(850) 545-5403","https://www.yellowpages.com/tallahassee-fl/mip/richard-sneed-construction-inc-10459008","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Construction Management","","","P O Box 15767","Tallahassee","FL","32317","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"5. ","Lighthouse Construction & Design Inc.","(850) 251-2906","https://www.yellowpages.com/tallahassee-fl/mip/lighthouse-construction-design-inc-513285527","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Contractors","","","PO Box 12641","Tallahassee","FL","32317","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"6. ","McManus Kitchen and Bath","(850) 354-8090","https://www.yellowpages.com/tallahassee-fl/mip/mcmanus-kitchen-and-bath-538462860","Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors,Home Improvements","http://www.mcmanuskitchenandbath.com","","1241 W Tharpe St","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"7. ","McManus Kitchen And Bath","(850) 564-8756","https://www.yellowpages.com/tallahassee-fl/mip/mcmanus-kitchen-and-bath-511627654","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://mcmanuskitchenandbath.com","","1908 Sharon Rd","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"8. ","Kent's Property Preservation","(850) 567-1722","https://www.yellowpages.com/tallahassee-fl/mip/kents-property-preservation-564718961","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://kppservices.com","","3712 Crawfordville Rd","Tallahassee","FL","32305","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"9. ","Home Outlet Tallahassee, FL","(850) 478-6700","https://www.yellowpages.com/tallahassee-fl/mip/home-outlet-tallahassee-fl-565359739","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","https://homeoutlet.com","","1212 Capital Cir SE Ste A","Tallahassee","FL","32301","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"10. ","Pitbull Remodeling","(850) 228-4871","https://www.yellowpages.com/tallahassee-fl/mip/pitbull-remodeling-550037402","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Drywall Contractors","","","1563 Capital Cir SE","Tallahassee","FL","32301","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
