"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","MHS Commercial & Residential LLC.","(813) 512-2922","https://www.yellowpages.com/tampa-fl/mip/mhs-commercial-residential-llc-483624500","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","http://www.mhsbuild.com","","2437 S 86th St Ste D","Tampa","FL","33619","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"2. ","Gio's Granite & Pressure Washing","(813) 453-1276","https://www.yellowpages.com/tampa-fl/mip/gios-granite-pressure-washing-482034555","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Power Washing","","","","Tampa","FL","33634","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"3. ","YD West Coast Home. INC","(813) 704-7941","https://www.yellowpages.com/tampa-fl/mip/yd-west-coast-home-inc-468651421","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Flooring Contractors","","","","Tampa","FL","33607","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"4. ","Bath & Kitchen Gallery","(813) 933-8000","https://www.yellowpages.com/tampa-fl/mip/bath-kitchen-gallery-482427756","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.tampakitchenandbath.com","","8406 N Mitchell Ave","Tampa","FL","33604","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"5. ","Mr Handyman","(813) 358-7712","https://www.yellowpages.com/tampa-fl/mip/mr-handyman-554936211?lid=1002079516585","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://www.instagram.com/mrhandymancitruspark","","5555 W Linebaugh Ave","Tampa","FL","33624","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"6. ","JV Construction Services Group Inc","(813) 641-4524","https://www.yellowpages.com/tampa-fl/mip/jv-construction-services-group-inc-543879034?lid=1001978412649","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Door Repair","http://www.jvconstructionservices.com","","7613 S Sparkman St","Tampa","FL","33616","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"7. ","Infinite Home Designs, Inc.","(813) 309-5211","https://www.yellowpages.com/tampa-fl/mip/infinite-home-designs-inc-453973914","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","1715 W Gray St","Tampa","FL","33606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"8. ","Interior Spaces Inc","(813) 251-8862","https://www.yellowpages.com/tampa-fl/mip/interior-spaces-inc-6244049","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://intspacesinc.com","","914 S Oregon Ave","Tampa","FL","33606","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"9. ","Landmarc Contracting Corp.","(813) 600-1750","https://www.yellowpages.com/tampa-fl/mip/landmarc-contracting-corp-465688945","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.landmarccontracting.com","","1001 N Howard Ave","Tampa","FL","33607","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"10. ","Alexander Inc","(813) 377-2020","https://www.yellowpages.com/tampa-fl/mip/alexander-inc-465683288","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.aiotb.com","","1701 N 20th St","Tampa","FL","33605","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
"11. ","May Custom Home Inc","(813) 350-9777","https://www.yellowpages.com/tampa-fl/mip/may-custom-home-inc-537378296","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://maycustomhome.com","","4951 Adamo Dr 232","Tampa","FL","33605","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tampa,%20Florida"
