"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kitchen Ideas","(918) 494-0621","https://www.yellowpages.com/tulsa-ok/mip/kitchen-ideas-467197639","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","https://kitchendesign.com","","6910 S Lewis Ave","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"2. ","Residential Repair Inc","(918) 621-1020","https://www.yellowpages.com/tulsa-ok/mip/residential-repair-inc-3515583","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://residentialrepairinc.com","","7628 E 46th St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"3. ","All Stone Granite","(918) 622-7277","https://www.yellowpages.com/tulsa-ok/mip/all-stone-granite-15993228?lid=1000437085268","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.allstonegranite.com","","4225 S Sheridan Rd","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"4. ","AMP Construction","(918) 641-4874","https://www.yellowpages.com/tulsa-ok/mip/amp-construction-467836924","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","","","19538 E 2nd St","Tulsa","OK","74108","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"5. ","Handyman Extraordinaire","(918) 499-6100","https://www.yellowpages.com/tulsa-ok/mip/handyman-extraordinaire-18869550?lid=1002103121283","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.myhmx.com","","","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"6. ","Contractors Just 4 U","(918) 693-4750","https://www.yellowpages.com/tulsa-ok/mip/contractors-just-4-u-24185777","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://contractorsjust4u.com","","1411 E 50th St","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"7. ","Installations & Remodeling","(539) 664-9534","https://www.yellowpages.com/tulsa-ok/mip/installations-remodeling-520366780?lid=1001564191130","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.installationsandremodelingtulsa.com","","1430 E 36th Pl","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"8. ","Rogers & Associates Inc","(918) 633-5716","https://www.yellowpages.com/tulsa-ok/mip/rogers-associates-inc-475358647?lid=1002021714298","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://glenrogershomes.com","","1831 E 71st St Ste 312","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"9. ","Stuart Harle Designer","(918) 949-9017","https://www.yellowpages.com/tulsa-ok/mip/stuart-harle-designer-505201525?lid=1000823825511","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","http://chdkitchenandbath.com","","6502 E 51st St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
"10. ","Mission One Renovation, LLC","(918) 713-1549","https://www.yellowpages.com/tulsa-ok/mip/mission-one-renovation-llc-509556233","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.missiononerenovation.com","","1535 1/2 S Newport Ave","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tulsa,%20Oklahoma"
