"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","DreamMaker Bath & Kitchen","(336) 722-3625","https://www.yellowpages.com/winston-salem-nc/mip/dreammaker-bath-kitchen-5187892","Bathroom Remodeling","http://www.dreammakernc.com","","425 W End Blvd","Winston Salem","NC","27101","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"2. ","Kitchen Vision","(336) 760-0999","https://www.yellowpages.com/winston-salem-nc/mip/kitchen-vision-11280426","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitchenvision.biz","","3094 Healy Dr","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"3. ","Emerald Pearl Kitchen & Bath","(336) 744-0425","https://www.yellowpages.com/winston-salem-nc/mip/emerald-pearl-kitchen-bath-14719104","Bathroom Remodeling,Altering & Remodeling Contractors,Counter Tops","http://www.emeraldpearlgranitecountertops.com","","104 Progress Ct, Suite 10","Winston Salem","NC","27106","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"4. ","Precision Decorating","(336) 785-3625","https://www.yellowpages.com/winston-salem-nc/mip/precision-decorating-519378310?lid=1000883652465","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.precisiondecorating.com","","5639 Country Club Rd","Winston Salem","NC","27104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"5. ","Long I L Construction Co Inc","(336) 661-1887","https://www.yellowpages.com/winston-salem-nc/mip/long-i-l-construction-co-inc-2559311?lid=1001179164806","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.trustworthy-businesses.com","","4117 Indiana Ave","Winston Salem","NC","27105","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"6. ","Anderson Moore Kitchen and Bath","(336) 722-4818","https://www.yellowpages.com/winston-salem-nc/mip/anderson-moore-kitchen-and-bath-567955076","Altering & Remodeling Contractors,Building Contractors,General Contractors","https://andersonmoore.com","","425 W End Blvd","Winston Salem","NC","27101","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"7. ","West Shore Home","(336) 347-1121","https://www.yellowpages.com/winston-salem-nc/mip/west-shore-home-548601060","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Windows","http://www.brytons.com","","1262 S Stratford Rd","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"8. ","Outdoor Lifestyles","(336) 221-3916","https://www.yellowpages.com/winston-salem-nc/mip/outdoor-lifestyles-532959239","Bathroom Remodeling,Kitchen Planning & Remodeling Service","http://www.outdoorlifestylesllc.com","","1007 N Peace Haven Rd","Winston Salem","NC","27104","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"9. ","Designing Kitchens & Baths","(336) 969-6886","https://www.yellowpages.com/winston-salem-nc/mip/designing-kitchens-baths-468023686","Kitchen Planning & Remodeling Service,Cabinets,Home Improvements","http://www.designingkitchensandbaths.com","","611 Saint George Square Ct","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
"10. ","Asun construction","(336) 695-8769","https://www.yellowpages.com/winston-salem-nc/mip/asun-construction-540613393","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Handyman Services","","","210 leland dr","winston salem","NC","27106","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Winston-Salem,%20North%20Carolina"
