"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Anaheim Eye Medical Group","(714) 533-2020","https://www.yellowpages.com/anaheim-ca/mip/anaheim-eye-medical-group-472160941","Physicians & Surgeons, Ophthalmology","http://www.anaheimeyemd.com","","1211 W La Palma Ave., Suite 201","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"2. ","Miyasaka, James K, OD","(714) 535-7515","https://www.yellowpages.com/anaheim-ca/mip/miyasaka-james-k-od-526082693","Physicians & Surgeons, Ophthalmology,Optometrists","","","101 E Lincoln Ave","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"3. ","Banuelos, Lydia R, MD","(714) 821-4666","https://www.yellowpages.com/anaheim-ca/mip/banuelos-lydia-r-md-465995384","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.atlantiseyecare.com/about-us/doctors/lydia-banuelos","","947 S Anaheim Blvd Ste 270","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"4. ","Atlantis Eye Care Inc","(714) 808-9290","https://www.yellowpages.com/anaheim-ca/mip/atlantis-eye-care-inc-460152128","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.atlantiseyecare.com","","888 S Disneyland Dr","Anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"5. ","Dr. Nelson N. Noguchi, MD","(714) 635-9347","https://www.yellowpages.com/anaheim-ca/mip/dr-nelson-n-noguchi-md-549061411","Physicians & Surgeons, Ophthalmology,Medical Centers,Physicians & Surgeons, Family Medicine & General Practice","","","1211 W La Palma Ave","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"6. ","Carlos OD Green Faao","(714) 776-8770","https://www.yellowpages.com/anaheim-ca/mip/carlos-od-green-faao-4040507","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.primaryeyecareofanaheim.com","","2117 E Lincoln Ave","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"7. ","Hsu, Grace W, OD","(714) 817-0606","https://www.yellowpages.com/anaheim-ca/mip/hsu-grace-w-od-526081511","Physicians & Surgeons, Ophthalmology,Optometrists","","","661 N Euclid St","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"8. ","Anaheim Optometry","(714) 772-1300","https://www.yellowpages.com/anaheim-ca/mip/anaheim-optometry-700625","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.anaheim-optometry.com","","2174 E Lincoln Ave","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"9. ","Crown Optometry","(714) 533-8240","https://www.yellowpages.com/anaheim-ca/mip/crown-optometry-4226890","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.kwonoptometry.com","","731 N Euclid St","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"10. ","Forman, Marvin, OD","(714) 956-3937","https://www.yellowpages.com/anaheim-ca/mip/forman-marvin-od-8555727","Physicians & Surgeons, Ophthalmology,Optometrists","","","1440 S Anaheim Blvd","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"11. ","Berry, Daniel W, OD","(714) 635-8671","https://www.yellowpages.com/anaheim-ca/mip/berry-daniel-w-od-3603648","Physicians & Surgeons, Ophthalmology,Optometrists","","","1092 N State College Blvd","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"12. ","Dr. Theodore D. Tran, MD","(714) 502-9393","https://www.yellowpages.com/anaheim-ca/mip/dr-theodore-d-tran-md-7981943","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.northtorontoeyecare.com","","1739 W Romneya Dr","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"13. ","Hyong Sok Choe, MD","(714) 491-7000","https://www.yellowpages.com/anaheim-ca/mip/hyong-sok-choe-md-528703747","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1801 W Romneya Dr Ste 403","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"14. ","Day Star Optometry","(714) 991-9555","https://www.yellowpages.com/anaheim-ca/mip/day-star-optometry-2837921","Physicians & Surgeons, Ophthalmology,Optometrists","","","2091 W Lincoln Ave Ste B","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"15. ","Ophthalmic Coatings","(714) 634-3428","https://www.yellowpages.com/anaheim-ca/mip/ophthalmic-coatings-17496735","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://superioroclab.com","","1970 S Santa Cruz St","Anaheim","CA","92805","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"16. ","Oc Optometric Gp Inc","(714) 776-2020","https://www.yellowpages.com/anaheim-ca/mip/oc-optometric-gp-inc-496629783","Physicians & Surgeons, Ophthalmology,Optometrists","","","10502 Katella Ave","Anaheim","CA","92804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"17. ","Sara Kim OD","(818) 427-9110","https://www.yellowpages.com/anaheim-ca/mip/sara-kim-od-507186770","Physicians & Surgeons, Ophthalmology,Optometrists","","","200 S Gain St","Anaheim","CA","92804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"18. ","Eyexam of California","(714) 995-3132","https://www.yellowpages.com/anaheim-ca/mip/eyexam-of-california-30449247","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.eyexamofca.com","","2656 W La Palma Ave","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"19. ","Catherine Kim, OD","(714) 995-7700","https://www.yellowpages.com/anaheim-ca/mip/catherine-kim-od-544377488","Physicians & Surgeons, Ophthalmology,Optometrists","","","2656 W La Palma Ave","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"20. ","Thorsness, Donald, OD","(714) 630-6688","https://www.yellowpages.com/anaheim-ca/mip/thorsness-donald-od-12252085","Physicians & Surgeons, Ophthalmology,Optometrists","","","3455 E La Palma Ave","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"21. ","Everakes, Robert, MD","(714) 826-6480","https://www.yellowpages.com/anaheim-ca/mip/everakes-robert-md-13980028","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.roberteverakesmd.com","","3055 W Orange Ave Ste 104","Anaheim","CA","92804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"22. ","Dr. Ashish Mehta, MD","(888) 988-2800","https://www.yellowpages.com/anaheim-ca/mip/dr-ashish-mehta-md-528949230","Physicians & Surgeons, Ophthalmology","","","441 N Lakeview Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"23. ","Ahsan Mahmood Khan, MD","(888) 988-2800","https://www.yellowpages.com/anaheim-ca/mip/ahsan-mahmood-khan-md-529242724","Physicians & Surgeons, Ophthalmology","","","441 N Lakeview Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"24. ","Guy Vasant Jirawuthiworavong, MD","(888) 988-2800","https://www.yellowpages.com/anaheim-ca/mip/guy-vasant-jirawuthiworavong-md-537619420","Physicians & Surgeons, Ophthalmology","","","441 N Lakeview Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"25. ","Kitamata-Wong, Britney, OD","(714) 449-7401","https://www.yellowpages.com/anaheim-ca/mip/kitamata-wong-britney-od-530780892","Physicians & Surgeons, Ophthalmology,Optometrists","","","5460 E La Palma Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"26. ","Ashley Elizabeth Nickell, OD","(714) 449-7401","https://www.yellowpages.com/anaheim-ca/mip/ashley-elizabeth-nickell-od-539481387","Physicians & Surgeons, Ophthalmology,Optometrists","","","5460 E La Palma Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"27. ","Tang, Minh OD","(714) 970-2020","https://www.yellowpages.com/anaheim-ca/mip/tang-minh-od-504444700","Physicians & Surgeons, Ophthalmology,Optometrists","","","5475 E La Palma Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"28. ","Lovcik Gary","(714) 637-1640","https://www.yellowpages.com/anaheim-ca/mip/lovcik-gary-497466644","Physicians & Surgeons, Ophthalmology,Optometrists","http://anaheimhillsvision.com","","5701 E Santa Ana Canyon Rd","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"29. ","Optometry","(714) 340-0520","https://www.yellowpages.com/anaheim-ca/mip/optometry-557108380","Physicians & Surgeons, Ophthalmology,Optometrists","","","5655 E La Palma Ave","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
"30. ","Dr. Anthony J Culotta, MD","(714) 921-0232","https://www.yellowpages.com/anaheim-ca/mip/dr-anthony-j-culotta-md-551890076","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://retina2020.com","","500 S Anaheim Hills Rd Ste 240","Anaheim","CA","92807","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Anaheim,%20California"
