"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Ford Eye Center","(817) 277-6433","https://www.yellowpages.com/arlington-tx/mip/ford-eye-center-460161026","Physicians & Surgeons, Ophthalmology,Medical Centers,Clinics","http://www.fordeyecenter.com","","801 W Randol Mill Rd","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"2. ","Texas Eye Physicians","(817) 861-3937","https://www.yellowpages.com/arlington-tx/mip/texas-eye-physicians-11004207","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://texaseyephysicians.com","","101 W Randol Mill Rd","Arlington","TX","76011","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"3. ","Dr Mark R Hanson & Associates","(817) 861-2020","https://www.yellowpages.com/arlington-tx/mip/dr-mark-r-hanson-associates-497657148","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","https://www.insightvisionarlington.com/contact-us","","2351 W Lamar Blvd","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"4. ","Texas Retina Associates","(817) 261-9625","https://www.yellowpages.com/arlington-tx/mip/texas-retina-associates-30055144?lid=1001707200237","Physicians & Surgeons, Ophthalmology,Opticians,Optometrists","","","1101 Eric Ave","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"5. ","Dr. Hugo M Nue, MD","(817) 277-1341","https://www.yellowpages.com/arlington-tx/mip/dr-hugo-m-nue-md-452018204","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","https://www.bakerfamilyeyecare.com","","905 Medical Centre Dr Ste C","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"6. ","James Baker OD","(817) 277-6433","https://www.yellowpages.com/arlington-tx/mip/james-baker-od-462047289","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.fordeyecenter.com","","801 W Randol Mill Rd Ste 201","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"7. ","Dr. D Todd Ford, MD","(817) 277-6433","https://www.yellowpages.com/arlington-tx/mip/dr-d-todd-ford-md-474561392","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","","","801 W Randol Mill Rd Ste 201","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"8. ","Fontenot, Ann, OD","(817) 477-0223","https://www.yellowpages.com/arlington-tx/mip/fontenot-ann-od-7554638","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons","https://www.paragoneyes.com/contactus","","801 W Randol Mill Rd Ste 201","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"9. ","Southwest Ophthalmology Associates","(817) 265-8525","https://www.yellowpages.com/arlington-tx/mip/southwest-ophthalmology-associates-496593364","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.keywhitman.com","","910 N Davis Dr Ste 100","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
"10. ","Chian-Huey (Amy) Hong, M.D.","(817) 460-2272","https://www.yellowpages.com/arlington-tx/mip/chian-huey-amy-hong-m-d-537905563","Physicians & Surgeons, Ophthalmology","https://www.keywhitman.com/doctors","","910 N Davis Dr","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Arlington,%20Texas"
