"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","1 Hour Optical","(706) 793-6211","https://www.yellowpages.com/augusta-ga/mip/1-hour-optical-27182162","Physicians & Surgeons, Ophthalmology,Optical Goods,Opticians","http://www.1houroptical.com","","2115 Windsor Spring Rd","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"2. ","Dr. Doan Tam Bloomquist, MD","(404) 625-8732","https://www.yellowpages.com/augusta-ga/mip/dr-doan-tam-bloomquist-md-515452318","Physicians & Surgeons, Ophthalmology","","","1120 15th St Ghsu Ophthalmology Department","Augusta","GA","30912","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"3. ","The Retina Eye Center","(706) 481-9191","https://www.yellowpages.com/augusta-ga/mip/the-retina-eye-center-15872949","Physicians & Surgeons, Ophthalmology,Optical Goods,Physicians & Surgeons","http://www.retinaeyecenter.com","","3520 Walton Way Ext","Augusta","GA","30909","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"4. ","Marcus, Dennis M MD","(706) 650-0061","https://www.yellowpages.com/augusta-ga/mip/marcus-dennis-m-md-11989670","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://southeastretina.com","","3685 Wheeler Rd Ste 201","Augusta","GA","30909","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"5. ","Dr. Daniel William Killingsworth, MD","(706) 733-0188","https://www.yellowpages.com/augusta-ga/mip/dr-daniel-william-killingsworth-md-479273151","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1 Freedom Way","Augusta","GA","30904","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"6. ","Dr. Amie Elizabeth Squires, MD","(706) 733-0188","https://www.yellowpages.com/augusta-ga/mip/dr-amie-elizabeth-squires-md-528237828","Physicians & Surgeons, Ophthalmology","","","1 Freedom Way","Augusta","GA","30904","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"7. ","Dr. Diego Gabriel Espinosa-Heidmann, MD","(706) 721-2020","https://www.yellowpages.com/augusta-ga/mip/dr-diego-gabriel-espinosa-heidmann-md-528234020","Physicians & Surgeons, Ophthalmology","","","1120 15th St Ghsu  Department Of Ophthalmology Ba-2731","Augusta","GA","30912","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"8. ","Jonathan Shader","(706) 721-1160","https://www.yellowpages.com/augusta-ga/mip/jonathan-shader-552290903","Physicians & Surgeons, Ophthalmology","","","1120 15th St # Ba-2720","Augusta","GA","30912","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"9. ","Omar Iqbal, MD","(706) 721-1160","https://www.yellowpages.com/augusta-ga/mip/omar-iqbal-md-563344669","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1120 15th St # Ba-2720","Augusta","GA","30912","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"10. ","Teresa Fowler, MD","(706) 721-1160","https://www.yellowpages.com/augusta-ga/mip/teresa-fowler-md-563345484","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1120 15th St # Ba-2720","Augusta","GA","30912","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
