"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Dr. Peter Broberg","(512) 447-6096","https://www.yellowpages.com/austin-tx/mip/dr-peter-broberg-531234817","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons, Laser Surgery","http://www.brobergeyecare.com","","4207 James Casey St, Ste 305","Austin","TX","78745","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"2. ","Ryan Carter Young, MD","(512) 451-0103","https://www.yellowpages.com/austin-tx/mip/ryan-carter-young-md-531496452","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","http://www.austinretina.com","","801 W 38th St Ste 200","Austin","TX","78705","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"3. ","Austin Retina Associates - Main","(512) 451-0103","https://www.yellowpages.com/austin-tx/mip/austin-retina-associates-main-471047172","Physicians & Surgeons, Ophthalmology","","","801 W 38th St Ste 200","Austin","TX","78705","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"4. ","Peter A. Nixon, MD","(512) 451-0103","https://www.yellowpages.com/austin-tx/mip/peter-a-nixon-md-453579765","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","http://www.austinretina.com","","801 W 38th St Ste 200","Austin","TX","78705","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"5. ","Kelinske, Marilyn A","(512) 346-2903","https://www.yellowpages.com/austin-tx/mip/kelinske-marilyn-a-480768668?lid=1001359723508","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Medical Equipment & Supplies","http://www.nweyeaustin.com","","11623 Angus Rd","Austin","TX","78759","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"6. ","Austin Eye Clinic","(512) 250-2020","https://www.yellowpages.com/austin-tx/mip/austin-eye-clinic-483408833","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Contact Lenses","http://www.austineye.com","","11901 Jollyville Rd","Austin","TX","78759","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"7. ","Howerton Eye Clinic","(512) 443-9715","https://www.yellowpages.com/austin-tx/mip/howerton-eye-clinic-21903977?lid=1002064278004","Physicians & Surgeons, Ophthalmology,Optometrists,Contact Lenses","https://www.howertoneye.com","","2610 S Interstate 35","Austin","TX","78704","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"8. ","Dr. Maureen Alexander","(512) 443-2046","https://www.yellowpages.com/austin-tx/mip/dr-maureen-alexander-460586220","Physicians & Surgeons, Ophthalmology","http://www.austinent.com","","4207 James Casey St","Austin","TX","78745","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"9. ","Dr. James Kalpaxis","(512) 346-6421","https://www.yellowpages.com/austin-tx/mip/dr-james-kalpaxis-8974533","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optometrists","","","4005 Spicewood Springs Rd","Austin","TX","78759","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"10. ","Northwest Eye Clinic","(512) 346-2903","https://www.yellowpages.com/austin-tx/mip/northwest-eye-clinic-474258284","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","http://www.nweyeaustin.com","","11623 Angus Rd Ste 12","Austin","TX","78759","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"11. ","Eyes of Texas Laser Center","(512) 222-5235","https://www.yellowpages.com/austin-tx/mip/eyes-of-texas-laser-center-467947968?lid=199016701","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Laser Surgery,Laser Vision Correction","http://www.texas2020.com","","2901 North Shields Drive, Suite 100","Austin","TX","78727","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"12. ","Academy of Laser Vision Sci","(512) 732-2762","https://www.yellowpages.com/austin-tx/mip/academy-of-laser-vision-sci-29788021","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.dellvision.com","","901 S Mo Pac Expy","Austin","TX","78746","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"13. ","Ava Imagine","(512) 343-0486","https://www.yellowpages.com/austin-tx/mip/ava-imagine-453551213","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://austinvision.net","","11410 Jollyville Rd","Austin","TX","78759","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"14. ","Cedar Park Optometry","(512) 260-2100","https://www.yellowpages.com/austin-tx/mip/cedar-park-optometry-5401793","Physicians & Surgeons, Ophthalmology,Optometrists","","","","Austin","TX","78735","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"15. ","Aspire Vision Care","(512) 501-2100","https://www.yellowpages.com/austin-tx/mip/aspire-vision-care-519376744","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","","","100 E 5th St","Austin","TX","78701","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"16. ","Mati Therapeutics Inc","(512) 329-6360","https://www.yellowpages.com/austin-tx/mip/mati-therapeutics-inc-545653260","Physicians & Surgeons, Ophthalmology,Optometrists,Optometric Clinics","","","111 Congress Ave","Austin","TX","78701","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
"17. ","Eric Lane Crowell, MD","(833) 882-2737","https://www.yellowpages.com/austin-tx/mip/eric-lane-crowell-md-559467961","Physicians & Surgeons, Ophthalmology","","","1601 Trinity St Bldg B","Austin","TX","78712","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Austin,%20Texas"
