"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Eye Medical Center","(225) 766-7441","https://www.yellowpages.com/baton-rouge-la/mip/eye-medical-center-8478480?lid=157794794","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://emc-eyes.com","","7777 Hennessy Blvd","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"2. ","Shenandoah Eye Clinic","(225) 755-3937","https://www.yellowpages.com/baton-rouge-la/mip/shenandoah-eye-clinic-21896249?lid=1000439587428","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optical Goods","http://www.shenandoaheyeclinic.com","","5237 Jones Creek Rd","Baton Rouge","LA","70817","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"3. ","Oliver, Victor M MD","(225) 927-0180","https://www.yellowpages.com/baton-rouge-la/mip/oliver-victor-m-md-24887257","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.breyephysicians.com","","4848 North Blvd","Baton Rouge","LA","70806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"4. ","Dr. Robert A Holloway, MD","(225) 927-0180","https://www.yellowpages.com/baton-rouge-la/mip/dr-robert-a-holloway-md-536283041","Physicians & Surgeons, Ophthalmology","http://breyephysicians.com","","4848 North Blvd","Baton Rouge","LA","70806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"5. ","Peavy, Donald R MD","(225) 927-0180","https://www.yellowpages.com/baton-rouge-la/mip/peavy-donald-r-md-7791557","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.breyephysicians.com","","4848 North Blvd","Baton Rouge","LA","70806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"6. ","Dr. William Randall Williamson, MD","(225) 924-2020","https://www.yellowpages.com/baton-rouge-la/mip/dr-william-randall-williamson-md-465290897","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","https://www.williamsoneyectr.com/our-doctors-baton-rouge/william-r-williamson-m-d","","550 Connell Park Ln","Baton Rouge","LA","70806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"7. ","Matthew D Smith, MD","(225) 924-2020","https://www.yellowpages.com/baton-rouge-la/mip/matthew-d-smith-md-512636309","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://williamsoneyectr.com","","550 Connell Park Ln","Baton Rouge","LA","70806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"8. ","Dr. Tim D Johnson, MD","(225) 768-7777","https://www.yellowpages.com/baton-rouge-la/mip/dr-tim-d-johnson-md-451550813","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Plastic & Reconstructive","http://www.eyespecialistsofla.com","","7777 Hennessy Blvd Ste 3001","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"9. ","Dr. David M Dragon, MD","(225) 768-7777","https://www.yellowpages.com/baton-rouge-la/mip/dr-david-m-dragon-md-462163040","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.emc-eyes.com","","7777 Hennessy Blvd","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
"10. ","Patin, R Lucas, OD","(225) 768-9300","https://www.yellowpages.com/baton-rouge-la/mip/patin-r-lucas-od-483465985","Physicians & Surgeons, Ophthalmology,Optometrists","","","7777 Hennessy Blvd","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Baton%20Rouge,%20Louisiana"
