"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Dr. Madhavi G Reddy, MD","(956) 541-1013","https://www.yellowpages.com/brownsville-tx/mip/dr-madhavi-g-reddy-md-1927668","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","847 Ridgewood St","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"2. ","Rios, Rolando","(956) 541-6324","https://www.yellowpages.com/brownsville-tx/mip/rios-rolando-503213708","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","2370 N Expressway","Brownsville","TX","78521","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"3. ","Valley Cataract & Retina","(956) 542-6945","https://www.yellowpages.com/brownsville-tx/mip/valley-cataract-retina-17595236","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.valleycataract.com","","2955 Central Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"4. ","Optical Reflections","(956) 541-6324","https://www.yellowpages.com/brownsville-tx/mip/optical-reflections-4159251","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.opticalreflections.net","","2370 N Expressway Ste 1238","Brownsville","TX","78521","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"5. ","Hesterberg, Raymond C Jr","(956) 542-0933","https://www.yellowpages.com/brownsville-tx/mip/hesterberg-raymond-c-jr-525359403?lid=1001712153958","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","","","1100 Fm 802","Brownsville","TX","78521","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"6. ","District Adult Probation","(956) 574-8118","https://www.yellowpages.com/brownsville-tx/mip/district-adult-probation-467706473","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.ccrma.org","","854 E Harrison St","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"7. ","Dr. Pratima Joshi Utturkar, MD","(956) 550-4311","https://www.yellowpages.com/brownsville-tx/mip/dr-pratima-joshi-utturkar-md-528170509","Physicians & Surgeons, Ophthalmology","","","2721 Boca Chica Blvd","Brownsville","TX","78521","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"8. ","Dr. Jacob S Plotkin, MD","(956) 541-1013","https://www.yellowpages.com/brownsville-tx/mip/dr-jacob-s-plotkin-md-15407912","Physicians & Surgeons, Ophthalmology","","","847 Ridgewood St","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"9. ","Dr. Eric R Barron, MD","(956) 541-1013","https://www.yellowpages.com/brownsville-tx/mip/dr-eric-r-barron-md-19531818","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Opticians","","","847 Ridgewood St","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"10. ","Dr. David Hyde, MD","(956) 541-1013","https://www.yellowpages.com/brownsville-tx/mip/dr-david-hyde-md-478738145","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://southtexaseyecenter.com","","847 Ridgewood St","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"11. ","Dr. Luis Cubillos, MD","(956) 541-4828","https://www.yellowpages.com/brownsville-tx/mip/dr-luis-cubillos-md-528319674","Physicians & Surgeons, Ophthalmology","","","1058 E Los Ebanos Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"12. ","Robert David Beitman, MD","(956) 541-4828","https://www.yellowpages.com/brownsville-tx/mip/robert-david-beitman-md-560961413","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1058 E Los Ebanos Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"13. ","Dr. Angela M Kozak, DO","(956) 542-6945","https://www.yellowpages.com/brownsville-tx/mip/dr-angela-m-kozak-do-531966405","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","2955 Central Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"14. ","Vande Maele Dominique","(956) 541-8361","https://www.yellowpages.com/brownsville-tx/mip/vande-maele-dominique-5606","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://brownsvillesurgicalspecialists.com/physicians/profile/Dr-Dominique-VandeMaele-MD","","100b E Alton Gloor Blvd","Brownsville","TX","78526","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"15. ","Antonio Vasquez DR OD","(956) 574-9002","https://www.yellowpages.com/brownsville-tx/mip/antonio-vasquez-dr-od-468749967","Physicians & Surgeons, Ophthalmology,Optometrists","","","870 E Alton Gloor Blvd Ste B","Brownsville","TX","78526","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"16. ","Rodriguez Filiberto MD, FACS, FAACS, RVT, RPVI","(956) 350-6561","https://www.yellowpages.com/brownsville-tx/mip/rodriguez-filiberto-md-facs-faacs-rvt-rpvi-468727242?lid=1000437161755","Physicians & Surgeons, Ophthalmology,Medical Clinics,Hair Removal","http://www.rgvcosmetic.com","","5700 N Expressway","Brownsville","TX","78526","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"17. ","Brownsville Eye Center","(956) 214-5019","https://www.yellowpages.com/brownsville-tx/mip/brownsville-eye-center-455652628","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.visionsource-bec.com","","2200 Boca Chica Blvd","Brownsville","TX","78521","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"18. ","Ophthalmic Consultants Of Texas","(956) 504-1202","https://www.yellowpages.com/brownsville-tx/mip/ophthalmic-consultants-of-texas-8581764","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.valleyretinainstitute.com","","864 Central Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
"19. ","Valley Retina Institute","(956) 504-1202","https://www.yellowpages.com/brownsville-tx/mip/valley-retina-institute-478738126","Physicians & Surgeons, Ophthalmology,Optometrists,Clinics","http://www.valleyretinainstitute.com","","1113 Central Blvd","Brownsville","TX","78520","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Brownsville,%20Texas"
