"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Flanigen Eye Care","(716) 631-2900","https://www.yellowpages.com/buffalo-ny/mip/flanigen-eye-care-4800359","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://www.flanigeneyecare.com","","1835 Maple Rd","Buffalo","NY","14221","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"2. ","Eye Care & Vision Associates","(716) 884-0880","https://www.yellowpages.com/buffalo-ny/mip/eye-care-vision-associates-479550633","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://www.ecvaeyecare.com","","932 Elmwood Ave","Buffalo","NY","14222","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"3. ","Buffalo Ambulatory Surgery","(716) 896-8831","https://www.yellowpages.com/buffalo-ny/mip/buffalo-ambulatory-surgery-16932886?lid=1001987721400","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Surgery Centers","http://www.bascny.com","","3095 Harlem Rd","Buffalo","NY","14225","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"4. ","Dr. Ausra Selvadurai, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/dr-ausra-selvadurai-md-462995598","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"5. ","Dr. James D Reynolds, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/dr-james-d-reynolds-md-469832648","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons, Pediatrics","http://www.rosseye.com","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"6. ","Siemenski Sandra","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/siemenski-sandra-470053631","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons, Pediatrics","http://www.rosseye.com","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"7. ","Mattern, Ruth M, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/mattern-ruth-m-md-481353367","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.rosseye.com","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"8. ","Dr. Sangita P Patel, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/dr-sangita-p-patel-md-481355565","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.rosseye.com","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"9. ","Dr. Pradeepa Yoganathan, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/dr-pradeepa-yoganathan-md-496659672","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"10. ","Archana Anil Gupta, MD","(646) 896-4321","https://www.yellowpages.com/buffalo-ny/mip/archana-anil-gupta-md-528244176","Physicians & Surgeons, Ophthalmology","","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
"11. ","Brian Madow, MD","(716) 881-7900","https://www.yellowpages.com/buffalo-ny/mip/brian-madow-md-567869466","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1176 Main St","Buffalo","NY","14209","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Buffalo,%20New%20York"
