"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Mecklenburg Eye Associates","(704) 334-2020","https://www.yellowpages.com/charlotte-nc/mip/mecklenburg-eye-associates-506711016?lid=1001280180512","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://www.meckeye.com","","2015 Randolph Rd","Charlotte","NC","28207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"2. ","Christenbury Eye Center","(704) 332-9365","https://www.yellowpages.com/charlotte-nc/mip/christenbury-eye-center-467210256","Physicians & Surgeons, Ophthalmology,Optical Goods,Laser Vision Correction","http://www.christenbury.com","","3621 Randolph Rd Ste 100","Charlotte","NC","28211","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"3. ","Lee, Barbara M, MD","(704) 295-3311","https://www.yellowpages.com/charlotte-nc/mip/lee-barbara-m-md-479419126","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.ceenta.com","","5933 Blakeney Park Dr Ste 200","Charlotte","NC","28277","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"4. ","National Board of Examiners in Optometry","(704) 332-9565","https://www.yellowpages.com/charlotte-nc/mip/national-board-of-examiners-in-optometry-13445993","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.optometry.org","","200 S College St Ste 2010","Charlotte","NC","28202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"5. ","Browning, David J, MD","(704) 295-3000","https://www.yellowpages.com/charlotte-nc/mip/browning-david-j-md-479333617","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.ceenta.com","","6035 Fairview Rd","Charlotte","NC","28210","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"6. ","Genesis Eye Center","(704) 295-0001","https://www.yellowpages.com/charlotte-nc/mip/genesis-eye-center-16582866","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://genesiseyecenter.com","","817 E Morehead St Ste 200","Charlotte","NC","28202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"7. ","Eye Optix Vision & Laser Center","(704) 716-2020","https://www.yellowpages.com/charlotte-nc/mip/eye-optix-vision-laser-center-21783328","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://myeyedr.com","","1960 Randolph Rd","Charlotte","NC","28207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"8. ","Judy Diane Hustead, MD","(704) 365-0555","https://www.yellowpages.com/charlotte-nc/mip/judy-diane-hustead-md-2738964","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Family Medicine & General Practice","http://horizoneye.com","","135 S Sharon Amity Rd","Charlotte","NC","28211","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"9. ","Dr. James Howard Antoszyk, MD","(704) 295-3000","https://www.yellowpages.com/charlotte-nc/mip/dr-james-howard-antoszyk-md-17572161","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.ceenta.com","","6035 Fairview Rd","Charlotte","NC","28210","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"10. ","Horizon Eye Care","(704) 717-0058","https://www.yellowpages.com/charlotte-nc/mip/horizon-eye-care-479303087","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Cosmetic Surgery,Optical Goods","http://www.horizoneye.com","","11010 David Taylor Dr Ste 100","Charlotte","NC","28262","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"11. ","Charlotte Ophthalmology Clinic PA","(704) 364-7400","https://www.yellowpages.com/charlotte-nc/mip/charlotte-ophthalmology-clinic-pa-461575772?lid=1000437166096","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://www.eyesoncharlotte.com","","4335 Colwick Rd","Charlotte","NC","28211","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"12. ","Price Megan OD","(704) 334-4444","https://www.yellowpages.com/charlotte-nc/mip/price-megan-od-535518498","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.spectrumeyecarenc.com","","200 S College St Ste 307","Charlotte","NC","28202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
"13. ","Association of Regulatory Boards of Optometry","(704) 970-2710","https://www.yellowpages.com/charlotte-nc/mip/association-of-regulatory-boards-of-optometry-7638369","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.arbo.org/contactus","","200 S College St","Charlotte","NC","28202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Charlotte,%20North%20Carolina"
