"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Lantman, Brian R OD","(423) 894-5025","https://www.yellowpages.com/chattanooga-tn/mip/lantman-brian-r-od-9125047","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","http://www.lantmaneyecare.com","","4296 Highway 58","Chattanooga","TN","37416","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"2. ","Dr. David Lewis Friedrich, MD","(423) 702-2020","https://www.yellowpages.com/chattanooga-tn/mip/dr-david-lewis-friedrich-md-482876159","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://friedricheye.com","","2120 Northgate Park Ln Ste 102","Chattanooga","TN","37415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"3. ","Chattanooga Eye Institute","(423) 892-3937","https://www.yellowpages.com/chattanooga-tn/mip/chattanooga-eye-institute-454418221?lid=1001179164647","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://www.chatteye.com","","5715 Cornelison Rd","Chattanooga","TN","37411","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"4. ","Reynolds, Thomas M, MD","(423) 870-4900","https://www.yellowpages.com/chattanooga-tn/mip/reynolds-thomas-m-md-480919973","Physicians & Surgeons, Ophthalmology","http://rehabsouth.net","","2158 Northgate Park Ln Ste 302","Chattanooga","TN","37415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"5. ","Chattanooga Retina PLLC","(423) 664-3366","https://www.yellowpages.com/chattanooga-tn/mip/chattanooga-retina-pllc-467105461","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.chattanoogaretina.com","","2158 Northgate Park Ln - Suite 102","Chattanooga","TN","37415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"6. ","Pomerance Eye Center PC","(423) 855-6800","https://www.yellowpages.com/chattanooga-tn/mip/pomerance-eye-center-pc-469564212","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://www.pomerance.com","","1801 Gunbarrel Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"7. ","East Ridge Eye Center","(423) 894-1453","https://www.yellowpages.com/chattanooga-tn/mip/east-ridge-eye-center-19299189?lid=1001899805114","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics,Optometry Equipment & Supplies","http://www.eastridgeeyecenter.com","","932 Spring Creek Rd","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"8. ","SouthEast Eye Specialists","(423) 508-7337","https://www.yellowpages.com/chattanooga-tn/mip/southeast-eye-specialists-451168992","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.southeasteye.com","","7268 Jarnigan Rd Ste 200","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"9. ","Seal, Molly R","(423) 763-1845","https://www.yellowpages.com/chattanooga-tn/mip/seal-molly-r-21800511?lid=1002091721827","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Contact Lenses","","","1042 E 3rd St","Chattanooga","TN","37403","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
"10. ","Dozier Carey MD","(423) 894-1453","https://www.yellowpages.com/chattanooga-tn/mip/dozier-carey-md-468722966?lid=1002057220225","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Physicians & Surgeons, Pediatrics","http://eastridgeeyecenter.com","","932 Spring Creek Rd","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chattanooga,%20Tennessee"
