"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Developmental Vision Care","(757) 410-3005","https://www.yellowpages.com/chesapeake-va/mip/developmental-vision-care-13969968","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.d-visioncare.com","","1417 Battlefield Blvd N Ste 170","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"2. ","Tidewater Eye Centers","(757) 483-0400","https://www.yellowpages.com/chesapeake-va/mip/tidewater-eye-centers-496670866","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Laser Vision Correction","https://www.tidewatereye.com","","805 Battlefield Blvd N Ste 111","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"3. ","Medical & Surgical Eye Specialists Inc","(757) 547-9751","https://www.yellowpages.com/chesapeake-va/mip/medical-surgical-eye-specialists-inc-17550496","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Physicians & Surgeons, Family Medicine & General Practice","http://www.mses2020.com","","200 Medical Pkwy Ste 209","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"4. ","Commonwealth Family E","(757) 549-2020","https://www.yellowpages.com/chesapeake-va/mip/commonwealth-family-e-474170204","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://commonwealtheyecare.com","","1501 Sams Cir","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"5. ","Atlantic Opthalmology","(757) 497-1987","https://www.yellowpages.com/chesapeake-va/mip/atlantic-opthalmology-503510921","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","","","700 Independence Pkwy","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"6. ","Dr. Kenneth Robert Westcott, OD","(757) 410-3005","https://www.yellowpages.com/chesapeake-va/mip/dr-kenneth-robert-westcott-od-3520270","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.d-visioncare.com","","1417 Battlefield Blvd N Ste 170","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"7. ","Fusco, C C, OD","(757) 424-4177","https://www.yellowpages.com/chesapeake-va/mip/fusco-c-c-od-502818341","Physicians & Surgeons, Ophthalmology,Optometrists","http://dominioneyechesapeake.com","","812 Eden Way N","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"8. ","Ewing McClelland OD","(757) 420-0602","https://www.yellowpages.com/chesapeake-va/mip/ewing-mcclelland-od-465787904","Physicians & Surgeons, Ophthalmology,Optometrists","","","1401 Greenbrier Pkwy Ste 2112","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"9. ","Animal Eye","(757) 366-9060","https://www.yellowpages.com/chesapeake-va/mip/animal-eye-544160890","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.affiliatedanimalcare.com","","1100 Eden Way N Ste 101B","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"10. ","Coastal Vision","(757) 426-2020","https://www.yellowpages.com/chesapeake-va/mip/coastal-vision-21142466","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","https://www.coastalvisionva.com/locations","","1116 Volvo Pkwy Ste 102","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"11. ","Edmonds, John T, MD","(757) 549-4848","https://www.yellowpages.com/chesapeake-va/mip/edmonds-john-t-md-4400930","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optical Goods","http://www.tidewatereye.com","","805 Battlefield Blvd N","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"12. ","The Laser Vision Institute","(757) 638-2100","https://www.yellowpages.com/chesapeake-va/mip/the-laser-vision-institute-456593128","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","http://www.tidewatereye.com","","805 Battlefield Blvd N Ste 111","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"13. ","Dr. Shakur Hamidi Toosi, MD","(757) 547-9751","https://www.yellowpages.com/chesapeake-va/mip/dr-shakur-hamidi-toosi-md-18958035","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.chkd.org/Our-Doctors/Surgical-Specialists/CHN-Practices/Medical-Surgical-Eye-Specialists,-Inc/Shakur-Hamidi-Toosi,-MD","","200 Medical Pkwy","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"14. ","Adams, Eric A, MD","(757) 547-9751","https://www.yellowpages.com/chesapeake-va/mip/adams-eric-a-md-460511506","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.mses2020.com","","200 Medical Pkwy","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"15. ","Pennington, Mandy, OD","(757) 547-9751","https://www.yellowpages.com/chesapeake-va/mip/pennington-mandy-od-15819363","Physicians & Surgeons, Ophthalmology,Optometrists","http://mses2020.com","","200 Medical Pkwy","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"16. ","Dr. Anthony A De Rosa, MD","(757) 547-5145","https://www.yellowpages.com/chesapeake-va/mip/dr-anthony-a-de-rosa-md-18414579","Physicians & Surgeons, Ophthalmology","http://www.smoc-pt.com","","100 Wimbledon Sq","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"17. ","Mid-Atlantic Dermatology and Laser Center, P.C.","(757) 549-2973","https://www.yellowpages.com/chesapeake-va/mip/mid-atlantic-dermatology-and-laser-center-p-c-479400955","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","http://www.midatlanticdermatology.org","","109 Wimbledon Sq Ste E","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"18. ","Dr. Richard E Carlson, MD","(757) 547-9830","https://www.yellowpages.com/chesapeake-va/mip/dr-richard-e-carlson-md-529062371","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Centers","https://maeyes.com","","109 Wimbledon Sq Ste E","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"19. ","Steven Keith Snyder, MD","(757) 547-3249","https://www.yellowpages.com/chesapeake-va/mip/steven-keith-snyder-md-539532012","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Family Medicine & General Practice,Laser Vision Correction","","","109 Wimbledon Sq Ste E","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"20. ","Griffey and Whitelock Eye Specialists","(757) 410-9500","https://www.yellowpages.com/chesapeake-va/mip/griffey-and-whitelock-eye-specialists-539628651","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Physicians & Surgeons, Family Medicine & General Practice","http://www.griffey2020.com","","508 Baylor Ct Ste C","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"21. ","Dr. Richard Thomas Griffey, MD","(757) 410-9500","https://www.yellowpages.com/chesapeake-va/mip/dr-richard-thomas-griffey-md-548271915","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","508 Baylor Ct Ste C","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"22. ","Dr. Gayle G Rutherford, MD","(757) 410-5555","https://www.yellowpages.com/chesapeake-va/mip/dr-gayle-g-rutherford-md-9069520","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","508 Baylor Ct","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"23. ","Wang, Abhner, OD","(757) 426-2020","https://www.yellowpages.com/chesapeake-va/mip/wang-abhner-od-462225558","Physicians & Surgeons, Ophthalmology,Optometrists","http://coastalvisionva.com","","676 Battlefield Blvd N","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"24. ","Atlantic Ophthalmogy","(757) 497-1987","https://www.yellowpages.com/chesapeake-va/mip/atlantic-ophthalmogy-15630176","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","667 Kingsborough Sq","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"25. ","Wagner Macula & Retina Center","(757) 481-4400","https://www.yellowpages.com/chesapeake-va/mip/wagner-macula-retina-center-507864597","Physicians & Surgeons, Ophthalmology","http://www.wagnerretina.com","","809 Greenbrier Pkwy Ste 109","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"26. ","Fox Jr, Robert B","(757) 410-9500","https://www.yellowpages.com/chesapeake-va/mip/fox-jr-robert-b-473980143","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","560 Kempsville Rd","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"27. ","Hampton Roads Retina Center","(757) 436-0011","https://www.yellowpages.com/chesapeake-va/mip/hampton-roads-retina-center-13572415","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.retinadoc.net","","516 Innovation Dr","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"28. ","Dr. Jon Michael Adleberg, MD","(757) 436-0011","https://www.yellowpages.com/chesapeake-va/mip/dr-jon-michael-adleberg-md-462281953","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.manta.com/c/mt5mpmp/adleberg-jon-m-md","","516 Innovation Dr Ste 101","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"29. ","Wagner Macula & Retina Center","(757) 481-4400","https://www.yellowpages.com/chesapeake-va/mip/wagner-macula-retina-center-507894172","Physicians & Surgeons, Ophthalmology","http://www.wagnerretina.com","","3206 Churchland Blvd","Chesapeake","VA","23321","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
"30. ","Dr. Robert E Baker, MD","(757) 484-0101","https://www.yellowpages.com/chesapeake-va/mip/dr-robert-e-baker-md-453019434","Physicians & Surgeons, Ophthalmology","http://southsideeyecare.com","","3206 Churchland Blvd","Chesapeake","VA","23321","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Chesapeake,%20Virginia"
