"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Alice T Epitropoulos, MD, FACS","(614) 221-7464","https://www.yellowpages.com/columbus-oh/mip/alice-t-epitropoulos-md-facs-17768040","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.columbus2020.com","","262 Neil Ave Ste 430","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"2. ","Mid Ohio Eye Physicians & Surgeons","(614) 488-8000","https://www.yellowpages.com/columbus-oh/mip/mid-ohio-eye-physicians-surgeons-7509668","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.midohioeye.com","","2929 Kenny Rd","Columbus","OH","43221","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"3. ","The Retina Group","(614) 464-3937","https://www.yellowpages.com/columbus-oh/mip/the-retina-group-13792809","Physicians & Surgeons, Ophthalmology","http://www.theretinagroup.com","","262 Neil Ave","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"4. ","The Eye Center of Columbus","(614) 827-6600","https://www.yellowpages.com/columbus-oh/mip/the-eye-center-of-columbus-2118135","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Laser Vision Correction","https://www.eyecenterofcolumbus.com","","262 Neil Ave Ste 500","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"5. ","Central Ohio Eye Physicians & Surgeons Inc","(614) 224-4297","https://www.yellowpages.com/columbus-oh/mip/central-ohio-eye-physicians-surgeons-inc-28535444?lid=1000439478086","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons, Laser Surgery","http://www.centralohioeye.com","","262 Neil Ave Ste 420","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"6. ","Dingle, Jack MD","(614) 224-4297","https://www.yellowpages.com/columbus-oh/mip/dingle-jack-md-456680281","Physicians & Surgeons, Pediatrics-Ophthalmology,Opticians","http://www.centralohioeye.com","","262 Neil Ave","Columbus","OH","43215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"7. ","David Rogers, MD","(614) 224-6222","https://www.yellowpages.com/columbus-oh/mip/david-rogers-md-1580665","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics","https://www.nationwidechildrens.org/find-a-doctor/profiles/david-l-rogers","","555 S 18th St Ste 4C","Columbus","OH","43205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"8. ","Jeffrey Gardner OD","(614) 878-7771","https://www.yellowpages.com/columbus-oh/mip/jeffrey-gardner-od-535560845","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.rinkoveyecare.com","","4864 W Broad St","Columbus","OH","43228","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"9. ","Daryl D Kaswinkel, MD","(614) 863-3937","https://www.yellowpages.com/columbus-oh/mip/daryl-d-kaswinkel-md-470050495","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Family Medicine & General Practice,Laser Vision Correction","","","50 Mcnaughten Rd","Columbus","OH","43213","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
"10. ","Gregory Dale Searcy, MD","(614) 863-3937","https://www.yellowpages.com/columbus-oh/mip/gregory-dale-searcy-md-551677310","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Family Medicine & General Practice,Laser Vision Correction","http://erdeyeyegroup.com","","50 Mcnaughten Rd Ste 200","Columbus","OH","43213","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Columbus,%20Ohio"
