"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Teresa Sanchez OD","(909) 350-2020","https://www.yellowpages.com/fontana-ca/mip/teresa-sanchez-od-470528291","Physicians & Surgeons, Ophthalmology,Optometrists","","","9268 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"2. ","Shannon Alturas OD","(909) 350-2020","https://www.yellowpages.com/fontana-ca/mip/shannon-alturas-od-22920939","Physicians & Surgeons, Ophthalmology,Optometrists","","","9268 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"3. ","Duncan & Kragness OD","(909) 350-2020","https://www.yellowpages.com/fontana-ca/mip/duncan-kragness-od-23089171","Physicians & Surgeons, Ophthalmology,Optometrists","","","9268 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"4. ","Ricardo Espinosa OD","(909) 350-2020","https://www.yellowpages.com/fontana-ca/mip/ricardo-espinosa-od-490049399","Physicians & Surgeons, Ophthalmology,Optometrists","","","9268 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"5. ","Teresa Sanchez OD","(909) 350-2020","https://www.yellowpages.com/fontana-ca/mip/teresa-sanchez-od-497354665","Physicians & Surgeons, Ophthalmology,Optometrists","http://wendyduncanod.com","","8190 Mango Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"6. ","Ugalde Raul OD","(909) 822-2839","https://www.yellowpages.com/fontana-ca/mip/ugalde-raul-od-482646943","Physicians & Surgeons, Ophthalmology,Optometrists","","","17099 Valley Blvd","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"7. ","Kt Le Optometry","(909) 357-2607","https://www.yellowpages.com/fontana-ca/mip/kt-le-optometry-2482939","Physicians & Surgeons, Ophthalmology,Optometrists","","","16505 Sierra Lakes Pkwy","Fontana","CA","92336","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"8. ","Abo, Lauren A, OD","(909) 646-9800","https://www.yellowpages.com/fontana-ca/mip/abo-lauren-a-od-526343749","Physicians & Surgeons, Ophthalmology,Optometrists","","","15290 Summit Ave","Fontana","CA","92336","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"9. ","Dr Skinner Optometry","(909) 822-1115","https://www.yellowpages.com/fontana-ca/mip/dr-skinner-optometry-465933051","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://www.drmarkskinner.com","","8275 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"10. ","Inland Optometric Associates Inc","(909) 463-4655","https://www.yellowpages.com/fontana-ca/mip/inland-optometric-associates-inc-19590353","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","http://inlandoptometry.com","","15070 Summit Ave","Fontana","CA","92336","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"11. ","Dr. Katz Optometry","(909) 357-3333","https://www.yellowpages.com/fontana-ca/mip/dr-katz-optometry-506251033","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","9190 Sierra Ave Ste 105","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"12. ","Skinner Dr","(909) 822-1115","https://www.yellowpages.com/fontana-ca/mip/skinner-dr-536295624","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","http://drmarkskinner.com","","8275 Sierra Ave","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"13. ","Optometrist","(909) 574-2013","https://www.yellowpages.com/fontana-ca/mip/optometrist-551753098","Physicians & Surgeons, Ophthalmology,Optometrists,Medical Clinics","","","16803 Valley Blvd","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"14. ","Eduardo Macias Md Inc.","(909) 427-8900","https://www.yellowpages.com/fontana-ca/mip/eduardo-macias-md-inc-475009873","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://maciasvisioncenters.com","","18066 Foothill Blvd","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"15. ","Robert S Herrick Inc","(909) 820-4051","https://www.yellowpages.com/rialto-ca/mip/robert-s-herrick-inc-6538702","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://herrickresearchfoundation.com","","882 W Rialto Ave","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"16. ","First Sight Vision Services Inc","(909) 421-2020","https://www.yellowpages.com/rialto-ca/mip/first-sight-vision-services-inc-534783802","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","http://firstsightvision.net","","1366 S Riverside Ave","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"17. ","Nguyen Ly","(909) 875-3045","https://www.yellowpages.com/rialto-ca/mip/nguyen-ly-17081836","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","https://sites.google.com/site/lynguyenoptometry","","213 E Foothill Blvd","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"18. ","Freestone Optometric Center","(909) 644-4590","https://www.yellowpages.com/rialto-ca/mip/freestone-optometric-center-30809237?lid=1001780214900","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Medical Equipment & Supplies","http://garymfreestoneod.com","","1850 N Riverside Ave Ste 220","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"19. ","Bishai Nabil F MD","(909) 421-3001","https://www.yellowpages.com/rialto-ca/mip/bishai-nabil-f-md-7379717","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1850 N Riverside Ave Ste 110","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"20. ","Dr. Jaskarn J Johl, DO","(909) 580-1000","https://www.yellowpages.com/colton-ca/mip/dr-jaskarn-j-johl-do-529247021","Physicians & Surgeons, Ophthalmology","","","400 N Pepper Ave","Colton","CA","92324","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"21. ","Bernard Rubin OD","(909) 421-3030","https://www.yellowpages.com/rialto-ca/mip/bernard-rubin-od-783780","Physicians & Surgeons, Ophthalmology,Optometrists","","","1850 N Riverside Ave Ste 100","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"22. ","Peterson Kimberly OD","(909) 421-3030","https://www.yellowpages.com/rialto-ca/mip/peterson-kimberly-od-460609616","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","http://www.drpetersonoptometrist.com","","1850 N Riverside Ave","Rialto","CA","92376","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"23. ","Bozner's Vision Lab","(951) 684-9700","https://www.yellowpages.com/riverside-ca/mip/bozners-vision-lab-3512807","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.drbozner.com","","4212 Market St","Riverside","CA","92501","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"24. ","Pacific Eye Institute","(909) 945-9400","https://www.yellowpages.com/rancho-cucamonga-ca/mip/pacific-eye-institute-496617936","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","https://www.pacificeyemd.com/locations/eye-doctors-rancho-cucamonga","","8112 Milliken Ave Ste 203","Rancho Cucamonga","CA","91730","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"25. ","Tatum & Trezza","(909) 987-0728","https://www.yellowpages.com/rancho-cucamonga-ca/mip/tatum-trezza-30842079","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.drstatumandtrezza.com","","10165 Foothill Blvd Ste 7","Rancho Cucamonga","CA","91730","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"26. ","Doheny Eye Centers","(951) 788-1231","https://www.yellowpages.com/riverside-ca/mip/doheny-eye-centers-15854054","Physicians & Surgeons, Ophthalmology,Optical Goods,Physicians & Surgeons","http://www.doheny.org","","4440 Brockton Ave Ste 330","Riverside","CA","92501","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"27. ","Dr. Edward J Puttre, MD","(909) 887-3937","https://www.yellowpages.com/san-bernardino-ca/mip/dr-edward-j-puttre-md-460347148","Physicians & Surgeons, Ophthalmology","","","1800 Western Ave Ste 101","San Bernardino","CA","92411","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"28. ","Corinna M Pokorny, MD","(909) 887-3937","https://www.yellowpages.com/san-bernardino-ca/mip/corinna-m-pokorny-md-529072802","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1800 Western Ave Ste 101","San Bernardino","CA","92411","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"29. ","DR of Optometry","(909) 884-5255","https://www.yellowpages.com/san-bernardino-ca/mip/dr-of-optometry-560381173","Physicians & Surgeons, Ophthalmology,Optometrists","","","330 Inland Ctr","San Bernardino","CA","92408","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
"30. ","Livacich & Kiyan Optometric","(909) 882-3358","https://www.yellowpages.com/san-bernardino-ca/mip/livacich-kiyan-optometric-473987353","Physicians & Surgeons, Ophthalmology,Optometrists","","","595 W Highland Ave","San Bernardino","CA","92405","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fontana,%20California"
