"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Eyes On Sunrise","(954) 563-8288","https://www.yellowpages.com/fort-lauderdale-fl/mip/eyes-on-sunrise-457917214","Physicians & Surgeons, Ophthalmology,Optometrists","","","2583 E Sunrise Blvd","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"2. ","Aran, Alberto J, MD","(954) 561-3533","https://www.yellowpages.com/fort-lauderdale-fl/mip/aran-alberto-j-md-497265491","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","http://www.araneyeassociates.com","","2540 NE 9th St","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"3. ","Klein, Paul","(954) 564-2020","https://www.yellowpages.com/fort-lauderdale-fl/mip/klein-paul-3247561","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","http://browardeye.com","","2502 E Oakland Park Blvd","Fort Lauderdale","FL","33306","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"4. ","Feldman, Sheldon H MD PA","(954) 739-3733","https://www.yellowpages.com/fort-lauderdale-fl/mip/feldman-sheldon-h-md-pa-13703542?lid=1001722486625","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://tamarac.org","","4959 N State Road 7","Fort Lauderdale","FL","33319","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"5. ","Dr. Clayton Michael Berger, MD","(954) 525-1111","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-clayton-michael-berger-md-12120636","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.drclaytonmberger.com","","201 SE 14th St","Fort Lauderdale","FL","33316","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"6. ","David Alan Seamont, MD","(954) 561-3533","https://www.yellowpages.com/fort-lauderdale-fl/mip/david-alan-seamont-md-564713276","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","2540 NE 9th St","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"7. ","Dr. Robert Lee Kramm III, MD, MSE","(240) 276-4200","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-robert-lee-kramm-iii-md-mse-529356414","Physicians & Surgeons, Ophthalmology","","","1281 S Ocean Dr","Fort Lauderdale","FL","33316","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"8. ","Dr. James E. Lang, MD","(954) 491-1111","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-james-e-lang-md-488976205","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.laudeye.com","","4800 NE 20th Ter","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"9. ","Dr. James J Stuart, MD","(954) 491-1111","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-james-j-stuart-md-8065226","Physicians & Surgeons, Ophthalmology","","","4800 NE 20th Ter","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"10. ","Beasley, Frank J MD","(954) 351-9561","https://www.yellowpages.com/fort-lauderdale-fl/mip/beasley-frank-j-md-2558640","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1815 E Commercial Blvd","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"11. ","Dr. George A. Fournier, M.D., FACS","(954) 492-1177","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-george-a-fournier-m-d-facs-453337319","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.ftleye.com","","2466 E Commercial Blvd","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"12. ","Goldberg, Marc J, MD","(954) 776-2020","https://www.yellowpages.com/fort-lauderdale-fl/mip/goldberg-marc-j-md-451115178","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.marcgoldbergmd.com","","2334 NE 53rd St","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"13. ","Norma Jeanne Flack, DO","(954) 776-0292","https://www.yellowpages.com/fort-lauderdale-fl/mip/norma-jeanne-flack-do-464411509","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://goldberghomes.com","","2334 NE 53rd St","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"14. ","Manhatten Eye Associates","(954) 772-9911","https://www.yellowpages.com/fort-lauderdale-fl/mip/manhatten-eye-associates-5730030","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Family Medicine & General Practice","https://www.gilwiteye.com","","800 W Cypress Creek Rd","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"15. ","DR Paul H Gilwit MD","(954) 772-9911","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-paul-h-gilwit-md-6147924","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://www.paulgilwitmd.com","","800 W Cypress Creek Rd","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"16. ","Dr. Jennifer Tiech, MD","(954) 915-7444","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-jennifer-tiech-md-528056435","Physicians & Surgeons, Ophthalmology","","","2900 W Cypress Creek Rd","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"17. ","South Florida Eye Associates West Boca Eye Institute","(954) 800-0843","https://www.yellowpages.com/fort-lauderdale-fl/mip/south-florida-eye-associates-west-boca-eye-institute-8473541","Physicians & Surgeons, Ophthalmology,Optometrists,Medical Clinics","http://www.southfloridavision.com","","2900 NW 62nd St","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"18. ","Kay, Matthew, MD","(954) 463-4761","https://www.yellowpages.com/fort-lauderdale-fl/mip/kay-matthew-md-531279969","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","6333 N Federal Hwy","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"19. ","Rosenberg, Krista D, MD","(954) 776-6880","https://www.yellowpages.com/fort-lauderdale-fl/mip/rosenberg-krista-d-md-481998577","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.retinagroupflorida.com","","6333 N Federal Hwy","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"20. ","Las Olas Eye Center","(954) 463-4761","https://www.yellowpages.com/fort-lauderdale-fl/mip/las-olas-eye-center-483145833","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","https://lasolasboulevard.com","","6333 N Federal Hwy","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"21. ","Dr. Noel L Elgut, MD","(954) 463-4761","https://www.yellowpages.com/fort-lauderdale-fl/mip/dr-noel-l-elgut-md-497211065","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://elguteyecare.com","","6333 N Federal Hwy","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
"22. ","Cody Tuf Ott, MD","(954) 463-4761","https://www.yellowpages.com/fort-lauderdale-fl/mip/cody-tuf-ott-md-552002755","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://lasolasboulevard.com","","6333 N Federal Hwy Ste 401","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fort%20Lauderdale,%20Florida"
