"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Provision Optometry","(510) 494-8838","https://www.yellowpages.com/fremont-ca/mip/provision-optometry-13216571","Physicians & Surgeons, Ophthalmology,Optometrists","http://ebvc.com","","39492 Fremont Blvd","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"2. ","Cohn James MD","(510) 683-1960","https://www.yellowpages.com/fremont-ca/mip/cohn-james-md-474709109?lid=1001722488784","Physicians & Surgeons, Ophthalmology,Opticians,Optometrists","https://www.jamescohnmd.com/","","3775 Beacon Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"3. ","Toy Anthony OD","(510) 791-2233","https://www.yellowpages.com/fremont-ca/mip/toy-anthony-od-22913023?lid=1002001229529","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","https://www.jamescohnmd.com","","3775 Beacon Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"4. ","Chan Harry W OD and Wong, Jamie M OD","(510) 797-8770","https://www.yellowpages.com/fremont-ca/mip/chan-harry-w-od-and-wong-jamie-m-od-481658358?lid=1000439599919","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Medical Equipment & Supplies","","","1895 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"5. ","Dr. Judy I Ou, MD","(510) 490-1222","https://www.yellowpages.com/fremont-ca/mip/dr-judy-i-ou-md-478573844","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.pamf.org","","3200 Kearney St","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"6. ","Amy N Badger-asar, MD","(510) 498-2857","https://www.yellowpages.com/fremont-ca/mip/amy-n-badger-asar-md-559557535","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3200 Kearney St","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"7. ","Dr. Michael P. Walvick, DO","(510) 795-3000","https://www.yellowpages.com/fremont-ca/mip/dr-michael-p-walvick-do-474012153","Physicians & Surgeons, Ophthalmology","http://kaiserhaywardptresidency.com","","39400 Paseo Padre Pkwy","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"8. ","East Bay Eyecare Professionals Inc.","(510) 793-2020","https://www.yellowpages.com/fremont-ca/mip/east-bay-eyecare-professionals-inc-475358853","Physicians & Surgeons, Ophthalmology,Optometrists,Optometry Equipment & Supplies","http://www.eastbayeyecare.net","","1860 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"9. ","Anh Tran OD","(510) 791-2233","https://www.yellowpages.com/fremont-ca/mip/anh-tran-od-555729131","Physicians & Surgeons, Ophthalmology,Optometrists","","","3775 Beacon Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"10. ","Tri City Optometry","(510) 792-9614","https://www.yellowpages.com/fremont-ca/mip/tri-city-optometry-548647229","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.tricityeyes.com","","1800 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"11. ","Dr. Vivian M Weng, OD","(510) 742-1004","https://www.yellowpages.com/fremont-ca/mip/dr-vivian-m-weng-od-21978962","Physicians & Surgeons, Ophthalmology,Optometrists","","","2191 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"12. ","James Song MD","(510) 713-9898","https://www.yellowpages.com/fremont-ca/mip/james-song-md-483326634","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.jamesbeedham.com","","2299 Mowry Ave Ste 3A","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"13. ","Celeste Paz","(510) 713-2040","https://www.yellowpages.com/fremont-ca/mip/celeste-paz-6998547","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.drcpaz.com","","3100 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"14. ","Tan Fang MD","(510) 793-2800","https://www.yellowpages.com/fremont-ca/mip/tan-fang-md-470254520","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://nationalpayday.com","","1895 Mowry Ave","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"15. ","Dr. Kimberly K Haw, OD","(510) 792-9900","https://www.yellowpages.com/fremont-ca/mip/dr-kimberly-k-haw-od-473156468","Physicians & Surgeons, Ophthalmology,Optometrists","","","3935 Beacon Ave Ste A","Fremont","CA","94538","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"16. ","Fremont Eye Care Physicians","(510) 794-0660","https://www.yellowpages.com/fremont-ca/mip/fremont-eye-care-physicians-463238623","Physicians & Surgeons, Ophthalmology","http://www.eyecarefremont.com","","38707 Stivers St","Fremont","CA","94536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
"17. ","Kenneth C Low MD","(510) 794-0660","https://www.yellowpages.com/fremont-ca/mip/kenneth-c-low-md-10332360","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://eyecarefremont.com","","38707 Stivers St","Fremont","CA","94536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Fremont,%20California"
