"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Alex Dastgheib K MD","(714) 636-6282","https://www.yellowpages.com/garden-grove-ca/mip/alex-dastgheib-k-md-505345600","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","12828 Harbor Blvd","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"2. ","Diana Risco OD","(714) 537-1090","https://www.yellowpages.com/garden-grove-ca/mip/diana-risco-od-22352907","Physicians & Surgeons, Ophthalmology,Optometrists","","","11000 Garden Grove Blvd","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"3. ","Donald W Cook OD Optmtrst","(714) 530-5050","https://www.yellowpages.com/garden-grove-ca/mip/donald-w-cook-od-optmtrst-503207881","Physicians & Surgeons, Ophthalmology,Optometrists","","","12902 Brookhurst St Ste A","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"4. ","Lee Paul Ophthalmology","(714) 539-3232","https://www.yellowpages.com/garden-grove-ca/mip/lee-paul-ophthalmology-455624526","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","","","9894 Garden Grove Blvd","Garden Grove","CA","92844","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"5. ","Dawn M Miller OD Faao","(714) 530-5720","https://www.yellowpages.com/garden-grove-ca/mip/dawn-m-miller-od-faao-466414925","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","","","12620 Brookhurst St","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"6. ","Uy Vincent Optometry","(714) 741-3937","https://www.yellowpages.com/garden-grove-ca/mip/uy-vincent-optometry-551780930","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","","","12432 Brookhurst St","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"7. ","Optima Vision Optometry","(714) 534-3100","https://www.yellowpages.com/garden-grove-ca/mip/optima-vision-optometry-10450112","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.daomedicalgroup.com","","13192 Harbor Blvd","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"8. ","Ar Optometry","(714) 539-2020","https://www.yellowpages.com/garden-grove-ca/mip/ar-optometry-546575822","Physicians & Surgeons, Ophthalmology,Optometrists","","","9618 Garden Grove Blvd Ste 109","Garden Grove","CA","92844","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"9. ","Wakabayashi David T","(714) 530-2020","https://www.yellowpages.com/garden-grove-ca/mip/wakabayashi-david-t-496964068","Physicians & Surgeons, Ophthalmology,Optometrists","","","12914 Harbor Blvd","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
"10. ","Dr. Richard L Nguyen, MD","(714) 638-4433","https://www.yellowpages.com/garden-grove-ca/mip/dr-richard-l-nguyen-md-14155103","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","9746 Westminster Ave","Garden Grove","CA","92844","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Garden%20Grove,%20California"
