"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Century Advance lasik eye surgeon","(310) 409-1079","https://www.yellowpages.com/los-angeles-ca/mip/century-advance-lasik-eye-surgeon-471209785","Optometric Clinics","","","2080 Century Park E Ste 911","Los Angeles","CA","90067","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"2. ","Glendale Eye Medical Group","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/glendale-eye-medical-group-504698765","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.glendaleeye.com","","500 N Central Ave","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"3. ","Beeve, Scott MD FACS","(818) 790-8001","https://www.yellowpages.com/glendale-ca/mip/beeve-scott-md-facs-533758064?lid=1001325771506","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","http://drbeeve.com","","1809 Verdugo Blvd","Glendale","CA","91208","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"4. ","Dressler Arthur D OD Inc.","(818) 244-4169","https://www.yellowpages.com/glendale-ca/mip/dressler-arthur-d-od-inc-14659676","Physicians & Surgeons, Ophthalmology,Optometrists","","","237 N Brand Blvd","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"5. ","Katherine Chen","(818) 265-7777","https://www.yellowpages.com/glendale-ca/mip/katherine-chen-526133492","Physicians & Surgeons, Ophthalmology","","","409 N Central Ave","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"6. ","Dr. Helen M. Wu, MD","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/dr-helen-m-wu-md-550657849","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.adventisthealth.org/provider/helen-m-wu-md-ophthalmology","","500 N Central Ave Ste 400","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"7. ","Dr. Stephen S Chang, MD","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/dr-stephen-s-chang-md-18011272","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.adventisthealth.org/provider/stephen-s-chang-md-ophthalmology","","607 N Central Ave","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"8. ","Link John B OD A Professional Corporation","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/link-john-b-od-a-professional-corporation-453503153","Physicians & Surgeons, Ophthalmology,Optometrists,Medical Clinics","","","607 N Central Ave","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"9. ","Glendale In Office Eye Surgery Center","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/glendale-in-office-eye-surgery-center-502804852","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","607 N Central Ave Ste 203","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
"10. ","Dr. Richard A Weise, MD","(818) 956-1010","https://www.yellowpages.com/glendale-ca/mip/dr-richard-a-weise-md-589361","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.adventisthealth.org/provider/richard-a-weise-md-ophthalmology","","607 N Central Ave","Glendale","CA","91203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Glendale,%20California"
