"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Cascade Ophthalmology PC","(616) 575-8200","https://www.yellowpages.com/grand-rapids-mi/mip/cascade-ophthalmology-pc-10325013","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.cascadeeyes.com","","791 Kenmoor Ave SE","Grand Rapids","MI","49546","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"2. ","Pediatric Ophthalmology PC","(616) 957-0866","https://www.yellowpages.com/grand-rapids-mi/mip/pediatric-ophthalmology-pc-6756818?lid=1002073509299","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Optometrists","http://www.grpedoph.com","","5050 Cascade Rd SE","Grand Rapids","MI","49546","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"3. ","Jansma Family Eyecare","(616) 261-3939","https://www.yellowpages.com/grand-rapids-mi/mip/jansma-family-eyecare-467126625","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","https://www.facebook.com/pages/Jansma-Eyecare/155413327859908?ref=hl","","5491 Division Ave S","Grand Rapids","MI","49548","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"4. ","Harrison Eye Center","(616) 776-0016","https://www.yellowpages.com/grand-rapids-mi/mip/harrison-eye-center-456798958?lid=1001822936290","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","","","435 Cherry St SE","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"5. ","Donald W Rademacher OD","(616) 459-0641","https://www.yellowpages.com/grand-rapids-mi/mip/donald-w-rademacher-od-507320104","Physicians & Surgeons, Ophthalmology,Optometrists","http://fongerandcooneyecare.com","","144 Monroe Center St NW","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"6. ","Gary A Anderson OD","(616) 459-7380","https://www.yellowpages.com/grand-rapids-mi/mip/gary-a-anderson-od-546476149","Physicians & Surgeons, Ophthalmology,Optometrists","","","55 Campau Ave NW Ste 10","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"7. ","Brooke Elizabeth Geddie, DO","(616) 391-0680","https://www.yellowpages.com/grand-rapids-mi/mip/brooke-elizabeth-geddie-do-460110679","Physicians & Surgeons, Ophthalmology","","","330 Barclay Ave Ne Mc 011","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"8. ","Geddie, Brooke E, MD","(616) 267-2605","https://www.yellowpages.com/grand-rapids-mi/mip/geddie-brooke-e-md-479037787","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.helendevoschildrens.org","","35 Michigan St NE","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"9. ","Julie Ann Conley, MD","(616) 267-2605","https://www.yellowpages.com/grand-rapids-mi/mip/julie-ann-conley-md-559374725","Physicians & Surgeons, Ophthalmology","","","35 Michigan St NE Ste NE","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"10. ","Kevin Bradley Lodewyk, MD","(616) 391-1929","https://www.yellowpages.com/grand-rapids-mi/mip/kevin-bradley-lodewyk-md-539484063","Physicians & Surgeons, Ophthalmology","","","221 Michigan St NE Ste 402","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"11. ","Dr. Michael Debre' Harrison, MD","(616) 776-0016","https://www.yellowpages.com/grand-rapids-mi/mip/dr-michael-debre-harrison-md-548379981","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","435 Cherry St SE","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
"12. ","Harrison, Abby E OD","(616) 776-0016","https://www.yellowpages.com/grand-rapids-mi/mip/harrison-abby-e-od-542337761","Physicians & Surgeons, Ophthalmology,Optometrists","","","435 Cherry St SE","Grand Rapids","MI","49503","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Grand%20Rapids,%20Michigan"
