"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Aran Eye Associates","(305) 557-3392","https://www.yellowpages.com/hialeah-fl/mip/aran-eye-associates-468223638","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optometric Clinics","https://www.araneye.com","","2140 W 68th St","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"2. ","Airala Laser Cataract Institute","(305) 558-7895","https://www.yellowpages.com/hialeah-fl/mip/airala-laser-cataract-institute-11602086","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.esquenazieye.com","","202 E 49th St","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"3. ","Perez, Miguel A, MD","(305) 836-6805","https://www.yellowpages.com/hialeah-fl/mip/perez-miguel-a-md-29371026","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics,Physicians & Surgeons","","","777 E 25th St Ste 414","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"4. ","Hialeah Warehouse Holdings","(305) 885-7121","https://www.yellowpages.com/hialeah-fl/mip/hialeah-warehouse-holdings-480055837","Physicians & Surgeons, Ophthalmology,Optometrists","","","621 W 20th St","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"5. ","Dr. Osvaldo J. Caffa, MD","(305) 698-0005","https://www.yellowpages.com/hialeah-fl/mip/dr-osvaldo-j-caffa-md-10513279","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","900 W 49th St Ste 300","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"6. ","Thomas R Ugarte PA","(305) 823-6525","https://www.yellowpages.com/hialeah-fl/mip/thomas-r-ugarte-pa-13230367","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","900 W 49th St Ste 300","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"7. ","Dr. Robert Andreu, MD","(305) 558-2930","https://www.yellowpages.com/hialeah-fl/mip/dr-robert-andreu-md-523574536","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","900 W 49th St Ste 234","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"8. ","Aran, Alberto J MD","(305) 442-2020","https://www.yellowpages.com/hialeah-fl/mip/aran-alberto-j-md-451151786","Physicians & Surgeons, Ophthalmology","","","1097 E 8th Ave","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"9. ","Arosemena, Analisa MD","(305) 442-2020","https://www.yellowpages.com/hialeah-fl/mip/arosemena-analisa-md-480609654","Physicians & Surgeons, Ophthalmology","","","1097 E 8th Ave","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"10. ","Mansur, Arnulfo MD","(305) 442-2020","https://www.yellowpages.com/hialeah-fl/mip/mansur-arnulfo-md-480614620","Physicians & Surgeons, Ophthalmology","","","1097 E 8th Ave","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"11. ","Wals, Kenneth MD","(305) 442-2020","https://www.yellowpages.com/hialeah-fl/mip/wals-kenneth-md-480614623","Physicians & Surgeons, Ophthalmology","","","1097 E 8th Ave","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"12. ","Perez Espinosa, Manuel","(305) 823-8791","https://www.yellowpages.com/hialeah-fl/mip/perez-espinosa-manuel-29463437","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","","","1435 W 49th Pl","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
"13. ","Perez Vila Jose MD","(305) 823-8791","https://www.yellowpages.com/hialeah-fl/mip/perez-vila-jose-md-504481029","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","","","1435 W 49th Pl Ste 502","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Hialeah,%20Florida"
