"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","M Pierre Pang, MD","(808) 533-7400","https://www.yellowpages.com/honolulu-hi/mip/m-pierre-pang-md-531083267","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","2055 N King St Ste 100","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"2. ","Honolulu Eye Clinic","(808) 526-0030","https://www.yellowpages.com/honolulu-hi/mip/honolulu-eye-clinic-9684913","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Physicians & Surgeons, Family Medicine & General Practice","http://www.honolulueyeclinic.com","","1329 Lusitana St Ste 806","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"3. ","Dr. Vivien M. B. Tham, MD","(808) 428-3288","https://www.yellowpages.com/honolulu-hi/mip/dr-vivien-m-b-tham-md-478522841","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.pacificvisionhawaii.com","","1401 S Beretania St 560","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"4. ","Dr. Joanne Soriano Rigdon, OD","(808) 533-7400","https://www.yellowpages.com/honolulu-hi/mip/dr-joanne-soriano-rigdon-od-531049278","Physicians & Surgeons, Ophthalmology,Optometrists","http://paceye.com","","2055 N King St Ste 100","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"5. ","Aina Haina Eye Center","(808) 373-4522","https://www.yellowpages.com/honolulu-hi/mip/aina-haina-eye-center-18507943","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Plastic & Reconstructive","http://www.ainahainaeyecenter.com","","850 W Hind Dr Ste 212","Honolulu","HI","96821","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"6. ","Lin Eye Surgery & Laser Center","(808) 946-7889","https://www.yellowpages.com/honolulu-hi/mip/lin-eye-surgery-laser-center-452377257","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","1441 Kapiolani Blvd Ste 1488","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"7. ","Honolulu Center For Aesthetic","(808) 949-3200","https://www.yellowpages.com/honolulu-hi/mip/honolulu-center-for-aesthetic-482828048","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.honolulusmiles.com","","1441 Kapiolani Blvd Ste 1304","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"8. ","Ala Moana Dental Group","(808) 946-6326","https://www.yellowpages.com/honolulu-hi/mip/ala-moana-dental-group-494511547","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Opticians","http://www.alamoanadental.com","","1441 Kapiolani Blvd Ste 706","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"9. ","Aloha Laser Aesthetics","(808) 792-3937","https://www.yellowpages.com/honolulu-hi/mip/aloha-laser-aesthetics-5569955","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","https://www.alohalaseraesthetics.com","","1100 Ward Ave Ste 1015","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"10. ","Chen Ming MD FACS","(808) 531-8874","https://www.yellowpages.com/honolulu-hi/mip/chen-ming-md-facs-459206014?lid=1000868906423","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://www.drmingchen.com","","55 S Kukui St Ste C109","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"11. ","Minatoya Eye Clinic Inc","(808) 597-1133","https://www.yellowpages.com/honolulu-hi/mip/minatoya-eye-clinic-inc-21963145?lid=1000009884051","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://www.minatoyaeyeclinic.com","","1003 Pensacola St","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"12. ","Jenkins Tyrie Lee MD","(808) 591-9911","https://www.yellowpages.com/honolulu-hi/mip/jenkins-tyrie-lee-md-5973286?lid=1001060968393","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Opticians","http://www.jenkinseyecare.com/","","615 Piikoi St Ste 205","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"13. ","Pacific Eye Surgery Center Inc","(808) 533-7400","https://www.yellowpages.com/honolulu-hi/mip/pacific-eye-surgery-center-inc-475359473?lid=1001976613569","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.eyefinity.com","","2055 N King St Ste 100","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"14. ","Hawaii Optometric Association","(808) 537-5678","https://www.yellowpages.com/honolulu-hi/mip/hawaii-optometric-association-16905489","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.hawaiioptometry.org","","220 S King St Ste 801","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"15. ","Iida, Jessica, OD","(808) 585-6931","https://www.yellowpages.com/honolulu-hi/mip/iida-jessica-od-530691050","Physicians & Surgeons, Ophthalmology,Optometrists","","","1001 Bishop St Ste 700","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"16. ","Matsushima, Anne K","(808) 550-4439","https://www.yellowpages.com/honolulu-hi/mip/matsushima-anne-k-463264402","Physicians & Surgeons, Ophthalmology,Optometrists","http://drmatsushima.com","","126 Queen St Ste 229","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"17. ","Dr. George Plechaty, MD","(808) 545-2883","https://www.yellowpages.com/honolulu-hi/mip/dr-george-plechaty-md-20522206","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1380 Lusitana St Ste 508","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"18. ","Michael Craig Wing Yim, MD","(808) 528-5333","https://www.yellowpages.com/honolulu-hi/mip/michael-craig-wing-yim-md-472810332","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.sugikiportis.com","","1380 Lusitana St Ste 714","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"19. ","Oculoplastics Center","(808) 599-4755","https://www.yellowpages.com/honolulu-hi/mip/oculoplastics-center-478521506","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Clinics","http://www.theoculoplasticscenter.com","","1380 Lusitana St Ste 708","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"20. ","Gregory William Schmidt, MD","(808) 523-2020","https://www.yellowpages.com/honolulu-hi/mip/gregory-william-schmidt-md-545016565","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.hawaii2020.com","","1380 Lusitana St Ste 604","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"21. ","Vax-D Institute of the Pacific Inc","(808) 529-1033","https://www.yellowpages.com/honolulu-hi/mip/vax-d-institute-of-the-pacific-inc-9742573","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.hawaii2020.com","","1380 Lusitana St","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"22. ","Nathan Kanyinda, MD","(808) 586-2890","https://www.yellowpages.com/honolulu-hi/mip/nathan-kanyinda-md-530769529","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1356 Lusitana St Ste 510","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"23. ","Dr. Te Tsaw Chen, MD","(808) 538-1269","https://www.yellowpages.com/honolulu-hi/mip/dr-te-tsaw-chen-md-528113969","Physicians & Surgeons, Ophthalmology","","","55 S Kukui St Ste C109","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"24. ","Dr. Steven S Sameshima, MD","(808) 380-8470","https://www.yellowpages.com/honolulu-hi/mip/dr-steven-s-sameshima-md-465046323","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.rhoadsstevensmd.com","","1329 Lusitana St Ste 306","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
"25. ","Anna Walker Parlin, MD, MPH","(808) 521-8483","https://www.yellowpages.com/honolulu-hi/mip/anna-walker-parlin-md-mph-545898622","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","1329 Lusitana St Ste 502","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Honolulu,%20Hawaii"
