"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Retina Specialists of North Alabama LLC","(256) 539-8851","https://www.yellowpages.com/huntsville-al/mip/retina-specialists-of-north-alabama-llc-458683322","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Physicians & Surgeons","","","401 Meridian St N","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"2. ","Maynor And Mitchell Eye Center","(256) 533-0315","https://www.yellowpages.com/huntsville-al/mip/maynor-and-mitchell-eye-center-479197548","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://www.maynorandmitchell.com","","3501 Memorial Pkwy SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"3. ","EyeCare Associates","(256) 836-7318","https://www.yellowpages.com/huntsville-al/mip/eyecare-associates-479197872?lid=1002087745919","Physicians & Surgeons, Ophthalmology,Contact Lenses,Eyeglasses","https://www.webeca.com/locations/al/huntsville/huntsville-east?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp","","600 Washington St NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"4. ","EyeCare Associates","(256) 692-3998","https://www.yellowpages.com/huntsville-al/mip/eyecare-associates-472181084?lid=1002087748786","Physicians & Surgeons, Ophthalmology,Eyeglasses,Optical Goods","https://www.webeca.com/locations/al/huntsville/huntsville-west?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp","","210 Bob Wallace Ave SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"5. ","Eye Center The","(256) 705-3937","https://www.yellowpages.com/huntsville-al/mip/eye-center-the-3919064?lid=1000437175020","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Optical Goods","http://www.eyecentersurgeons.com","","401 Meridian St N","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"6. ","Dr. Sam Hutson Hay, MD","(256) 533-0089","https://www.yellowpages.com/huntsville-al/mip/dr-sam-hutson-hay-md-9874493","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","310 Clinton Ave W","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"7. ","Woods, Charles D, MD","(256) 534-1984","https://www.yellowpages.com/huntsville-al/mip/woods-charles-d-md-18871922","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.cwoodsmd.com","","303 Williams Ave SW Ste 128","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"8. ","Charles D.Woods, M.D. Eye & Cataract Associates","(256) 355-3645","https://www.yellowpages.com/huntsville-al/mip/charles-d-woods-m-d-eye-cataract-associates-541145063","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.cwoodsmd.com","","303 Williams Ave SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"9. ","Dr. Robert Keith Stevens, MD","(256) 705-3937","https://www.yellowpages.com/huntsville-al/mip/dr-robert-keith-stevens-md-551019919","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.eyecentersurgeons.com","","401 Meridian St N Ste 200","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
"10. ","Calderwood, Julie K, MD","(256) 705-3937","https://www.yellowpages.com/huntsville-al/mip/calderwood-julie-k-md-531488056","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.eyecentersurgeons.com","","401 Meridian St N Ste 200","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Huntsville,%20Alabama"
