"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Park Place Optometry","(949) 250-7071","https://www.yellowpages.com/irvine-ca/mip/park-place-optometry-4615411","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://parkplaceirvine.com","","2963 Michelson Dr","Irvine","CA","92612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"2. ","Alinaghian Mohsen Optometry","(949) 857-8213","https://www.yellowpages.com/irvine-ca/mip/alinaghian-mohsen-optometry-5180122","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.ocvisioncare.com","","18124 Culver Dr","Irvine","CA","92612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"3. ","Eddleman Jr, J C","(949) 786-4473","https://www.yellowpages.com/irvine-ca/mip/eddleman-jr-j-c-12598137","Physicians & Surgeons, Ophthalmology,Optometrists","","","","Irvine","CA","92612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"4. ","Tang Ruth OD","(949) 477-2424","https://www.yellowpages.com/irvine-ca/mip/tang-ruth-od-6714317","Physicians & Surgeons, Ophthalmology,Optometrists","","","17585 Harvard Ave","Irvine","CA","92614","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"5. ","Focus Vision","(949) 474-6901","https://www.yellowpages.com/irvine-ca/mip/focus-vision-13462312","Physicians & Surgeons, Ophthalmology,Optometrists","","","3121 Michelson Dr","Irvine","CA","92612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"6. ","Nancy Wilson, OD","(949) 857-0676","https://www.yellowpages.com/irvine-ca/mip/nancy-wilson-od-2837479","Physicians & Surgeons, Ophthalmology,Optometrists","","","4040 Barranca Pkwy","Irvine","CA","92604","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"7. ","Karen Toki, OD","(949) 857-0676","https://www.yellowpages.com/irvine-ca/mip/karen-toki-od-8939943","Physicians & Surgeons, Ophthalmology,Optometrists","http://woodbridgeoptometry.com","","4040 Barranca Pkwy","Irvine","CA","92604","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"8. ","Young Styles Eyecare","(949) 861-2002","https://www.yellowpages.com/irvine-ca/mip/young-styles-eyecare-15319798","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.youngstyleseyecare.com","","4605 Barranca Pkwy Ste 100","Irvine","CA","92604","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"9. ","Dr. Eran Duzman, MD","(949) 861-2002","https://www.yellowpages.com/irvine-ca/mip/dr-eran-duzman-md-528240886","Physicians & Surgeons, Ophthalmology","http://www.drduzmanmd.com","","4605 Barranca Pkwy Ste 100","Irvine","CA","92604","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
"10. ","Wu Optometric Institute Inc","(949) 833-2020","https://www.yellowpages.com/irvine-ca/mip/wu-optometric-institute-inc-459336806","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.spectrumoptometry.net","","2710 Alton Pkwy Ste 107","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irvine,%20California"
