"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Gary Tylock, M.D. - Ophthalmologist","(972) 210-0442","https://www.yellowpages.com/irving-tx/mip/gary-tylock-m-d-ophthalmologist-467898533","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","https://www.tylock.com/eye-doctors-irving-2/gary-tylock-m-d/?utm_source=OffSite&utm_medium=GMBandOtherOffSiteDirectories","","3100 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"2. ","Tylock Eyecare & Laser Center","(972) 258-6400","https://www.yellowpages.com/irving-tx/mip/tylock-eyecare-laser-center-481954727","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Family Medicine & General Practice","","","3100 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"3. ","Dr. David D Gregory, MD","(972) 254-4297","https://www.yellowpages.com/irving-tx/mip/dr-david-d-gregory-md-537989009","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.drdavidgregory.yourmd.com","","1302 Lane St","Irving","TX","75061","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"4. ","Dr. Robert R Whitaker, MD","(972) 253-2520","https://www.yellowpages.com/irving-tx/mip/dr-robert-r-whitaker-md-30037168","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","2001 N Macarthur Blvd Ste 425","Irving","TX","75061","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"5. ","Michael R. George, MD - Irving LASIK","(972) 210-0442","https://www.yellowpages.com/irving-tx/mip/michael-r-george-md-irving-lasik-478724456","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Contact Lenses","https://www.tylock.com/eye-doctors-irving/michael-george-md","","3100 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"6. ","Andrew Pazandak, MD - Irving Glaucoma Specialist","(972) 210-0442","https://www.yellowpages.com/irving-tx/mip/andrew-pazandak-md-irving-glaucoma-specialist-563914539","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Contact Lenses","https://www.tylock.com/eye-doctors-irving","","3100 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"7. ","Kartik Sampath Kumar, MD","(972) 258-7979","https://www.yellowpages.com/irving-tx/mip/kartik-sampath-kumar-md-533683956","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3200 N Macarhur Blvd Suite 200","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"8. ","Colleen M Walters","(972) 258-7979","https://www.yellowpages.com/irving-tx/mip/colleen-m-walters-12552364","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3200 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"9. ","Everett Albert Moody, MD","(972) 258-7979","https://www.yellowpages.com/irving-tx/mip/everett-albert-moody-md-30132038","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","http://www.moodypedieyes.com","","3200 N Macarthur Blvd Ste 200","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
"10. ","Eric A Packwood","(972) 258-7979","https://www.yellowpages.com/irving-tx/mip/eric-a-packwood-467279961","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3200 N Macarthur Blvd","Irving","TX","75062","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Irving,%20Texas"
