"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Drs. Campbell Cunningham Taylor & Haun","(865) 588-3937","https://www.yellowpages.com/knoxville-tn/mip/drs-campbell-cunningham-taylor-haun-7009156","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://www.2ccteyes.com","","1124 E Weisgarber Rd","Knoxville","TN","37909","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"2. ","Dr Steven Sterling","(865) 540-1777","https://www.yellowpages.com/knoxville-tn/mip/dr-steven-sterling-8448434?lid=1000875177188","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.sterlingeyecare.com","","2607 Kingston Pike","Knoxville","TN","37919","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"3. ","Gary Gitschlag MD","(865) 521-7998","https://www.yellowpages.com/knoxville-tn/mip/gary-gitschlag-md-479797870","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Optometrists","http://knoxkidseye.com","","2100 Clinch Ave Ste 400","Knoxville","TN","37916","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"4. ","University Eye Specialists - U.T. Medical Center Location","(865) 244-2020","https://www.yellowpages.com/knoxville-tn/mip/university-eye-specialists-u-t-medical-center-location-25973473","Physicians & Surgeons, Ophthalmology,Optometrists","","","1928 Alcoa Hwy","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"5. ","Doss James T MD","(865) 524-9871","https://www.yellowpages.com/knoxville-tn/mip/doss-james-t-md-479101778","Physicians & Surgeons, Ophthalmology,Medical Centers","","","1928 Alcoa Hwy Ste 324","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"6. ","Dr. Daryl D Mc Daniel, MD","(865) 539-6052","https://www.yellowpages.com/knoxville-tn/mip/dr-daryl-d-mc-daniel-md-539596417","Physicians & Surgeons, Ophthalmology","","","1928 Alcoa Hwy Ste 324","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"7. ","Dr. Michael F. Lett, MD","(865) 966-8770","https://www.yellowpages.com/knoxville-tn/mip/dr-michael-f-lett-md-3104813","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://michaelflettmd.com","","11730 Kingston Pike","Knoxville","TN","37934","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"8. ","Speckner Eric","(865) 546-7140","https://www.yellowpages.com/knoxville-tn/mip/speckner-eric-465548728","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","","","","Knoxville","TN","37901","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"9. ","Campbell Cunningham Taylor & Haun Optical Dispensary","(865) 584-1358","https://www.yellowpages.com/knoxville-tn/mip/campbell-cunningham-taylor-haun-optical-dispensary-540728742","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.2ccteyes.com","","1124 E Weisgarber Rd","Knoxville","TN","37909","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"10. ","Campbell, Philip D, MD","(865) 584-0905","https://www.yellowpages.com/knoxville-tn/mip/campbell-philip-d-md-479224447","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","https://www.ccteyes.com","","1124 E Weisgarber Rd Ste 104","Knoxville","TN","37909","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"11. ","Shields, William Young OD","(865) 539-0653","https://www.yellowpages.com/knoxville-tn/mip/shields-william-young-od-451167850","Physicians & Surgeons, Ophthalmology,Optometrists","","","204 W Clinch Ave","Knoxville","TN","37902","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"12. ","Marc A Bodenheimer MD","(865) 579-3920","https://www.yellowpages.com/knoxville-tn/mip/marc-a-bodenheimer-md-459548898","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.baptisteye.com","","2020 Kay St","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"13. ","Dr. James R. Kimble, MD","(865) 579-3920","https://www.yellowpages.com/knoxville-tn/mip/dr-james-r-kimble-md-25995226","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.baptisteye.com","","2020 Kay St","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"14. ","Dr. William R. Sullivan, MD","(865) 579-3920","https://www.yellowpages.com/knoxville-tn/mip/dr-william-r-sullivan-md-479237165","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.baptisteye.com","","2020 Kay St","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
"15. ","Miller Jr, James H, MD","(865) 579-3999","https://www.yellowpages.com/knoxville-tn/mip/miller-jr-james-h-md-479773394","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.southeasternretina.com/our-doctors/james-h-miller-m-d","","2020 Kay St","Knoxville","TN","37920","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Knoxville,%20Tennessee"
