"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Wellish Vision Institute","(702) 804-1432","https://www.yellowpages.com/las-vegas-nv/mip/wellish-vision-institute-466181764","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.glaucomacenternv.com","","3150 N Tenaya Way Ste 440","Las Vegas","NV","89128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"2. ","Abrams Eye Institute","(702) 304-9494","https://www.yellowpages.com/las-vegas-nv/mip/abrams-eye-institute-6312119","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.abramseyeinstitute.com","","6450 Medical Center St Ste 100","Las Vegas","NV","89148","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"3. ","Mallinger Family Eye Care","(702) 240-2121","https://www.yellowpages.com/las-vegas-nv/mip/mallinger-family-eye-care-468488753","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.mallingereyecare.com","","1930 Village Center Cir Ste 10","Las Vegas","NV","89134","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"4. ","Elite Eye Care","(702) 648-1515","https://www.yellowpages.com/las-vegas-nv/mip/elite-eye-care-23354772","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optical Goods","http://www.eliteeyelv.com","","7775 S Rainbow Blvd Ste 110","Las Vegas","NV","89139","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"5. ","Wellish Vision Institute","(702) 733-2020","https://www.yellowpages.com/las-vegas-nv/mip/wellish-vision-institute-459460584","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Laser Surgery,Physicians & Surgeons","https://www.wellishvision.com/contact-us/west-location","","2555 Box Canyon Dr","Las Vegas","NV","89128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"6. ","Wellish Vision Institute","(702) 733-2020","https://www.yellowpages.com/las-vegas-nv/mip/wellish-vision-institute-1955155","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.wellishvision.com","","2110 E Flamingo Rd Ste 210","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"7. ","Dr. Kent L Wellish, MD","(702) 733-2020","https://www.yellowpages.com/las-vegas-nv/mip/dr-kent-l-wellish-md-478660652","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons","http://wellishvision.com","","2110 E Flamingo Rd Ste 210","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"8. ","Center For Sight","(702) 724-2020","https://www.yellowpages.com/las-vegas-nv/mip/center-for-sight-503569702","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","https://centerforsightlv.com/center-sight-craig","","5871 W Craig Rd","Las Vegas","NV","89130","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"9. ","Shoib Myint, DO","(702) 207-6468","https://www.yellowpages.com/las-vegas-nv/mip/shoib-myint-do-479225017","Physicians & Surgeons, Ophthalmology","","","7955 W Sahara Ave Ste 101","Las Vegas","NV","89117","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
"10. ","Dr. Jennifer Mallinger","(702) 240-2121","https://www.yellowpages.com/las-vegas-nv/mip/dr-jennifer-mallinger-474793357","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.mallingereyecare.com","","1930 Village Center Cir","Las Vegas","NV","89134","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Las%20Vegas,%20Nevada"
