"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Commonwealth of Kentucky","(859) 246-2906","https://www.yellowpages.com/lexington-ky/mip/commonwealth-of-kentucky-461251118","Physicians & Surgeons, Ophthalmology,Optometrists","","","163 W Short St Ste 550","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"2. ","Omega Ophthalmics","(859) 231-0430","https://www.yellowpages.com/lexington-ky/mip/omega-ophthalmics-497451926","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.omegaophthalmics.com","","333 W Vine St","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"3. ","University of Kentucky","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/university-of-kentucky-16528788","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","http://ukhealthcare.uky.edu","","740 N Limestone","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"4. ","Samuel Scott Haire OD","(859) 323-5000","https://www.yellowpages.com/lexington-ky/mip/samuel-scott-haire-od-469795129","Physicians & Surgeons, Ophthalmology,Optometrists","","","137 Rose St","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"5. ","Barbara K Crutchfield OD","(859) 323-5000","https://www.yellowpages.com/lexington-ky/mip/barbara-k-crutchfield-od-470380639","Physicians & Surgeons, Ophthalmology,Optometrists","","","137 Rose St","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"6. ","Caudill Cliff OD","(859) 323-5000","https://www.yellowpages.com/lexington-ky/mip/caudill-cliff-od-469783870","Physicians & Surgeons, Ophthalmology,Optometrists","","","137 Rose St Apt 800","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"7. ","Bailey -Seals Paula D MD","(859) 323-5000","https://www.yellowpages.com/lexington-ky/mip/bailey-seals-paula-d-md-469779258","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","","","137 Rose St","Lexington","KY","40507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"8. ","Dr. Woodford Spears Van Meter, MD","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/dr-woodford-spears-van-meter-md-12261484","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://ukhealthcare.uky.edu","","740 S Limestone","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"9. ","Conklin Jr, John D Md","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/conklin-jr-john-d-md-452538864","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.barnesoilandpropanesc.com","","740 S Limestone","Lexington","KY","40536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"10. ","Michelle Mary Abou-jaoude, MD","(859) 323-6162","https://www.yellowpages.com/lexington-ky/mip/michelle-mary-abou-jaoude-md-515562287","Physicians & Surgeons, Ophthalmology","","","800 Rose St","Lexington","KY","40536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"11. ","Samuel Scott Haire OD","(859) 323-5000","https://www.yellowpages.com/lexington-ky/mip/samuel-scott-haire-od-535635533","Physicians & Surgeons, Ophthalmology,Optometrists","","","800 Rose St","Lexington","KY","40536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"12. ","Jeffery Farmer, MD","(859) 323-2636","https://www.yellowpages.com/lexington-ky/mip/jeffery-farmer-md-546067085","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","800 Rose St","Lexington","KY","40536","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"13. ","Dr. Marla Davis, MD","(859) 218-2631","https://www.yellowpages.com/lexington-ky/mip/dr-marla-davis-md-542158540","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","","","1101 Veterans Dr","Lexington","KY","40502","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"14. ","Dr. Sheila Plumlee Sanders, MD","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/dr-sheila-plumlee-sanders-md-531909827","Physicians & Surgeons, Ophthalmology","","","110 Conn Ter Fl 5","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"15. ","Ana Bastos De C","(859) 323-5868","https://www.yellowpages.com/lexington-ky/mip/ana-bastos-de-c-535926107","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","110 Conn Ter Ste 550","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"16. ","Dr. Claire Fraser, MDPHD","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/dr-claire-fraser-mdphd-535940785","Physicians & Surgeons, Ophthalmology,Medical Centers,Physicians & Surgeons","https://ukhealthcare.uky.edu/doctors/claire-fraser","","110 Conn Ter Fl 5","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
"17. ","Dr. Christi Willen, MD","(859) 323-5867","https://www.yellowpages.com/lexington-ky/mip/dr-christi-willen-md-541893351","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://ukhealthcare.uky.edu/doctors/christi-willen","","110 Conn Ter","Lexington","KY","40508","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Lexington-Fayette,%20Kentucky"
