"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","DR Eugene D Cropp Optmtrst","(608) 257-4286","https://www.yellowpages.com/madison-wi/mip/dr-eugene-d-cropp-optmtrst-22379432","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.uwhealth.org/findadoctor/profile/eugene-d-cropp-od/5792","","780 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"2. ","Celeste K Jend OD","(608) 257-4286","https://www.yellowpages.com/madison-wi/mip/celeste-k-jend-od-456566398","Physicians & Surgeons, Ophthalmology,Optometrists","","","780 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"3. ","Patricia C Sabb, MD","(608) 257-4286","https://www.yellowpages.com/madison-wi/mip/patricia-c-sabb-md-507184799","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.uwhealth.org/findadoctor/profile/patricia-c-sabb-md/7351","","780 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"4. ","Brett Pariseau, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/brett-pariseau-md-519939850","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/brett-j-pariseau-md?utm_id=sys-listings-2&linksource=sys_listing_links-extended_network&y_source=1_MjMyNTc5NTMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"5. ","John Geanon, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/john-geanon-md-20993113","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/john-d-geanon-md?utm_id=sys-listings-2&linksource=sys_listing_links-extended_network&y_source=1_MjMyNTg5MzMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"6. ","John Rose, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/john-rose-md-22357482","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/john-g-rose-md?utm_id=sys-listings-2&linksource=sys_listing_links-extended_network&y_source=1_MjMyNTc5NDctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"7. ","Stephen J Sramek, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/stephen-j-sramek-md-479023466","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.deancare.com","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"8. ","Wesley C Green, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/wesley-c-green-md-546079752","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"9. ","Margaret Powell, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/margaret-powell-md-564142595","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/margaret-s-powell-md?utm_id=sys-listings-2&linksource=sys_listing_links-extended_network&y_source=1_MjcxMDY5NTctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"10. ","Eric Weinlander, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/eric-weinlander-md-564551750","Physicians & Surgeons, Ophthalmology,Opticians","https://www.ssmhealth.com/find-a-doctor/doctor-details/eric-j-weinlander-md?utm_id=sys-listings-2&linksource=sys_listing_links-extended_network&y_source=1_Mjc2MzYzNjMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"11. ","Terrill, Melissa M","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/terrill-melissa-m-5958955","Physicians & Surgeons, Ophthalmology,Optometrists","","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"12. ","Dr. Peter P Mc Canna, MD","(608) 282-2000","https://www.yellowpages.com/madison-wi/mip/dr-peter-p-mc-canna-md-9609014","Physicians & Surgeons, Ophthalmology","http://www.deancare.com","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"13. ","Amol D. Kulkarni, MD","(608) 282-2020","https://www.yellowpages.com/madison-wi/mip/amol-d-kulkarni-md-508659700","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/amol-d-kulkarni-md?y_source=1_MzkwMzkyODktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
"14. ","Mitchell D. Wolf, MD","(608) 282-2020","https://www.yellowpages.com/madison-wi/mip/mitchell-d-wolf-md-8610445","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.ssmhealth.com/find-a-doctor/doctor-details/mitchell-d-wolf-md?y_source=1_MzkwMzkzODYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1025 Regent St","Madison","WI","53715","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Madison,%20Wisconsin"
