"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Mid-South Retina Associates","(901) 614-3906","https://www.yellowpages.com/memphis-tn/mip/mid-south-retina-associates-3548488?lid=434265753","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.midsouthretina.com","","6005 Park Ave","Memphis","TN","38119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"2. ","Duncan Eye","(901) 692-5780","https://www.yellowpages.com/memphis-tn/mip/duncan-eye-465398556","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.duncaneye.com","","6363 Poplar Ave","Memphis","TN","38119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"3. ","Hamilton Eye Institute - UT Medical Group Inc","(901) 448-6650","https://www.yellowpages.com/memphis-tn/mip/hamilton-eye-institute-ut-medical-group-inc-18390419","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.hamiltoneyesurgery.com/contact-us.php","","930 Madison Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"4. ","Rice Eye Associates LLC","(901) 761-4292","https://www.yellowpages.com/memphis-tn/mip/rice-eye-associates-llc-6496977?lid=1001599686232","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Medical Equipment & Supplies","","","6238 Poplar Ave","Memphis","TN","38119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"5. ","Wesberry Jr, Jesse M, MD","(901) 448-6650","https://www.yellowpages.com/memphis-tn/mip/wesberry-jr-jesse-m-md-453086939","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://universityclinicalhealth.com","","930 Madison Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"6. ","Eye Specialty Group - Memphis Office","(901) 236-0011","https://www.yellowpages.com/memphis-tn/mip/eye-specialty-group-memphis-office-483587817","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","","","825 Ridge Lake Blvd","Memphis","TN","38120","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"7. ","Dr. James S Linder, MD","(901) 453-4236","https://www.yellowpages.com/memphis-tn/mip/dr-james-s-linder-md-503185433?lid=1002030659496","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://jslindermd.com","","6258 Poplar Ave","Memphis","TN","38119","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"8. ","Family Vision Care","(901) 346-8222","https://www.yellowpages.com/memphis-tn/mip/family-vision-care-12860629?lid=1000439669828","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://www.drnortonmemphis.com","","4557 Millbranch Rd","Memphis","TN","38116","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"9. ","Lauren Ditta, MD","(866) 870-5570","https://www.yellowpages.com/memphis-tn/mip/lauren-ditta-md-480924194","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics,Physicians & Surgeons","http://www.lebonheur.org/doctors/Lauren-Ditta","","848 Adams Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
"10. ","Lorig Sildiryan, OD, FAAO, MS","(866) 870-5570","https://www.yellowpages.com/memphis-tn/mip/lorig-sildiryan-od-faao-ms-560947359","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics,Physicians & Surgeons","https://www.lebonheur.org/doctors/lorig-sildiryan","","848 Adams Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Memphis,%20Tennessee"
