"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Paramount Optical","(414) 541-1190","https://www.yellowpages.com/milwaukee-wi/mip/paramount-optical-464656749","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.paramountoptical.com","","6601 W Oklahoma Ave","Milwaukee","WI","53219","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"2. ","Dr. Thomas V.P. Alpren, MD","(414) 281-0424","https://www.yellowpages.com/milwaukee-wi/mip/dr-thomas-v-p-alpren-md-553531134","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://milwaukeevision.com","","2500 W Layton Ave Ste 110","Milwaukee","WI","53221","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"3. ","Weaver, John F, OD","(414) 967-9502","https://www.yellowpages.com/milwaukee-wi/mip/weaver-john-f-od-528297929","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","http://lenscrafters.com","","5900 N Port Washington Rd","Milwaukee","WI","53217","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"4. ","Vision Mart","(414) 771-2020","https://www.yellowpages.com/milwaukee-wi/mip/vision-mart-10479436","Physicians & Surgeons, Ophthalmology,Optometrists","http://visionmart.com","","6760 W National Ave","Milwaukee","WI","53214","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"5. ","Retina Association Of Wis","(414) 476-5120","https://www.yellowpages.com/milwaukee-wi/mip/retina-association-of-wis-453076556?lid=1000439728096","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","","","2500 N Mayfair Rd","Milwaukee","WI","53226","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"6. ","Milwaukee Eye Care Associates SC","(414) 914-5379","https://www.yellowpages.com/milwaukee-wi/mip/milwaukee-eye-care-associates-sc-464902206?lid=1001168501175","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://www.milwaukeeeyecare.com","","1684 N Prospect Ave","Milwaukee","WI","53202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"7. ","Retina & Vitreous Consultants Of Wis Ltd","(414) 774-3484","https://www.yellowpages.com/milwaukee-wi/mip/retina-vitreous-consultants-of-wis-ltd-6232503?lid=1001448171413","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.rvcow.com","","2600 N Mayfair Rd Ste 901","Milwaukee","WI","53226","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"8. ","Kenneth Weinlander, MD","(414) 377-5550","https://www.yellowpages.com/milwaukee-wi/mip/kenneth-weinlander-md-558075012","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.milwaukeeeyesurgeons.com/contact","","740 N Plankinton Ave Ste 836","Milwaukee","WI","53203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"9. ","Scheidt, David A, OD","(414) 298-0099","https://www.yellowpages.com/milwaukee-wi/mip/scheidt-david-a-od-16459553","Physicians & Surgeons, Ophthalmology,Optometrists","http://eyecarespecialists.net","","633 W Wisconsin Ave","Milwaukee","WI","53203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"10. ","Dr. Michael Raciti, MD","(414) 298-0099","https://www.yellowpages.com/milwaukee-wi/mip/dr-michael-raciti-md-497132372","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://eyecarespecialists.net","","633 W Wisconsin Ave Ste 1400","Milwaukee","WI","53203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"11. ","Dr. Herbert H Giller, MD","(414) 223-4411","https://www.yellowpages.com/milwaukee-wi/mip/dr-herbert-h-giller-md-528972628","Physicians & Surgeons, Ophthalmology","","","1575 N Rivercenter Dr Ste 184","Milwaukee","WI","53212","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"12. ","Mackenzie M. Sward, M.D","(414) 271-2020","https://www.yellowpages.com/milwaukee-wi/mip/mackenzie-m-sward-m-d-542686419","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.milwaukeeeyecare.com/doctors/mackenzie-m-sward-m-d/?y_source=1_MTE1MzU0NjEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","1684 N Prospect Ave","Milwaukee","WI","53202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"13. ","Dr. Jay A Heilmann, OD","(414) 271-2020","https://www.yellowpages.com/milwaukee-wi/mip/dr-jay-a-heilmann-od-2420147","Physicians & Surgeons, Ophthalmology,Optometrists","","","1684 N Prospect Ave","Milwaukee","WI","53202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"14. ","Edmonds Jason MD","(414) 271-2020","https://www.yellowpages.com/milwaukee-wi/mip/edmonds-jason-md-478392697","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.milwaukeeeyecare.com","","1684 N Prospect Ave","Milwaukee","WI","53202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
"15. ","Michelle H Pedersen, OD","(414) 271-2020","https://www.yellowpages.com/milwaukee-wi/mip/michelle-h-pedersen-od-514389331","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.milwaukeeeyecare.com","","1684 N Prospect Ave","Milwaukee","WI","53202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Milwaukee,%20Wisconsin"
