"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","North Suburban Eye Specialists Coon Rapids","(763) 333-1305","https://www.yellowpages.com/minneapolis-mn/mip/north-suburban-eye-specialists-coon-rapids-547771826?lid=1002057377796","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.nseyespecialists.com","","3790 Coon Rapids Blvd NW","Minneapolis","MN","55433","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"2. ","Dr. Michelle Sudyka Loichinger, MD","(612) 625-4400","https://www.yellowpages.com/minneapolis-mn/mip/dr-michelle-sudyka-loichinger-md-550230051","Physicians & Surgeons, Ophthalmology","","","909 Fulton St SE 4th Fl","Minneapolis","MN","55455","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"3. ","Cantrill Herbert L MD","(952) 929-1131","https://www.yellowpages.com/minneapolis-mn/mip/cantrill-herbert-l-md-481762959","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://www.retinaphysicians.com","","7760 France Ave S Ste 310","Minneapolis","MN","55435","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"4. ","Edina Eye Physicians & Surgeons, P.A.","(952) 832-8100","https://www.yellowpages.com/minneapolis-mn/mip/edina-eye-physicians-surgeons-p-a-478943920","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Surgery-General,Physicians & Surgeons","http://www.edinaeye.com","","7450 France Ave S","Minneapolis","MN","55435","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"5. ","Edina  Eye Clinic","(952) 373-4078","https://www.yellowpages.com/minneapolis-mn/mip/edina-eye-clinic-20871432?lid=1002049669300","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Physicians & Surgeons","http://www.edinaeyeclinic.com","","3939 W 50th St","Minneapolis","MN","55424","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"6. ","North Suburban Eye Specialists","(612) 584-2737","https://www.yellowpages.com/minneapolis-mn/mip/north-suburban-eye-specialists-463844902?lid=1002028683334","Physicians & Surgeons, Pediatrics-Ophthalmology,Optometry Equipment & Supplies,Medical Equipment & Supplies","http://www.nseyespecialists.com","","11855 Ulysses St NE","Minneapolis","MN","55434","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"7. ","West Metro Ophthalmology, PA","(763) 546-8422","https://www.yellowpages.com/minneapolis-mn/mip/west-metro-ophthalmology-pa-459289757?lid=1001780039370","Physicians & Surgeons, Pediatrics-Ophthalmology,Contact Lenses,Medical Equipment & Supplies","http://bassettcreekdental.com","","5851 Duluth St Ste 215","Minneapolis","MN","55422","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"8. ","Lobanoff Mark C","(763) 333-1269","https://www.yellowpages.com/minneapolis-mn/mip/lobanoff-mark-c-20872219?lid=1001781860878","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optical Goods","http://nseyespecialists.com","","3790 Coon Rapids Blvd NW","Minneapolis","MN","55433","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"9. ","Dr. Larry Quist, MD","(612) 873-6085","https://www.yellowpages.com/minneapolis-mn/mip/dr-larry-quist-md-535986285","Physicians & Surgeons, Ophthalmology","","","701 Park Ave P7","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"10. ","Invision Otpical","(612) 338-6656","https://www.yellowpages.com/minneapolis-mn/mip/invision-otpical-542523424","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.invision-optical.com","","219 N 2nd St","Minneapolis","MN","55401","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"11. ","HealthPartners Laser Vision Correction","(952) 967-7611","https://www.yellowpages.com/minneapolis-mn/mip/healthpartners-laser-vision-correction-464089203","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","","","","Minneapolis","MN","55401","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"12. ","Dr. Y Chu, MD","(612) 310-2040","https://www.yellowpages.com/minneapolis-mn/mip/dr-y-chu-md-469002234","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","701 Park Ave","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"13. ","Richard L Manka, MD","(612) 873-4301","https://www.yellowpages.com/minneapolis-mn/mip/richard-l-manka-md-473282523","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.davidallard.com","","701 Park Ave","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
"14. ","Silbert, Seth C, MD","(612) 873-3000","https://www.yellowpages.com/minneapolis-mn/mip/silbert-seth-c-md-478928161","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://hcmced.org","","701 Park Ave","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Minneapolis,%20Minnesota"
