"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Virginia Pediatric Eye Center","(757) 461-0050","https://www.yellowpages.com/norfolk-va/mip/virginia-pediatric-eye-center-26684441","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Family Medicine & General Practice,Laser Vision Correction","http://www.virginiapediatriceye.com","","880 Kempsville Rd Ste 2500","Norfolk","VA","23502","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"2. ","Retinal Consultants Inc","(757) 451-3788","https://www.yellowpages.com/norfolk-va/mip/retinal-consultants-inc-466547347","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","","","Norfolk 23501","Norfolk","VA","23501","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"3. ","David Gilbert OD","(757) 622-0200","https://www.yellowpages.com/norfolk-va/mip/david-gilbert-od-11560398","Physicians & Surgeons, Ophthalmology,Optometrists","","","220 W Brambleton Ave Ste 111","Norfolk","VA","23510","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"4. ","Dr. Donald Edward Lamarche, MD","(757) 622-7804","https://www.yellowpages.com/norfolk-va/mip/dr-donald-edward-lamarche-md-529354225","Physicians & Surgeons, Ophthalmology","","","801 Boush St","Norfolk","VA","23510","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"5. ","Norfolk Eye Physicians & Surgeons","(757) 623-2123","https://www.yellowpages.com/norfolk-va/mip/norfolk-eye-physicians-surgeons-1705166","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optical Goods","http://www.norfolkeyephysiciansandsurgeons.com","","1005 May Ave","Norfolk","VA","23504","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"6. ","Dr. Richard R Sherrill Jr, MD","(757) 623-2123","https://www.yellowpages.com/norfolk-va/mip/dr-richard-r-sherrill-jr-md-456693125","Physicians & Surgeons, Ophthalmology","http://www.norfolkeyephysiciansandsurgeons.com","","1005 May Ave","Norfolk","VA","23504","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"7. ","Virginia Pediatric Eye Center","(757) 461-0050","https://www.yellowpages.com/norfolk-va/mip/virginia-pediatric-eye-center-483891784","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://www.virginiapediatriceye.com","","601 Childrens Ln","Norfolk","VA","23507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"8. ","Retina Group of Tidewater Inc","(757) 622-7000","https://www.yellowpages.com/norfolk-va/mip/retina-group-of-tidewater-inc-10484217","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","400 Gresham Dr Ste 308","Norfolk","VA","23507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"9. ","Dr. Mark M Mc Carthy, MD","(757) 624-1300","https://www.yellowpages.com/norfolk-va/mip/dr-mark-m-mc-carthy-md-452885409","Physicians & Surgeons, Ophthalmology","","","400 Gresham Dr Ste 802","Norfolk","VA","23507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
"10. ","Dr. James J Valone, MD","(757) 624-1300","https://www.yellowpages.com/norfolk-va/mip/dr-james-j-valone-md-539959329","Physicians & Surgeons, Ophthalmology","","","400 Gresham Dr Ste 406","Norfolk","VA","23507","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Norfolk,%20Virginia"
