"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Harvey Arnold OD","(510) 893-5566","https://www.yellowpages.com/oakland-ca/mip/harvey-arnold-od-543417986","Physicians & Surgeons, Ophthalmology,Optometrists","","","1960 Broadway","Oakland","CA","94612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"2. ","Dennis Burger OD","(510) 893-5566","https://www.yellowpages.com/oakland-ca/mip/dennis-burger-od-7343122","Physicians & Surgeons, Ophthalmology,Optometrists","","","1960 Broadway","Oakland","CA","94612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"3. ","Eye Physicians of the East Bay","(510) 893-4318","https://www.yellowpages.com/oakland-ca/mip/eye-physicians-of-the-east-bay-10042359","Physicians & Surgeons, Ophthalmology,Medical Clinics,Physicians & Surgeons","http://www.eyephysicianseastbay.com","","80 Grand Ave","Oakland","CA","94612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"4. ","Jane V Loman MD","(510) 893-4318","https://www.yellowpages.com/oakland-ca/mip/jane-v-loman-md-9079094","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.eyephysicianseastbay.com","","80 Grand Ave Ste 700","Oakland","CA","94612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"5. ","Eye Surgery Silkiss","(510) 891-1623","https://www.yellowpages.com/oakland-ca/mip/eye-surgery-silkiss-526288646","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.eyework.com","","400 29th St","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"6. ","East Bay Eye Specialists","(510) 836-2122","https://www.yellowpages.com/oakland-ca/mip/east-bay-eye-specialists-537790747","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","http://www.eastbayeyespecialists.com","","491 30th St","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"7. ","Horn Erich P MD","(510) 836-2122","https://www.yellowpages.com/oakland-ca/mip/horn-erich-p-md-3063239","Physicians & Surgeons, Ophthalmology","http://www.eastbayeyespecialists.com/Horn.html","","491 30th St Ste 201","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"8. ","Dr. Richard Hoo Lee, MD","(510) 836-2122","https://www.yellowpages.com/oakland-ca/mip/dr-richard-hoo-lee-md-458851354","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Plastic & Reconstructive","http://www.eastbayeyespecialists.com","","491 30th St Ste 201","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"9. ","Tanaka, George H, MD","(510) 763-9775","https://www.yellowpages.com/oakland-ca/mip/tanaka-george-h-md-463290295","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.eyework.com","","491 30th St Ste 103","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"10. ","Robert J Peralta, MD","(510) 763-0881","https://www.yellowpages.com/oakland-ca/mip/robert-j-peralta-md-528168835","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","491 30th St Ste 103","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"11. ","Eng Weylin G OD","(510) 444-1969","https://www.yellowpages.com/oakland-ca/mip/eng-weylin-g-od-10347811","Physicians & Surgeons, Ophthalmology,Optometrists","","","1807 3rd Ave","Oakland","CA","94606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"12. ","Lake Merritt Optometry","(510) 444-1969","https://www.yellowpages.com/oakland-ca/mip/lake-merritt-optometry-512661371","Physicians & Surgeons, Ophthalmology,Optometrists","http://visionsource-lakemerrittoptometry.com","","1807 3rd Ave","Oakland","CA","94606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"13. ","International Optometry","(510) 832-0908","https://www.yellowpages.com/oakland-ca/mip/international-optometry-30719714","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.international-optometry.net","","600 International Blvd Ste 101","Oakland","CA","94606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"14. ","East Bay Retina Consultants","(510) 444-1600","https://www.yellowpages.com/oakland-ca/mip/east-bay-retina-consultants-22211242","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.eastbayretina.com/locations/oakland","","3300 Telegraph Ave","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"15. ","Lee, Scott S, MD","(510) 444-1600","https://www.yellowpages.com/oakland-ca/mip/lee-scott-s-md-22918502","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3300 Telegraph Ave","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"16. ","Mooney James K MD","(510) 465-5800","https://www.yellowpages.com/oakland-ca/mip/mooney-james-k-md-528097931","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://norcal-urology.net","","3300 Webster St Ste 710","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"17. ","DR David R Demartini MD","(510) 444-0603","https://www.yellowpages.com/oakland-ca/mip/dr-david-r-demartini-md-529744923","Physicians & Surgeons, Ophthalmology","","","3300 Webster St","Oakland","CA","94609","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
"18. ","Jacob Wanon OD","(510) 444-0666","https://www.yellowpages.com/oakland-ca/mip/jacob-wanon-od-506785678","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.visionsource-eyecareforyou.com","","3205 Grand Ave","Oakland","CA","94610","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Oakland,%20California"
