"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Magruder Laser Vision","(407) 843-5665","https://www.yellowpages.com/orlando-fl/mip/magruder-laser-vision-481321629?lid=1001895297299","Physicians & Surgeons, Ophthalmology,Opticians,Laser Vision Correction","http://www.magruderlaservision.com","","120 E Par St Ste 2000","Orlando","FL","32804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"2. ","Orlando Eyecare","(407) 295-1234","https://www.yellowpages.com/orlando-fl/mip/orlando-eyecare-2720542","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://orlando-eyecare.com","","948 N Pine Hills Rd","Orlando","FL","32808","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"3. ","Dr. Chirag J Patel, MD","(407) 857-3937","https://www.yellowpages.com/orlando-fl/mip/dr-chirag-j-patel-md-545106836","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://nonaeyemd.com","","9685 Lake Nona Village Pl Ste 204","Orlando","FL","32827","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"4. ","Hallock, Stanley J OD","(407) 907-6627","https://www.yellowpages.com/orlando-fl/mip/hallock-stanley-j-od-9758792?lid=400328916","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Optical Goods Repair","http://eyerace.com","","5460 Curry Ford Rd","Orlando","FL","32812","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"5. ","Orlando Eye Consultants","(407) 674-5815","https://www.yellowpages.com/orlando-fl/mip/orlando-eye-consultants-454875629","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.my2eyes.com","","1206 N Mills Ave Ste A","Orlando","FL","32803","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"6. ","Magruder Eye Institute","(407) 893-8200","https://www.yellowpages.com/orlando-fl/mip/magruder-eye-institute-478346226","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.magrudereye.com","","1911 N Mills Ave","Orlando","FL","32803","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"7. ","Lake Nona Ophthalmology, P.L.","(407) 857-3937","https://www.yellowpages.com/orlando-fl/mip/lake-nona-ophthalmology-p-l-475646420","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Surgery-General,Physicians & Surgeons","http://nonaeyemd.com","","9685 Lake Nona Village Pl Ste 204","Orlando","FL","32827","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"8. ","Eye Physicians of Central Florida","(407) 398-7730","https://www.yellowpages.com/orlando-fl/mip/eye-physicians-of-central-florida-11806590","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons","http://www.eyephy.com","","1781 Park Center Dr","Orlando","FL","32835","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"9. ","Florida Eye Clinic","(407) 281-0866","https://www.yellowpages.com/orlando-fl/mip/florida-eye-clinic-497545728","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","http://www.floridaeyeclinic.com","","7975 Lake Underhill Rd Ste 140","Orlando","FL","32822","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"10. ","Vahidi, Navid MD PhD FACS","(407) 896-8990","https://www.yellowpages.com/orlando-fl/mip/vahidi-navid-md-phd-facs-5598065?lid=1001383755520","Physicians & Surgeons, Ophthalmology,Optical Goods,Physicians & Surgeons","http://www.cfeaorlando.com","","1900 N Orange Ave","Orlando","FL","32804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"11. ","Central Florida Eye Assoc LLC","(321) 300-7689","https://www.yellowpages.com/orlando-fl/mip/central-florida-eye-assoc-llc-464515561?lid=1002064278994","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","http://www.cfeaorlando.com","","1900 N Orange Ave","Orlando","FL","32804","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"12. ","Stephen J Thomas OD","(407) 365-7475","https://www.yellowpages.com/orlando-fl/mip/stephen-j-thomas-od-506544752","Physicians & Surgeons, Ophthalmology,Optometrists","","","171 W Central Blvd","Orlando","FL","32801","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"13. ","Florida Retina Institute","(407) 849-9621","https://www.yellowpages.com/orlando-fl/mip/florida-retina-institute-475679150","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.floridaretinainstitute.com","","95 Columbia St","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"14. ","Dr. Ricardo J Ramirez, MD","(407) 843-2020","https://www.yellowpages.com/orlando-fl/mip/dr-ricardo-j-ramirez-md-19699704","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.ramirezandpoulos.com","","115 Columbia St","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"15. ","Ramirez and Poulous,MD, PA","(407) 843-2020","https://www.yellowpages.com/orlando-fl/mip/ramirez-and-poulous-md-pa-467597249","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.ramirezandpoulos.com/about","","115 Columbia St","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"16. ","Dr. Robert N Serros, MD","(407) 425-6266","https://www.yellowpages.com/orlando-fl/mip/dr-robert-n-serros-md-550359175","Physicians & Surgeons, Ophthalmology","http://www.ramirezandpoulos.com","","115 Columbia St Ste E","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"17. ","Medical Eye Associates","(407) 423-2400","https://www.yellowpages.com/orlando-fl/mip/medical-eye-associates-28644270","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.medeyedoc.com/Directions","","1525 S Orange Ave","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"18. ","Levin Eye Center PA","(407) 841-2020","https://www.yellowpages.com/orlando-fl/mip/levin-eye-center-pa-17136552","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optical Goods","","","1525 S Orange Ave","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"19. ","T D Leidigh OD PA","(407) 398-6388","https://www.yellowpages.com/orlando-fl/mip/t-d-leidigh-od-pa-464329239","Physicians & Surgeons, Ophthalmology,Optometrists","http://medeyedoc.com","","1525 S Orange Ave","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"20. ","Dr. Stanley I Hand, MD","(407) 843-1707","https://www.yellowpages.com/orlando-fl/mip/dr-stanley-i-hand-md-464528091","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.floridaeyeclinic.com","","1622 S Orange Ave","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"21. ","Dr. Preston Purdy Richmond, MD","(407) 423-4543","https://www.yellowpages.com/orlando-fl/mip/dr-preston-purdy-richmond-md-14886732","Physicians & Surgeons, Ophthalmology","","","44 Lake Beauty Dr","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"22. ","Orlando Ophthalmology Surgery","(407) 428-0040","https://www.yellowpages.com/orlando-fl/mip/orlando-ophthalmology-surgery-6159404","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.orlandosc.com","","105 Bonnie Loch Ct","Orlando","FL","32806","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
"23. ","H Choo Lisa MD","(407) 650-5075","https://www.yellowpages.com/orlando-fl/mip/h-choo-lisa-md-3743083","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","743 N Magnolia Ave","Orlando","FL","32803","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Orlando,%20Florida"
