"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Modern Eye","(215) 386-5953","https://www.yellowpages.com/philadelphia-pa/mip/modern-eye-5531576","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.modern-eye.com","","3419 Walnut St","Philadelphia","PA","19104","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"2. ","Walter Harris Jr MD","(215) 545-5001","https://www.yellowpages.com/philadelphia-pa/mip/walter-harris-jr-md-458589477","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.rittenhouseeye.com","","255 S 17th St Ste 1002","Philadelphia","PA","19103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"3. ","Dr. Richard S Kaiser, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/dr-richard-s-kaiser-md-465502371","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Surgery-General,Physicians & Surgeons","http://www.midatlanticretina.com","","840 Walnut St","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"4. ","Dr. Richard P Wilson, MD","(215) 928-3204","https://www.yellowpages.com/philadelphia-pa/mip/dr-richard-p-wilson-md-479535161","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1100 Walnut St","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"5. ","Park, Chantel, MD","(610) 955-5995","https://www.yellowpages.com/philadelphia-pa/mip/park-chantel-md-497263004","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.healthgrades.com/group-directory/pa-pennsylvania/philadelphia/mid-atlantic-retina-dsbms","","211 S 9th St","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"6. ","Dr. Omesh Parkash Gupta, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/dr-omesh-parkash-gupta-md-462882942","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.healthgrades.com/group-directory/pa-pennsylvania/philadelphia/mid-atlantic-retina-dsbms","","840 Walnut St","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"7. ","Dr. Jason Hsu, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/dr-jason-hsu-md-479537601","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Surgery-General","http://www.willseye.org","","840 Walnut St","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"8. ","Garg, Sunir J, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/garg-sunir-j-md-465501796","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.phillyeyeplastics.com","","840 Walnut St Ste 1020","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"9. ","Dr. Arunan Sivalingam, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/dr-arunan-sivalingam-md-465505560","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.healthgrades.com/group-directory/pa-pennsylvania/philadelphia/mid-atlantic-retina-dsbms","","840 Walnut St Ste 1020","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"10. ","Fineman, Mitchell S, MD","(215) 928-3300","https://www.yellowpages.com/philadelphia-pa/mip/fineman-mitchell-s-md-479583360","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.healthgrades.com/group-directory/pa-pennsylvania/philadelphia/mid-atlantic-retina-dsbms","","840 Walnut St Ste 1020","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"11. ","Dr. Allen C Ho, MD","(800) 331-6634","https://www.yellowpages.com/philadelphia-pa/mip/dr-allen-c-ho-md-529107088","Physicians & Surgeons, Ophthalmology","https://www.healthgrades.com/group-directory/pa-pennsylvania/philadelphia/mid-atlantic-retina-dsbms","","840 Walnut St Ste 1020","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"12. ","Eye Works Plus","(215) 923-8688","https://www.yellowpages.com/philadelphia-pa/mip/eye-works-plus-11213146","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.eyeworks-plus.com","","120 South St","Philadelphia","PA","19147","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"13. ","King Optical","(215) 335-3555","https://www.yellowpages.com/philadelphia-pa/mip/king-optical-453243845","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.kingeyeassociates.com","","7252 Frankford Ave","Philadelphia","PA","19135","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"14. ","Dr. Nicole H Delarato, MD","(215) 427-8120","https://www.yellowpages.com/philadelphia-pa/mip/dr-nicole-h-delarato-md-463021502","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://stchristophershospital.com","","160 E Erie Ave","Philadelphia","PA","19134","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"15. ","Eyecare Vision","(267) 335-4504","https://www.yellowpages.com/philadelphia-pa/mip/eyecare-vision-500586032","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","https://www.eyecarevisiondr.com","","6001 N 5th St","Philadelphia","PA","19120","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"16. ","Albert M. Maguire, MD","(215) 662-8100","https://www.yellowpages.com/philadelphia-pa/mip/albert-m-maguire-md-536752801","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","https://www.pennmedicine.org/providers/profile/albert-maguire?utm_source=google-my-business&utm_medium=referral&utm_campaign=penn-medicine&utm_term=albert-maguire&y_source=1_MTc4ODI4NzItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","3400 Civic Center Boulevard West Pavilion  3rd Floor","Philadelphia","PA","19104","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"17. ","Callazo Ophthalmology & Optometry","(215) 455-1010","https://www.yellowpages.com/philadelphia-pa/mip/callazo-ophthalmology-optometry-482475941","Physicians & Surgeons, Ophthalmology,Optical Goods,Opticians","","","511 W Courtland St","Philadelphia","PA","19140","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"18. ","Eye Encounters","(215) 632-6698","https://www.yellowpages.com/philadelphia-pa/mip/eye-encounters-495391137","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","https://www.optical-philadelphia.com","","3810 Morrell Ave","Philadelphia","PA","19114","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"19. ","Karmiol Edward Ph.D.","(215) 546-5338","https://www.yellowpages.com/philadelphia-pa/mip/karmiol-edward-ph-d-470206408","Physicians & Surgeons, Ophthalmology,Optometrists","","","MUNICIPAL Services Bldg","Philadelphia","PA","19102","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
"20. ","Dennis S Forman OD","(215) 627-0560","https://www.yellowpages.com/philadelphia-pa/mip/dennis-s-forman-od-516695378","Physicians & Surgeons, Ophthalmology,Optometrists","","","1234 Market St Fl 9","Philadelphia","PA","19107","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Philadelphia,%20Pennsylvania"
