"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Southwestern Eye Center","(480) 854-8185","https://www.yellowpages.com/phoenix-az/mip/southwestern-eye-center-457980249","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.sweye.com","","5251 W Campbell Ave Ste 102","Phoenix","AZ","85031","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"2. ","Dr. Jung T Dao, MD","(602) 258-4321","https://www.yellowpages.com/phoenix-az/mip/dr-jung-t-dao-md-20080780","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.corneaaz.com","","3815 E Bell Rd Ste 2500","Phoenix","AZ","85032","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"3. ","Charles Louis Schaffer, MD","(623) 584-9295","https://www.yellowpages.com/phoenix-az/mip/charles-louis-schaffer-md-509975560","Physicians & Surgeons, Ophthalmology","http://www.schaffervision.com/dr_schaffer/index.php","","41810 N Venture Dr","Phoenix","AZ","85086","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"4. ","Bryan L Fuller OD","(480) 889-6044","https://www.yellowpages.com/phoenix-az/mip/bryan-l-fuller-od-474228437","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","http://azoptique.com","","21050 N Tatum Blvd Ste 120","Phoenix","AZ","85050","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"5. ","Arizona Pediatric Eye Spec","(480) 835-0709","https://www.yellowpages.com/phoenix-az/mip/arizona-pediatric-eye-spec-9163429","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.arizonapediatriceye.com","","9305 W Thomas Rd","Phoenix","AZ","85037","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"6. ","Moretsky Cassidy Lasik Vision","(602) 274-4992","https://www.yellowpages.com/phoenix-az/mip/moretsky-cassidy-lasik-vision-454319088","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Surgery-General,Physicians & Surgeons, Laser Surgery","http://arizonalasik.com","","2125 W Indian School Rd","Phoenix","AZ","85015","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"7. ","Optical Experts","(623) 295-2252","https://www.yellowpages.com/phoenix-az/mip/optical-experts-512470768?lid=1001384476588","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","http://theopticalexpert.com/","","2950 N 91st Ave Ste C-102","Phoenix","AZ","85037","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"8. ","Barbers Board","(602) 542-3323","https://www.yellowpages.com/phoenix-az/mip/barbers-board-467851173","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","http://www.acdhh.org","","1400 W Washington St","Phoenix","AZ","85007","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"9. ","William M Mcleish, MD","(602) 230-6744","https://www.yellowpages.com/phoenix-az/mip/william-m-mcleish-md-534341897","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1331 N 7th St Ste 375","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"10. ","Dr. Graham Barth Kretchman, MD","(602) 257-1499","https://www.yellowpages.com/phoenix-az/mip/dr-graham-barth-kretchman-md-528277113","Physicians & Surgeons, Ophthalmology","","","1010 E Mcdowell Rd Ste 406","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"11. ","Laura Kueny, MD","(602) 222-2234","https://www.yellowpages.com/phoenix-az/mip/laura-kueny-md-551611869","Physicians & Surgeons, Ophthalmology","https://www.abckidseyes.com?utm_source=gmb_auth","","1010 E Mcdowell Rd Ste 301","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"12. ","Sami Kabbara, MD","(602) 839-2266","https://www.yellowpages.com/phoenix-az/mip/sami-kabbara-md-545044192","Physicians & Surgeons, Ophthalmology","","","1111 E Mcdowell Rd","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"13. ","Arizona Retina Institute","(480) 687-0768","https://www.yellowpages.com/phoenix-az/mip/arizona-retina-institute-564161232","Physicians & Surgeons, Ophthalmology,Optometrists","","","1102 E Mcdowell Rd","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"14. ","Dr. Gerald B Walman, MD","(602) 222-2020","https://www.yellowpages.com/phoenix-az/mip/dr-gerald-b-walman-md-538632560","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.walmaneye.com","","2020 N Central Ave Ste 1100","Phoenix","AZ","85004","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"15. ","Affiliated Eye Surgeons LTD","(602) 263-9345","https://www.yellowpages.com/phoenix-az/mip/affiliated-eye-surgeons-ltd-18066080","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","","","500 W Thomas Rd Ste 250","Phoenix","AZ","85013","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"16. ","Mach, Brian A","(602) 234-1621","https://www.yellowpages.com/phoenix-az/mip/mach-brian-a-452545812","Physicians & Surgeons, Ophthalmology,Optometrists","","","3030 N 3rd St","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"17. ","George M Yanik, MD","(602) 263-9345","https://www.yellowpages.com/phoenix-az/mip/george-m-yanik-md-538673360","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.azeyes.com","","3330 N 2nd St Ste 600","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"18. ","Bloemker, E Fredrick Md","(602) 263-9345","https://www.yellowpages.com/phoenix-az/mip/bloemker-e-fredrick-md-539610289","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.azeyes.com","","3330 N 2nd St Ste 600","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
"19. ","Dr. Raymond Joseph Zimmerman, MD","(602) 263-9345","https://www.yellowpages.com/phoenix-az/mip/dr-raymond-joseph-zimmerman-md-544804225","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://azeyes.com","","3330 N 2nd St Ste 600","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Phoenix,%20Arizona"
